,,,,,,,,,,,,,,,,,,,,,,,,,,iShares New York Muni Bond ETF
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"2,048,789.18",0.37,"2,048,789.18","2,000,000.00",64990EHC4,US64990EHC49,-,100.55,United States,-,USD,0.13,0.48,1.0,"Feb 15, 2023",5.0,0.12,-,0.48,0.12,0.48,USD,"Oct 18, 2012","Oct 18, 2012"
NEW YORK ST ENVIRONMENTAL FACS,Utility,Fixed Income,"2,047,668.24",0.37,"2,047,668.24","2,000,000.00",64986AX30,US64986AX302,-,102.16,United States,-,USD,0.51,4.32,1.0,"Jun 15, 2025",5.0,3.14,-,0.25,0.45,0.25,USD,"Jul 12, 2012","Jul 12, 2012"
HUDSON YDS INFRASTRUCTURE CORP,Other Industries,Fixed Income,"2,036,848.63",0.37,"2,036,848.63","1,500,000.00",44420RBT6,US44420RBT68,-,134.9,United States,-,USD,8.86,1.79,1.0,"Feb 15, 2034",5.0,9.55,-,1.31,8.29,1.31,USD,"Oct 27, 2021","Oct 27, 2021"
OYSTER BAY N Y,Local Tax-Backed,Fixed Income,"2,034,004.71",0.37,"2,034,004.71","2,000,000.00",692160TE4,US692160TE45,-,100.09,United States,-,USD,9.67,1.99,1.0,"Mar 01, 2033",2.0,9.81,-,1.98,5.69,1.98,USD,"Mar 12, 2021","Mar 12, 2021"
NASSAU CNTY N Y SWR & STORM WT,Utility,Fixed Income,"2,014,667.70",0.37,"2,014,667.70","1,840,000.00",63166QBX7,US63166QBX79,-,108.24,United States,-,USD,1.68,0.28,1.0,"Oct 01, 2023",5.0,1.68,-,0.28,1.68,0.28,USD,"Nov 18, 2014","Nov 18, 2014"
HEMPSTEAD TOWN N Y,Local Tax-Backed,Fixed Income,"1,996,655.16",0.37,"1,996,655.16","1,950,000.00",424672WY5,US424672WY52,-,102.17,United States,-,USD,0.45,0.23,1.0,"Jun 15, 2022",5.0,0.46,-,0.23,0.46,0.23,USD,"Jul 11, 2018","Jul 11, 2018"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,982,235.85",0.36,"1,982,235.85","1,500,000.00",64966QVL1,US64966QVL12,-,130.48,United States,-,USD,8.83,2.44,1.0,"Mar 01, 2036",5.0,10.6,-,1.44,7.56,1.44,USD,"Mar 24, 2021","Mar 24, 2021"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"1,969,761.45",0.36,"1,969,761.45","1,500,000.00",64990GWX6,US64990GWX68,-,128.82,United States,-,USD,7.9,2.48,1.0,"Jul 01, 2035",5.0,10.13,-,1.0,6.35,1.0,USD,"Dec 11, 2019","Dec 11, 2019"
LONG IS PWR AUTH N Y ELEC SYS,Utility,Fixed Income,"1,868,733.29",0.34,"1,868,733.29","1,465,000.00",542691BP4,US542691BP47,-,125.89,United States,-,USD,7.0,2.44,1.0,"Sep 01, 2033",5.0,9.09,-,0.98,5.77,0.98,USD,"Oct 30, 2018","Oct 30, 2018"
UTILITY DEBT SECURITIZATION AU,Utility,Fixed Income,"1,854,819.48",0.34,"1,854,819.48","1,500,000.00",91802REL9,US91802REL96,-,123.43,United States,-,USD,8.01,3.32,1.0,"Dec 15, 2040",5.0,12.94,-,0.94,5.28,0.94,USD,"Nov 21, 2017","Nov 21, 2017"
NEW YORK ST TWY AUTH ST PERS I,State Tax-Backed,Fixed Income,"1,835,664.45",0.34,"1,835,664.45","1,500,000.00",650028WW9,US650028WW97,-,120.68,United States,-,USD,9.36,2.29,1.0,"Mar 15, 2036",4.0,11.03,-,1.58,7.77,1.58,USD,"Jul 28, 2021","Jul 28, 2021"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,829,343.05",0.33,"1,829,343.05","1,500,000.00",64971W4S6,US64971W4S61,-,119.87,United States,-,USD,6.26,3.02,1.0,"Feb 01, 2034",5.0,9.2,-,0.98,4.51,0.98,USD,"Apr 19, 2017","Apr 19, 2017"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,810,556.53",0.33,"1,810,556.53","1,500,000.00",64990E3F2,US64990E3F24,-,118.81,United States,-,USD,5.68,3.0,1.0,"Feb 15, 2033",5.0,8.63,-,0.84,4.14,0.84,USD,"Sep 16, 2016","Sep 16, 2016"
PORT AUTH N Y & N J,Transportation,Fixed Income,"1,804,018.72",0.33,"1,804,018.72","1,500,000.00",73358XBQ4,US73358XBQ43,-,118.42,United States,-,USD,11.87,3.05,1.0,"Jul 15, 2051",4.0,17.35,-,1.88,7.97,1.88,USD,"Feb 05, 2021","Feb 05, 2021"
MONROE CNTY NY INDL DEV CORP REVEN,Education,Fixed Income,"1,795,684.15",0.33,"1,795,684.15","1,550,000.00",61075TSK5,US61075TSK50,-,113.85,United States,-,USD,8.29,3.11,1.0,"Jul 01, 2043",4.0,13.3,-,1.38,4.91,1.38,USD,"Dec 14, 2017","Dec 14, 2017"
SALES TAX ASSET RECEIVABLE COR,Prerefund/Escrow,Fixed Income,"1,788,038.23",0.33,"1,788,038.23","1,570,000.00",794665GE3,US794665GE36,-,112.83,United States,-,USD,2.62,0.37,1.0,"Oct 15, 2024",5.0,2.62,-,0.37,2.62,0.37,USD,"Oct 15, 2014","Oct 15, 2014"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"1,787,351.43",0.33,"1,787,351.43","1,500,000.00",64972GNC4,US64972GNC41,-,118.93,United States,-,USD,7.71,3.83,1.0,"Jun 15, 2047",5.0,15.28,-,1.07,4.47,1.07,USD,"Feb 09, 2017","Feb 09, 2017"
NEW YORK ST TWY AUTH GEN REV J,Transportation,Fixed Income,"1,786,930.50",0.33,"1,786,930.50","1,500,000.00",650010CA7,US650010CA71,-,117.13,United States,-,USD,9.29,2.68,1.0,"Jan 01, 2038",4.0,11.96,-,1.7,6.85,1.7,USD,"Oct 30, 2019","Oct 30, 2019"
NEW YORK ST PWR AUTH REV,Utility,Fixed Income,"1,768,225.07",0.32,"1,768,225.07","1,500,000.00",64989KLE4,US64989KLE46,-,117.37,United States,-,USD,11.28,3.09,1.0,"Nov 15, 2050",4.0,17.23,-,1.76,7.21,1.76,USD,"May 12, 2020","May 12, 2020"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"1,767,259.65",0.32,"1,767,259.65","1,390,000.00",64972GXD1,US64972GXD14,-,126.92,United States,-,USD,10.31,3.44,1.0,"Jun 15, 2048",5.0,15.98,-,1.59,7.12,1.59,USD,"Jun 10, 2020","Jun 10, 2020"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,765,907.20",0.32,"1,765,907.20","1,500,000.00",64971XKP2,US64971XKP23,-,117.06,United States,-,USD,9.76,2.9,1.0,"Nov 01, 2042",4.0,14.35,-,1.53,6.43,1.53,USD,"Apr 12, 2019","Apr 12, 2019"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,755,314.07",0.32,"1,755,314.07","1,400,000.00",64966MWZ8,US64966MWZ84,-,123.71,United States,-,USD,6.29,2.36,1.0,"Mar 01, 2032",5.0,8.13,-,1.02,5.38,1.02,USD,"Mar 13, 2018","Mar 13, 2018"
NASSAU CNTY N Y INTERIM FIN AU,Prerefund/Escrow,Fixed Income,"1,750,432.36",0.32,"1,750,432.36","1,670,000.00",631663PM7,US631663PM72,-,104.18,United States,-,USD,0.86,0.2,1.0,"Nov 15, 2022",5.0,0.86,-,0.2,0.86,0.2,USD,"Oct 22, 2015","Oct 22, 2015"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"1,734,993.32",0.32,"1,734,993.32","1,500,000.00",59261AK22,US59261AK221,-,115.16,United States,-,USD,11.51,3.07,1.0,"Nov 15, 2044",4.0,15.47,-,2.2,7.91,2.2,USD,"Feb 12, 2021","Feb 12, 2021"
LONG ISLAND NY PWR AUTH ELEC SYS R,Utility,Fixed Income,"1,731,325.63",0.32,"1,731,325.63","1,400,000.00",542691AN0,US542691AN08,-,122.0,United States,-,USD,6.49,2.78,1.0,"Sep 01, 2033",5.0,9.02,-,1.0,4.99,1.0,USD,"Dec 14, 2017","Dec 14, 2017"
NEW YORK N Y CITY TRANSITIONAL,State Tax-Backed,Fixed Income,"1,709,314.96",0.31,"1,709,314.96","1,430,000.00",64972H3J9,US64972H3J96,-,117.69,United States,-,USD,9.68,2.82,1.0,"Jul 15, 2041",4.0,13.84,-,1.51,6.52,1.51,USD,"Oct 30, 2019","Oct 30, 2019"
HUDSON YDS INFRASTRUCTURE CORP,Local Tax-Backed,Fixed Income,"1,700,882.80",0.31,"1,700,882.80","1,400,000.00",44420RAX8,US44420RAX89,-,119.6,United States,-,USD,6.49,3.16,1.0,"Feb 15, 2035",5.0,9.8,-,1.06,4.54,1.06,USD,"May 30, 2017","May 30, 2017"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"1,697,558.82",0.31,"1,697,558.82","1,500,000.00",64972GMV3,US64972GMV31,-,112.99,United States,-,USD,8.72,3.23,1.0,"Jun 15, 2046",4.0,16.1,-,1.29,4.54,1.29,USD,"Oct 06, 2016","Oct 06, 2016"
LONG ISLAND PWR AUTH N Y ELEC,Utility,Fixed Income,"1,671,995.70",0.31,"1,671,995.70","1,490,000.00",5426903C4,US5426903C46,-,110.55,United States,-,USD,5.13,4.27,1.0,"Sep 01, 2044",5.0,13.06,-,0.98,2.49,0.98,USD,"Dec 16, 2014","Dec 16, 2014"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,665,659.15",0.3,"1,665,659.15","1,500,000.00",64971WBM1,US64971WBM10,-,110.21,United States,-,USD,4.48,4.12,1.0,"Nov 01, 2037",5.0,11.06,-,0.59,2.21,0.59,USD,"Feb 04, 2014","Feb 04, 2014"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,656,596.92",0.3,"1,656,596.92","1,320,000.00",64966QAV2,US64966QAV23,-,125.08,United States,-,USD,8.44,3.16,1.0,"Dec 01, 2039",5.0,12.49,-,1.21,6.0,1.21,USD,"Dec 18, 2018","Dec 18, 2018"
SALES TAX ASSET RECEIVABLE COR,Prerefund/Escrow,Fixed Income,"1,639,984.11",0.3,"1,639,984.11","1,440,000.00",794665FS3,US794665FS31,-,112.83,United States,-,USD,2.62,0.37,1.0,"Oct 15, 2024",5.0,2.62,-,0.37,2.62,0.37,USD,"Oct 15, 2014","Oct 15, 2014"
NEW YORK ST DORM AUTH ST PERS,Prerefund/Escrow,Fixed Income,"1,625,632.52",0.3,"1,625,632.52","1,400,000.00",64990E5N3,US64990E5N30,-,114.23,United States,-,USD,2.9,0.41,1.0,"Feb 15, 2025",5.0,2.89,-,0.41,2.89,0.41,USD,"Oct 20, 2016","Oct 20, 2016"
NEW YORK CITY NY TRANSITIONALFIN A,Local Tax-Backed,Fixed Income,"1,608,421.41",0.29,"1,608,421.41","1,400,000.00",64971WUD0,US64971WUD00,-,112.8,United States,-,USD,5.16,4.03,1.0,"Feb 01, 2041",5.0,11.4,-,0.79,2.85,0.79,USD,"Apr 23, 2015","Apr 23, 2015"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,606,826.60",0.29,"1,606,826.60","1,500,000.00",64971QX73,US64971QX730,-,105.04,United States,-,USD,1.79,4.17,1.0,"Feb 01, 2029",5.0,5.84,-,0.34,1.05,0.34,USD,"Apr 18, 2013","Apr 18, 2013"
TRIBOROUGH BRDG & TUNL AUTH N,Transportation,Fixed Income,"1,602,281.02",0.29,"1,602,281.02","1,375,000.00",89602N5Q3,US89602N5Q30,-,115.89,United States,-,USD,7.16,3.99,1.0,"Nov 15, 2046",5.0,14.22,-,1.25,3.97,1.25,USD,"Jan 28, 2016","Jan 28, 2016"
NEW YORK ST DORM AUTH REVS ST,Prerefund/Escrow,Fixed Income,"1,583,847.00",0.29,"1,583,847.00","1,510,000.00",64990HRF9,US64990HRF90,-,102.39,United States,-,USD,0.49,0.21,1.0,"Jul 01, 2022",5.0,0.49,-,0.21,0.49,0.21,USD,"Sep 19, 2012","Sep 19, 2012"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,577,583.98",0.29,"1,577,583.98","1,315,000.00",64966L5C1,US64966L5C12,-,117.89,United States,-,USD,3.82,1.0,1.0,"Aug 01, 2026",5.0,4.1,-,0.56,3.7,0.56,USD,"Mar 10, 2016","Mar 10, 2016"
SALES TAX ASSET RECEIVABLE COR,Prerefund/Escrow,Fixed Income,"1,577,345.83",0.29,"1,577,345.83","1,385,000.00",794665FT1,US794665FT14,-,112.83,United States,-,USD,2.62,0.37,1.0,"Oct 15, 2024",5.0,2.62,-,0.37,2.62,0.37,USD,"Oct 15, 2014","Oct 15, 2014"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,570,192.92",0.29,"1,570,192.92","1,255,000.00",64966MPE3,US64966MPE39,-,123.03,United States,-,USD,4.92,0.78,1.0,"Aug 01, 2027",5.0,4.91,-,0.78,4.91,0.78,USD,"Aug 10, 2017","Aug 10, 2017"
NEW YORK ST ENVIRONMENTAL FACS,Utility,Fixed Income,"1,542,970.55",0.28,"1,542,970.55","1,200,000.00",64985HC54,US64985HC543,-,126.69,United States,-,USD,9.2,3.47,1.0,"Feb 15, 2049",5.0,15.32,-,1.31,6.45,1.31,USD,"Jun 13, 2019","Jun 13, 2019"
TRIBOROUGH BRDG & TUNL AUTH N,Transportation,Fixed Income,"1,538,958.04",0.28,"1,538,958.04","1,355,000.00",89602N6S8,US89602N6S86,-,112.94,United States,-,USD,2.7,0.46,1.0,"Nov 15, 2024",5.0,2.7,-,0.46,2.7,0.46,USD,"Jan 19, 2017","Jan 19, 2017"
NEW YORK ST TWY AUTH SECOND GE,State Tax-Backed,Fixed Income,"1,536,281.10",0.28,"1,536,281.10","1,500,000.00",650014WB5,US650014WB56,-,101.17,United States,-,USD,0.48,4.81,1.0,"Apr 01, 2029",5.0,5.96,-,0.32,0.25,0.32,USD,"Mar 22, 2012","Mar 22, 2012"
WESTERN NASSAU CNTY N Y WTR AU,Utility,Fixed Income,"1,507,103.24",0.28,"1,507,103.24","1,255,000.00",958792EZ2,US958792EZ22,-,117.91,United States,-,USD,11.72,3.07,1.0,"Apr 01, 2051",4.0,17.17,-,1.88,7.74,1.88,USD,"Jun 15, 2021","Jun 15, 2021"
NEW YORK ST ENVIRONMENTAL FACS,Utility,Fixed Income,"1,499,450.68",0.27,"1,499,450.68","1,345,000.00",64986A3H2,US64986A3H28,-,111.26,United States,-,USD,3.32,3.28,1.0,"Jun 15, 2029",5.0,6.27,-,0.39,2.34,0.39,USD,"Mar 27, 2014","Mar 27, 2014"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"1,495,192.77",0.27,"1,495,192.77","1,330,000.00",59259Y3P2,US59259Y3P27,-,111.78,United States,-,USD,5.98,4.1,1.0,"Nov 15, 2040",5.0,12.12,-,1.41,3.12,1.41,USD,"Jan 22, 2015","Jan 22, 2015"
NEW YORK ST DORM AUTH SALES TA,State Tax-Backed,Fixed Income,"1,491,698.59",0.27,"1,491,698.59","1,335,000.00",64990ADQ5,US64990ADQ58,-,110.27,United States,-,USD,2.09,0.32,1.0,"Mar 15, 2024",5.0,2.09,-,0.32,2.09,0.32,USD,"Jul 30, 2015","Jul 30, 2015"
LONG IS PWR AUTH N Y ELEC SYS,Utility,Fixed Income,"1,491,424.33",0.27,"1,491,424.33","1,115,000.00",542691EP1,US542691EP10,-,132.51,United States,-,USD,8.99,2.23,1.0,"Sep 01, 2035",5.0,10.39,-,1.39,7.94,1.39,USD,"Sep 30, 2021","Sep 30, 2021"
UTILITY DEBT SECURITIZATION AU,Utility,Fixed Income,"1,484,637.87",0.27,"1,484,637.87","1,200,000.00",91802REK1,US91802REK14,-,123.5,United States,-,USD,7.33,3.26,1.0,"Dec 15, 2039",5.0,11.39,-,0.93,5.28,0.93,USD,"Nov 21, 2017","Nov 21, 2017"
