,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Mar 2023 Term Corporate ex-Financials ETF
AMAZON.COM INC,Consumer Cyclical,Fixed Income,"364,730.55",1.19,"364,730.55","355,000.00",023135AW6,US023135AW69,BFMLNF1,101.88,United States,-,USD,1.05,0.74,1.0,"Feb 22, 2023",2.4,1.12,-,0.61,1.04,0.61,USD,"Feb 22, 2018","Jun 06, 2018"
PROCTER & GAMBLE COMPANY,Consumer Non-Cyclical,Fixed Income,"358,554.63",1.17,"358,554.63","352,000.00",742718EU9,US742718EU91,BD9FR05,101.03,United States,-,USD,0.6,0.47,1.0,"Aug 11, 2022",2.15,0.6,-,0.47,0.6,0.47,USD,"Aug 11, 2017","Aug 11, 2017"
UNITED PARCEL SERVICE INC,Transportation,Fixed Income,"345,866.45",1.13,"345,866.45","339,000.00",911312AQ9,US911312AQ92,B7WCTT4,101.41,United States,-,USD,0.75,0.56,1.0,"Oct 01, 2022",2.45,0.74,-,0.56,0.74,0.56,USD,"Sep 27, 2012","Sep 27, 2012"
PHILIP MORRIS INTERNATIONAL INC,Consumer Non-Cyclical,Fixed Income,"341,328.24",1.11,"341,328.24","335,000.00",718172CA5,US718172CA54,BF954Z3,101.01,United States,-,USD,0.54,0.77,1.0,"Aug 17, 2022",2.38,0.62,-,0.52,0.54,0.52,USD,"Aug 17, 2017","Aug 17, 2017"
INTERNATIONAL BUSINESS MACHINES CO,Technology,Fixed Income,"335,261.03",1.09,"335,261.03","330,000.00",459200HG9,US459200HG92,B8F5C09,100.81,United States,-,USD,0.58,0.48,1.0,"Aug 01, 2022",1.88,0.58,-,0.48,0.58,0.48,USD,"Jul 30, 2012","Jul 30, 2012"
NOVARTIS CAPITAL CORP,Consumer Non-Cyclical,Fixed Income,"331,697.17",1.08,"331,697.17","325,000.00",66989HAE8,US66989HAE80,B8GM243,101.39,Switzerland,-,USD,0.72,0.46,1.0,"Sep 21, 2022",2.4,0.71,-,0.46,0.71,0.46,USD,"Sep 21, 2012","Sep 21, 2012"
DEERE & CO,Capital Goods,Fixed Income,"329,899.48",1.08,"329,899.48","328,000.00",244199BE4,US244199BE40,B80CFY0,100.41,United States,-,USD,0.18,1.64,1.0,"Jun 08, 2022",2.6,0.43,-,0.37,0.19,0.37,USD,"Jun 08, 2012","Jun 08, 2012"
UNILEVER CAPITAL CORP,Consumer Non-Cyclical,Fixed Income,"327,720.97",1.07,"327,720.97","325,000.00",904764AW7,US904764AW76,BDGKT29,100.5,Netherlands,-,USD,0.26,0.76,1.0,"May 05, 2022",2.2,0.34,-,0.3,0.26,0.3,USD,"May 05, 2017","May 05, 2017"
BAKER HUGHES A GE CO LLC / BAKER H,Energy,Fixed Income,"313,435.47",1.02,"313,435.47","307,000.00",05723KAD2,US05723KAD28,BF3SRX7,101.97,United States,-,USD,0.87,0.7,1.0,"Dec 15, 2022",2.77,0.95,-,0.5,0.86,0.5,USD,"Dec 11, 2017","Jan 31, 2018"
EOG RESOURCES INC.,Energy,Fixed Income,"307,460.75",1.0,"307,460.75","300,000.00",26875PAK7,US26875PAK75,B84LCZ3,101.71,United States,-,USD,0.95,1.19,1.0,"Mar 15, 2023",2.63,1.18,-,0.82,0.94,0.82,USD,"Sep 10, 2012","Sep 10, 2012"
HONEYWELL INTERNATIONAL INC,Capital Goods,Fixed Income,"305,181.11",1.0,"305,181.11","300,000.00",438516BT2,US438516BT21,BJBLQ73,100.87,United States,-,USD,0.51,0.7,1.0,"Aug 08, 2022",2.15,0.6,-,0.47,0.51,0.47,USD,"Aug 08, 2019","Aug 08, 2019"
PHILIP MORRIS INTERNATIONAL INC,Consumer Non-Cyclical,Fixed Income,"297,743.82",0.97,"297,743.82","289,000.00",718172AV1,US718172AV10,B930D99,102.19,United States,-,USD,1.16,0.76,1.0,"Mar 06, 2023",2.63,1.16,-,0.76,1.16,0.76,USD,"Mar 04, 2013","Mar 04, 2013"
EXXON MOBIL CORP,Energy,Fixed Income,"285,370.02",0.93,"285,370.02","277,000.00",30231GAR3,US30231GAR39,BYYD0D5,102.11,United States,-,USD,0.99,0.9,1.0,"Mar 01, 2023",2.73,1.14,-,0.6,0.98,0.6,USD,"Mar 03, 2016","Mar 03, 2016"
PEPSICO INC,Consumer Non-Cyclical,Fixed Income,"278,282.29",0.91,"278,282.29","269,000.00",713448CG1,US713448CG16,B8FXQJ0,102.53,United States,-,USD,1.14,0.57,1.0,"Mar 01, 2023",2.75,1.14,-,0.57,1.14,0.57,USD,"Feb 28, 2013","Feb 28, 2013"
NOVARTIS CAPITAL CORP,Consumer Non-Cyclical,Fixed Income,"277,437.44",0.91,"277,437.44","275,000.00",66989HAM0,US66989HAM07,BZ7NY93,100.59,Switzerland,-,USD,0.29,0.82,1.0,"May 17, 2022",2.4,0.38,-,0.38,0.3,0.38,USD,"Feb 17, 2017","Feb 17, 2017"
WALMART INC,Consumer Cyclical,Fixed Income,"276,802.01",0.9,"276,802.01","272,000.00",931142DU4,US931142DU48,BZ1H242,101.66,United States,-,USD,0.87,0.6,1.0,"Dec 15, 2022",2.35,0.95,-,0.44,0.87,0.44,USD,"Oct 20, 2017","Oct 20, 2017"
APPLE INC,Technology,Fixed Income,"273,600.13",0.89,"273,600.13","265,000.00",037833BU3,US037833BU32,BYN2GL3,102.23,United States,-,USD,0.96,0.88,1.0,"Feb 23, 2023",2.85,1.12,-,0.56,0.96,0.56,USD,"Feb 23, 2016","Feb 23, 2016"
AMERICAN HONDA FINANCE CORPORATION MTN,Consumer Cyclical,Fixed Income,"269,289.38",0.88,"269,289.38","267,000.00",02665WCY5,US02665WCY57,BJ7PMS2,100.83,Japan,-,USD,0.49,0.49,1.0,"Jun 27, 2022",2.2,0.49,-,0.49,0.49,0.49,USD,"Jun 27, 2019","Jun 27, 2019"
ABB FINANCE USA INC,Capital Goods,Fixed Income,"258,165.22",0.84,"258,165.22","255,000.00",00037BAB8,US00037BAB80,B7W9683,100.82,Switzerland,-,USD,0.35,0.55,1.0,"May 08, 2022",2.88,0.35,-,0.55,0.35,0.55,USD,"May 08, 2012","May 08, 2012"
APPLE INC,Technology,Fixed Income,"258,090.60",0.84,"258,090.60","255,000.00",037833BF6,US037833BF64,BXC5WQ3,100.85,United States,-,USD,0.36,0.37,1.0,"May 13, 2022",2.7,0.37,-,0.37,0.37,0.37,USD,"May 13, 2015","May 13, 2015"
TOYOTA MOTOR CREDIT CORP MTN,Consumer Cyclical,Fixed Income,"256,074.57",0.84,"256,074.57","248,000.00",89233P7F7,US89233P7F71,B8GMCL0,102.01,Japan,-,USD,1.01,0.66,1.0,"Jan 10, 2023",2.63,1.0,-,0.66,1.0,0.66,USD,"Jan 10, 2013","Jan 10, 2013"
AMERICAN HONDA FINANCE CORPORATION MTN,Consumer Cyclical,Fixed Income,"255,984.38",0.84,"255,984.38","250,000.00",02665WDC2,US02665WDC29,BKV2L34,101.42,United States,-,USD,1.01,0.66,1.0,"Jan 10, 2023",2.05,1.01,-,0.66,1.01,0.66,USD,"Sep 10, 2019","Sep 10, 2019"
GENERAL DYNAMICS CORPORATION,Capital Goods,Fixed Income,"246,420.23",0.8,"246,420.23","243,000.00",369550AU2,US369550AU23,B8ZQTM3,101.12,United States,-,USD,0.62,0.96,1.0,"Nov 15, 2022",2.25,0.86,-,0.44,0.62,0.44,USD,"Nov 06, 2012","Nov 06, 2012"
MERCK & CO INC,Consumer Non-Cyclical,Fixed Income,"243,858.38",0.8,"243,858.38","240,000.00",589331AT4,US589331AT41,B8FNG45,100.9,United States,-,USD,0.45,1.11,1.0,"Sep 15, 2022",2.4,0.7,-,0.42,0.45,0.42,USD,"Sep 13, 2012","Sep 13, 2012"
TOTAL CAPITAL INTERNATIONAL SA,Energy,Fixed Income,"237,654.40",0.78,"237,654.40","230,000.00",89153VAE9,US89153VAE92,B86QQ87,102.16,France,-,USD,1.05,0.67,1.0,"Jan 25, 2023",2.7,1.04,-,0.67,1.04,0.67,USD,"Sep 25, 2012","Sep 25, 2012"
GLAXOSMITHKLINE CAPITAL INC,Consumer Non-Cyclical,Fixed Income,"237,592.56",0.78,"237,592.56","230,000.00",377372AH0,US377372AH03,B99FK75,102.5,United Kingdom,-,USD,1.19,0.73,1.0,"Mar 18, 2023",2.8,1.19,-,0.73,1.19,0.73,USD,"Mar 18, 2013","Mar 18, 2013"
INTERNATIONAL BUSINESS MACHINES CO,Technology,Fixed Income,"235,348.14",0.77,"235,348.14","230,000.00",459200JC6,US459200JC60,BZBZMB3,101.91,United States,-,USD,0.85,0.63,1.0,"Nov 09, 2022",2.88,0.85,-,0.63,0.85,0.63,USD,"Nov 09, 2015","Nov 09, 2015"
TOYOTA MOTOR CREDIT CORP,Consumer Cyclical,Fixed Income,"234,112.08",0.76,"234,112.08","230,000.00",89236TEC5,US89236TEC53,BF99VV0,101.11,Japan,-,USD,0.68,0.52,1.0,"Sep 08, 2022",2.15,0.68,-,0.52,0.68,0.52,USD,"Sep 08, 2017","Sep 08, 2017"
PRECISION CASTPARTS CORP.,Capital Goods,Fixed Income,"233,162.55",0.76,"233,162.55","227,000.00",740189AG0,US740189AG06,B8KRPX4,101.56,United States,-,USD,0.78,0.98,1.0,"Jan 15, 2023",2.5,1.02,-,0.51,0.77,0.51,USD,"Dec 20, 2012","Dec 20, 2012"
INTEL CORP,Technology,Fixed Income,"231,398.75",0.76,"231,398.75","225,000.00",458140AR1,US458140AR18,BWVFJN3,101.54,United States,-,USD,0.57,0.44,1.0,"Jul 29, 2022",3.1,0.57,-,0.44,0.57,0.44,USD,"Jul 29, 2015","Jul 29, 2015"
GILEAD SCIENCES INC,Consumer Non-Cyclical,Fixed Income,"230,434.50",0.75,"230,434.50","225,000.00",375558BC6,US375558BC64,BYMYP57,101.33,United States,-,USD,0.49,1.24,1.0,"Sep 01, 2022",3.25,0.65,-,0.58,0.49,0.58,USD,"Sep 14, 2015","Sep 14, 2015"
3M CO MTN,Capital Goods,Fixed Income,"228,740.59",0.75,"228,740.59","227,000.00",88579YAF8,US88579YAF88,B7NJ2Q2,100.74,United States,-,USD,0.49,0.48,1.0,"Jun 26, 2022",2.0,0.48,-,0.48,0.48,0.48,USD,"Jun 26, 2012","Jun 26, 2012"
COMCAST CABLE COMMUNICATIONS HOLDI,Communications,Fixed Income,"227,538.59",0.74,"227,538.59","209,000.00",00209TAB1,US00209TAB17,2166502,107.66,United States,-,USD,0.85,0.63,1.0,"Nov 15, 2022",9.46,0.85,-,0.63,0.85,0.63,USD,"Nov 18, 2002","Nov 18, 2002"
BRISTOL-MYERS SQUIBB CO,Consumer Non-Cyclical,Fixed Income,"215,697.99",0.7,"215,697.99","212,000.00",110122AT5,US110122AT56,B7GX3F7,100.91,United States,-,USD,0.58,0.43,1.0,"Aug 01, 2022",2.0,0.58,-,0.43,0.58,0.43,USD,"Jul 31, 2012","Jul 31, 2012"
DIAGEO INVESTMENT CORPORATION,Consumer Non-Cyclical,Fixed Income,"212,621.44",0.69,"212,621.44","210,000.00",25245BAB3,US25245BAB36,B84RFF2,100.85,United Kingdom,-,USD,0.36,0.52,1.0,"May 11, 2022",2.88,0.36,-,0.52,0.36,0.52,USD,"May 11, 2012","May 11, 2012"
UNILEVER CAPITAL CORP,Consumer Non-Cyclical,Fixed Income,"207,118.75",0.68,"207,118.75","200,000.00",904764BA4,US904764BA48,BF1F3Q5,102.7,United States,-,USD,1.12,0.9,1.0,"Mar 22, 2023",3.13,1.2,-,0.75,1.12,0.75,USD,"Mar 22, 2018","Mar 22, 2018"
PRICELINE GROUP INC,Consumer Cyclical,Fixed Income,"207,021.40",0.68,"207,021.40","201,000.00",741503BB1,US741503BB15,BF5KFL5,102.19,United States,-,USD,1.11,0.92,1.0,"Mar 15, 2023",2.75,1.18,-,0.79,1.1,0.79,USD,"Aug 15, 2017","Aug 15, 2017"
BAIDU INC,Technology,Fixed Income,"204,826.22",0.67,"204,826.22","200,000.00",056752AB4,US056752AB41,B997SV1,102.1,China,-,USD,0.9,1.17,1.0,"Nov 28, 2022",3.5,0.9,-,1.17,0.9,1.17,USD,"Nov 28, 2012","Nov 28, 2012"
BAIDU INC,Technology,Fixed Income,"204,487.15",0.67,"204,487.15","200,000.00",056752AH1,US056752AH11,BF251Z9,100.85,China,-,USD,0.5,1.21,1.0,"Jul 06, 2022",2.88,0.51,-,1.21,0.51,1.21,USD,"Jul 06, 2017","Jul 06, 2017"
CATERPILLAR FINANCIAL SERVICES COR MTN,Capital Goods,Fixed Income,"204,441.03",0.67,"204,441.03","205,000.00",14913R2J5,US14913R2J59,-,99.64,United States,-,USD,1.16,0.56,1.0,"Mar 01, 2023",0.25,1.16,-,0.56,1.16,0.56,USD,"Mar 01, 2021","Mar 01, 2021"
MICROSOFT CORP,Technology,Fixed Income,"202,411.91",0.66,"202,411.91","199,000.00",594918AQ7,US594918AQ78,B7JJ5L2,101.44,United States,-,USD,0.87,0.47,1.0,"Nov 15, 2022",2.13,0.86,-,0.47,0.86,0.47,USD,"Nov 07, 2012","Nov 07, 2012"
NEXTERA ENERGY CAPITAL HOLDINGS IN,Electric,Fixed Income,"200,059.33",0.65,"200,059.33","200,000.00",65339KBU3,US65339KBU34,-,99.81,United States,-,USD,1.16,0.81,1.0,"Mar 01, 2023",0.65,1.16,-,0.81,1.16,0.81,USD,"Mar 17, 2021","Mar 17, 2021"
PEPSICO INC,Consumer Non-Cyclical,Fixed Income,"196,639.46",0.64,"196,639.46","195,000.00",713448DT2,US713448DT28,BD45XC4,100.47,United States,-,USD,0.25,0.84,1.0,"May 02, 2022",2.25,0.33,-,0.38,0.26,0.38,USD,"May 02, 2017","May 02, 2017"
ELI LILLY AND COMPANY,Consumer Non-Cyclical,Fixed Income,"196,027.84",0.64,"196,027.84","194,000.00",532457BQ0,US532457BQ09,BDVJY04,100.75,United States,-,USD,0.37,0.34,1.0,"May 15, 2022",2.35,0.37,-,0.34,0.37,0.34,USD,"May 09, 2017","May 09, 2017"
BURLINGTON NORTHERN SANTA FE LLC,Transportation,Fixed Income,"195,837.43",0.64,"195,837.43","190,000.00",12189LAM3,US12189LAM37,B951YM0,102.19,United States,-,USD,0.94,1.17,1.0,"Mar 15, 2023",3.0,1.18,-,0.7,0.94,0.7,USD,"Mar 12, 2013","Mar 12, 2013"
MICROSOFT CORPORATION,Technology,Fixed Income,"186,465.92",0.61,"186,465.92","183,000.00",594918BH6,US594918BH60,BYV2RY5,101.47,United States,-,USD,0.67,0.89,1.0,"Nov 03, 2022",2.65,0.83,-,0.46,0.67,0.46,USD,"Nov 03, 2015","Nov 03, 2015"
QUALCOMM INCORPORATED,Technology,Fixed Income,"180,406.33",0.59,"180,406.33","175,000.00",747525AR4,US747525AR43,BF3KVH5,102.01,United States,-,USD,0.98,0.74,1.0,"Jan 30, 2023",2.6,1.06,-,0.59,0.98,0.59,USD,"May 26, 2017","May 26, 2017"
NATIONAL RURAL UTILITIES COOPERATI,Electric,Fixed Income,"176,566.25",0.58,"176,566.25","175,000.00",637432NM3,US637432NM30,BDCWFW1,100.46,United States,-,USD,0.23,0.95,1.0,"Apr 25, 2022",2.4,0.32,-,0.44,0.24,0.44,USD,"Apr 25, 2017","Apr 25, 2017"
ORACLE CORPORATION,Technology,Fixed Income,"176,250.28",0.58,"176,250.28","175,000.00",68389XBB0,US68389XBB01,BWTM323,100.4,United States,-,USD,0.2,1.43,1.0,"May 15, 2022",2.5,0.37,-,0.57,0.21,0.57,USD,"May 05, 2015","May 05, 2015"
WALT DISNEY COMPANY (THE) MTN,Communications,Fixed Income,"172,991.72",0.56,"172,991.72","170,000.00",25468PCW4,US25468PCW41,B6YCNP9,101.56,United States,-,USD,0.91,0.64,1.0,"Dec 01, 2022",2.35,0.91,-,0.64,0.91,0.64,USD,"Nov 30, 2012","Nov 30, 2012"
ONCOR ELECTRIC DELIVERY CO LLC,Electric,Fixed Income,"171,537.93",0.56,"171,537.93","170,000.00",68233JAR5,US68233JAR59,B7MWLF4,100.56,United States,-,USD,0.16,2.72,1.0,"Jun 01, 2022",4.1,0.41,-,0.7,0.17,0.7,USD,"May 18, 2012","Aug 23, 2012"
NORTHERN STATES POWER COMPANY (MIN,Electric,Fixed Income,"166,627.27",0.54,"166,627.27","165,000.00",665772CH0,US665772CH05,B73TH78,100.17,United States,-,USD,0.13,1.87,1.0,"Aug 15, 2022",2.15,0.61,-,0.72,0.12,0.72,USD,"Aug 13, 2012","Aug 13, 2012"
PRAXAIR INC,Basic Industry,Fixed Income,"163,383.63",0.53,"163,383.63","159,000.00",74005PBF0,US74005PBF09,B9KGTQ9,101.78,United States,-,USD,0.88,1.12,1.0,"Feb 21, 2023",2.7,1.11,-,0.68,0.87,0.68,USD,"Feb 21, 2013","Feb 21, 2013"
3M CO MTN,Capital Goods,Fixed Income,"162,729.35",0.53,"162,729.35","159,000.00",88579YAX9,US88579YAX94,BD6NKB4,101.68,United States,-,USD,1.11,0.84,1.0,"Mar 15, 2023",2.25,1.18,-,0.74,1.1,0.74,USD,"Oct 02, 2017","Oct 02, 2017"
PHILIP MORRIS INTERNATIONAL INC,Consumer Non-Cyclical,Fixed Income,"162,415.05",0.53,"162,415.05","159,000.00",718172AT6,US718172AT63,B72SNZ6,101.25,United States,-,USD,0.63,0.54,1.0,"Aug 22, 2022",2.5,0.63,-,0.54,0.63,0.54,USD,"Aug 21, 2012","Aug 21, 2012"
BRISTOL-MYERS SQUIBB CO,Consumer Non-Cyclical,Fixed Income,"159,946.92",0.52,"159,946.92","154,000.00",110122CZ9,US110122CZ98,-,102.68,United States,-,USD,1.03,0.87,1.0,"Feb 20, 2023",3.25,1.11,-,0.69,1.02,0.69,USD,"Feb 20, 2020","Jul 17, 2020"
CATERPILLAR FINANCIAL SERVICES COR MTN,Capital Goods,Fixed Income,"156,602.18",0.51,"156,602.18","155,000.00",14913QAA7,US14913QAA76,BZ4DLY0,100.87,United States,-,USD,0.43,0.38,1.0,"Jun 06, 2022",2.4,0.43,-,0.38,0.43,0.38,USD,"Jun 06, 2017","Jun 06, 2017"
APPLE INC,Technology,Fixed Income,"156,338.34",0.51,"156,338.34","155,000.00",037833CQ1,US037833CQ11,BD3N0S4,100.54,United States,-,USD,0.28,0.79,1.0,"May 11, 2022",2.3,0.36,-,0.34,0.28,0.34,USD,"May 11, 2017","May 11, 2017"
EMERSON ELECTRIC CO,Capital Goods,Fixed Income,"153,986.50",0.5,"153,986.50","150,000.00",291011BE3,US291011BE39,B9KH3Q0,101.67,United States,-,USD,0.87,1.13,1.0,"Feb 15, 2023",2.63,1.1,-,0.71,0.86,0.71,USD,"Feb 20, 2013","Feb 20, 2013"
CATERPILLAR FINANCIAL SERVICES COR MTN,Capital Goods,Fixed Income,"153,635.39",0.5,"153,635.39","149,000.00",14912L5Q0,US14912L5Q03,B9K7Q49,102.24,United States,-,USD,1.14,0.7,1.0,"Mar 01, 2023",2.63,1.14,-,0.7,1.14,0.7,USD,"Feb 28, 2013","Feb 28, 2013"
AMAZON.COM INC,Consumer Cyclical,Fixed Income,"153,321.21",0.5,"153,321.21","151,000.00",023135AJ5,US023135AJ58,B8VBQ21,101.32,United States,-,USD,0.66,1.05,1.0,"Nov 29, 2022",2.5,0.9,-,0.5,0.65,0.5,USD,"Nov 29, 2012","Nov 29, 2012"
COLGATE-PALMOLIVE CO MTN,Consumer Non-Cyclical,Fixed Income,"153,248.25",0.5,"153,248.25","150,000.00",19416QEA4,US19416QEA40,B8BGTC7,101.35,United States,-,USD,1.07,0.69,1.0,"Feb 01, 2023",1.95,1.07,-,0.69,1.07,0.69,USD,"Aug 01, 2012","Aug 01, 2012"
CISCO SYSTEMS INC,Technology,Fixed Income,"151,925.00",0.5,"151,925.00","150,000.00",17275RAV4,US17275RAV42,BZ0Y976,101.15,United States,-,USD,0.45,0.47,1.0,"Jun 15, 2022",3.0,0.45,-,0.47,0.45,0.47,USD,"Jun 17, 2015","Jun 17, 2015"
ABBVIE INC,Consumer Non-Cyclical,Fixed Income,"150,379.61",0.49,"150,379.61","147,000.00",00287YAL3,US00287YAL39,BD035B5,101.86,United States,-,USD,0.84,0.7,1.0,"Nov 06, 2022",2.9,0.84,-,0.7,0.84,0.7,USD,"May 06, 2013","Aug 05, 2013"
BERKSHIRE HATHAWAY ENERGY CO,Electric,Fixed Income,"149,792.41",0.49,"149,792.41","145,000.00",084659AK7,US084659AK79,BG5NT19,102.01,United States,-,USD,0.94,0.85,1.0,"Jan 15, 2023",2.8,1.01,-,0.68,0.93,0.68,USD,"Jan 05, 2018","May 02, 2018"
CISCO SYSTEMS INC,Technology,Fixed Income,"149,566.53",0.49,"149,566.53","145,000.00",17275RBE1,US17275RBE18,BYYLJ76,102.26,United States,-,USD,1.14,0.64,1.0,"Feb 28, 2023",2.6,1.14,-,0.64,1.14,0.64,USD,"Feb 29, 2016","Feb 29, 2016"
AT&T INC,Communications,Fixed Income,"147,223.94",0.48,"147,223.94","145,000.00",00206RBN1,US00206RBN17,B8KGTH3,101.32,United States,-,USD,0.67,1.18,1.0,"Dec 01, 2022",2.63,0.9,-,0.65,0.66,0.65,USD,"Dec 11, 2012","Dec 11, 2012"
PEPSICO INC,Consumer Non-Cyclical,Fixed Income,"137,227.02",0.45,"137,227.02","134,000.00",713448CX4,US713448CX49,BYQXN45,101.0,United States,-,USD,0.37,1.26,1.0,"Jul 17, 2022",3.1,0.53,-,0.45,0.37,0.45,USD,"Jul 17, 2015","Jul 17, 2015"
KAISER FOUNDATION HOSPITALS,Consumer Non-Cyclical,Fixed Income,"137,130.30",0.45,"137,130.30","135,000.00",48305QAA1,US48305QAA13,B7DCCM7,100.7,United States,-,USD,0.25,0.68,1.0,"Apr 01, 2022",3.5,0.25,-,0.68,0.25,0.68,USD,"Apr 11, 2012","Apr 11, 2012"
RALPH LAUREN CORP,Consumer Cyclical,Fixed Income,"135,863.40",0.44,"135,863.40","135,000.00",731572AA1,US731572AA14,-,100.56,United States,-,USD,0.45,0.46,1.0,"Jun 15, 2022",1.7,0.45,-,0.46,0.45,0.46,USD,"Jun 03, 2020","Jun 03, 2020"
PACCAR FINANCIAL CORP MTN,Consumer Cyclical,Fixed Income,"127,506.04",0.42,"127,506.04","125,000.00",69371RN77,US69371RN778,BF47RZ5,101.1,United States,-,USD,0.6,0.48,1.0,"Aug 10, 2022",2.3,0.6,-,0.48,0.6,0.48,USD,"Aug 10, 2017","Aug 10, 2017"
INTEL CORPORATION,Technology,Fixed Income,"126,087.99",0.41,"126,087.99","125,000.00",458140BB5,US458140BB56,BZ5ZTH4,100.54,United States,-,USD,0.28,0.84,1.0,"May 11, 2022",2.35,0.36,-,0.38,0.28,0.38,USD,"May 11, 2017","May 11, 2017"
DUKE ENERGY CORP,Electric,Fixed Income,"122,486.67",0.4,"122,486.67","120,000.00",26441CAJ4,US26441CAJ45,B84LGT5,100.92,United States,-,USD,0.37,1.56,1.0,"Aug 15, 2022",3.05,0.61,-,0.57,0.37,0.57,USD,"Aug 16, 2012","Aug 16, 2012"
DUKE ENERGY CAROLINAS LLC,Electric,Fixed Income,"120,028.74",0.39,"120,028.74","116,000.00",26442CAV6,US26442CAV63,BDVLMZ1,102.58,United States,-,USD,1.1,0.9,1.0,"Mar 15, 2023",3.05,1.18,-,0.74,1.1,0.74,USD,"Mar 01, 2018","Mar 01, 2018"
PACIFIC GAS AND ELECTRIC COMPANY,Electric,Fixed Income,"120,004.70",0.39,"120,004.70","120,000.00",694308JE8,US694308JE87,-,99.93,United States,-,USD,0.39,1.9,1.0,"Jun 16, 2022",1.75,0.45,-,1.9,0.45,1.9,USD,"Jun 19, 2020","Jun 19, 2020"
DUKE ENERGY CAROLINAS LLC,Electric,Fixed Income,"117,893.53",0.38,"117,893.53","115,000.00",26442CAQ7,US26442CAQ78,BZ587C4,101.78,United States,-,USD,1.03,1.01,1.0,"Mar 15, 2023",2.5,1.18,-,0.78,1.02,0.78,USD,"Mar 11, 2016","Mar 11, 2016"
EXXON MOBIL CORP,Energy,Fixed Income,"115,864.18",0.38,"115,864.18","114,000.00",30231GBB7,US30231GBB77,BJQZJY8,100.92,United States,-,USD,0.62,0.42,1.0,"Aug 16, 2022",1.9,0.62,-,0.42,0.62,0.42,USD,"Aug 16, 2019","Aug 16, 2019"
BRISTOL-MYERS SQUIBB CO,Consumer Non-Cyclical,Fixed Income,"113,537.72",0.37,"113,537.72","110,000.00",110122CX4,US110122CX41,-,101.88,United States,-,USD,0.61,0.53,1.0,"Aug 15, 2022",3.55,0.61,-,0.53,0.61,0.53,USD,"Feb 15, 2020","Jul 15, 2020"
