,,,,,,,,,,,,,,,,,,,,,,,,,,iShares Short-Term National Muni Bond ETF
LIVONIA MICH PUB SCHS SCH DIST,Prerefund/Escrow,Fixed Income,"18,054,856.44",0.26,"18,054,856.44","16,850,000.00",539243ST3,US539243ST35,-,106.32,United States,-,USD,1.3,0.25,1.0,"May 01, 2023",5.0,1.3,-,0.25,1.3,0.25,USD,"Jun 27, 2013","Jun 27, 2013"
NEW JERSEY ST TPK AUTH TPK REV,Prerefund/Escrow,Fixed Income,"17,240,081.62",0.25,"17,240,081.62","16,435,000.00",6461393H6,US6461393H69,-,102.4,United States,-,USD,0.49,0.2,1.0,"Jul 01, 2022",5.0,0.49,-,0.2,0.49,0.2,USD,"Apr 04, 2013","Apr 04, 2013"
MINNESOTA ST,State Tax-Backed,Fixed Income,"17,174,690.17",0.25,"17,174,690.17","14,130,000.00",60412AWF6,US60412AWF64,-,120.19,United States,-,USD,4.21,0.61,1.0,"Sep 01, 2026",5.0,4.21,-,0.61,4.21,0.61,USD,"Sep 23, 2021","Sep 23, 2021"
MISSOURI ST BRD PUB BLDGS SPL,State Tax-Backed,Fixed Income,"17,067,964.50",0.25,"17,067,964.50","15,000,000.00",606341MA0,US606341MA06,-,112.54,United States,-,USD,2.58,0.41,1.0,"Oct 01, 2024",5.0,2.58,-,0.41,2.58,0.41,USD,"Aug 25, 2020","Aug 25, 2020"
NORTH CAROLINA ST LTD OBLIG,State Tax-Backed,Fixed Income,"16,831,171.38",0.25,"16,831,171.38","15,710,000.00",65829QEN0,US65829QEN07,-,106.3,United States,-,USD,1.3,0.26,1.0,"May 01, 2023",5.0,1.3,-,0.26,1.3,0.26,USD,"Aug 05, 2021","Aug 05, 2021"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"16,527,496.53",0.24,"16,527,496.53","15,770,000.00",64990ECG0,US64990ECG08,-,104.58,United States,-,USD,1.15,3.74,1.0,"Dec 15, 2025",5.0,3.57,-,0.2,0.94,0.2,USD,"Jun 28, 2012","Jun 28, 2012"
VIRGINIA ST PUB BLDG AUTH PUB,State Tax-Backed,Fixed Income,"16,514,981.47",0.24,"16,514,981.47","14,000,000.00",9281726A8,US9281726A89,-,115.88,United States,-,USD,3.28,0.52,1.0,"Aug 01, 2025",5.0,3.28,-,0.52,3.28,0.52,USD,"Apr 23, 2020","Apr 23, 2020"
SAN DIEGO CALIF UNI SCH DIST,School Districts,Fixed Income,"16,422,188.93",0.24,"16,422,188.93","15,655,000.00",797356BE1,US797356BE12,-,102.4,United States,-,USD,0.49,0.19,1.0,"Jul 01, 2022",5.0,0.49,-,0.19,0.49,0.19,USD,"Aug 27, 2020","Aug 27, 2020"
GEORGIA ST,State Tax-Backed,Fixed Income,"16,021,346.08",0.23,"16,021,346.08","13,115,000.00",373385GM9,US373385GM95,-,120.08,United States,-,USD,4.12,0.56,1.0,"Aug 01, 2026",5.0,4.12,-,0.56,4.12,0.56,USD,"Aug 27, 2020","Aug 27, 2020"
TEXAS ST,Prerefund/Escrow,Fixed Income,"15,950,333.77",0.23,"15,950,333.77","14,025,000.00",882723TB5,US882723TB52,-,112.48,United States,-,USD,2.58,0.43,1.0,"Oct 01, 2024",5.0,2.58,-,0.43,2.58,0.43,USD,"Dec 18, 2014","Dec 18, 2014"
FLORIDA ST BRD ED PUB ED,State Tax-Backed,Fixed Income,"15,833,854.89",0.23,"15,833,854.89","14,780,000.00",34153QPZ3,US34153QPZ36,-,106.71,United States,-,USD,1.38,0.25,1.0,"Jun 01, 2023",5.0,1.38,-,0.25,1.38,0.25,USD,"Apr 11, 2019","Apr 11, 2019"
WILL CNTY ILL,Prerefund/Escrow,Fixed Income,"15,598,237.31",0.23,"15,598,237.31","13,255,000.00",968657HM1,US968657HM19,-,117.04,United States,-,USD,3.57,0.55,1.0,"Nov 15, 2025",5.0,3.57,-,0.55,3.57,0.55,USD,"Aug 24, 2016","Aug 24, 2016"
TEXAS ST,Prerefund/Escrow,Fixed Income,"15,594,384.38",0.23,"15,594,384.38","15,225,000.00",8827227S4,US8827227S43,-,101.18,United States,-,USD,0.25,0.29,1.0,"Apr 01, 2022",5.0,0.25,-,0.29,0.25,0.29,USD,"Dec 18, 2012","Dec 18, 2012"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"15,361,826.81",0.23,"15,361,826.81","13,600,000.00",59261APQ4,US59261APQ49,-,112.32,United States,-,USD,2.7,0.66,1.0,"Nov 15, 2024",5.0,2.7,-,0.66,2.7,0.66,USD,"Dec 14, 2017","Dec 14, 2017"
OHIO ST,Prerefund/Escrow,Fixed Income,"15,358,959.33",0.23,"15,358,959.33","15,000,000.00",677522DJ0,US677522DJ00,-,102.17,United States,-,USD,0.45,0.23,1.0,"Jun 15, 2022",5.0,0.46,-,0.23,0.46,0.23,USD,"May 19, 2015","May 19, 2015"
METROPOLITAN COUNCIL MINN MINN,Local Tax-Backed,Fixed Income,"15,340,859.55",0.22,"15,340,859.55","13,500,000.00",591852Z35,US591852Z359,-,113.22,United States,-,USD,2.75,0.43,1.0,"Dec 01, 2024",5.0,2.75,-,0.43,2.75,0.43,USD,"May 05, 2021","May 05, 2021"
SALT RIV PROJ AGRIC IMPT & PWR,Utility,Fixed Income,"15,188,701.02",0.22,"15,188,701.02","13,695,000.00",79574CET6,US79574CET62,-,109.25,United States,-,USD,1.91,0.35,1.0,"Jan 01, 2024",5.0,1.9,-,0.35,1.9,0.35,USD,"Sep 02, 2021","Sep 02, 2021"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"15,134,917.67",0.22,"15,134,917.67","14,120,000.00",650036CM6,US650036CM69,-,105.72,United States,-,USD,1.17,0.25,1.0,"Mar 15, 2023",5.0,1.17,-,0.25,1.17,0.25,USD,"Dec 23, 2020","Dec 23, 2020"
MASSACHUSETTS ST SCH BLDG AUTH,Prerefund/Escrow,Fixed Income,"15,122,170.20",0.22,"15,122,170.20","14,420,000.00",576000NH2,US576000NH21,-,102.98,United States,-,USD,0.61,0.2,1.0,"Aug 15, 2022",5.0,0.61,-,0.2,0.61,0.2,USD,"Oct 30, 2012","Oct 30, 2012"
BI-STATE DEV AGY MO ILL MET DI,Prerefund/Escrow,Fixed Income,"15,122,196.31",0.22,"15,122,196.31","14,425,000.00",088632BL7,US088632BL70,-,103.58,United States,-,USD,0.74,0.22,1.0,"Oct 01, 2022",5.0,0.74,-,0.22,0.74,0.22,USD,"Aug 01, 2013","Aug 01, 2013"
NEW YORK N Y CITY TRANSITIONAL,Cash and/or Derivatives,Cash,"15,000,756.16",0.22,"15,000,756.16","15,000,000.00",64971XFY9,US64971XFY94,-,100.0,United States,-,USD,0.0,0.08,1.0,"Aug 01, 2045",0.08,0.0,-,0.08,0.0,0.08,USD,"Aug 10, 2018","Aug 10, 2018"
NEW YORK N Y CITY MUN WTR FIN AUTH,Cash and/or Derivatives,Cash,"15,000,464.38",0.22,"15,000,464.38","15,000,000.00",64972FX27,US64972FX277,-,100.0,United States,-,USD,0.0,0.07,1.0,"Jun 15, 2043",0.07,0.0,-,0.07,0.0,0.07,USD,"Nov 18, 2010","Nov 18, 2010"
NORTH CAROLINA ST LTD OBLIG,State Tax-Backed,Fixed Income,"14,943,491.92",0.22,"14,943,491.92","13,395,000.00",65829QEP5,US65829QEP54,-,110.73,United States,-,USD,2.22,0.38,1.0,"May 01, 2024",5.0,2.22,-,0.38,2.22,0.38,USD,"Aug 05, 2021","Aug 05, 2021"
METROPOLITAN GOVT NASHVILLE &,Local Tax-Backed,Fixed Income,"14,702,596.84",0.22,"14,702,596.84","13,425,000.00",592112TT3,US592112TT31,-,107.02,United States,-,USD,1.43,0.31,1.0,"Jul 01, 2023",5.0,1.43,-,0.31,1.43,0.31,USD,"Feb 18, 2021","Feb 18, 2021"
MONTGOMERY CNTY MD,Local Tax-Backed,Fixed Income,"14,516,097.45",0.21,"14,516,097.45","12,335,000.00",61334PDQ3,US61334PDQ37,-,116.11,United States,-,USD,3.3,0.46,1.0,"Aug 01, 2025",5.0,3.3,-,0.46,3.3,0.46,USD,"Sep 08, 2021","Sep 08, 2021"
RALEIGH N C COMB ENTERPRISE SYS RE,Cash and/or Derivatives,Cash,"14,300,897.18",0.21,"14,300,897.18","14,300,000.00",751100FX1,US751100FX11,-,100.0,United States,-,USD,0.0,0.13,1.0,"Mar 01, 2035",0.13,0.0,-,0.13,0.0,0.13,USD,"Oct 07, 2015","Jun 12, 2008"
MARYLAND ST,State Tax-Backed,Fixed Income,"14,023,964.10",0.21,"14,023,964.10","11,865,000.00",574193RN0,US574193RN05,-,116.11,United States,-,USD,3.28,0.46,1.0,"Aug 01, 2025",5.0,3.28,-,0.46,3.28,0.46,USD,"Aug 28, 2019","Aug 28, 2019"
PENNSYLVANIA ST,State Tax-Backed,Fixed Income,"13,969,630.93",0.2,"13,969,630.93","13,635,000.00",70914PG71,US70914PG713,-,100.15,United States,-,USD,0.05,1.15,1.0,"Jan 15, 2022",5.0,0.04,-,1.15,0.04,1.15,USD,"Dec 16, 2016","Dec 16, 2016"
NEW YORK NY,Local Tax-Backed,Fixed Income,"13,920,420.75",0.2,"13,920,420.75","12,710,000.00",64966MSR1,US64966MSR15,-,107.44,United States,-,USD,1.51,0.29,1.0,"Aug 01, 2023",5.0,1.51,-,0.29,1.51,0.29,USD,"Dec 20, 2017","Dec 20, 2017"
SAN MATEO FOSTER CITY CALIF PU,Utility,Fixed Income,"13,910,126.84",0.2,"13,910,126.84","11,735,000.00",79905VBB6,US79905VBB62,-,116.04,United States,-,USD,3.27,0.48,1.0,"Aug 01, 2025",5.0,3.27,-,0.48,3.27,0.48,USD,"Jul 01, 2021","Jul 01, 2021"
WISCONSIN ST GEN FD ANNUAL APP,State Tax-Backed,Fixed Income,"13,826,265.75",0.2,"13,826,265.75","13,500,000.00",977100GK6,US977100GK65,-,101.58,United States,-,USD,0.33,0.24,1.0,"May 01, 2022",5.0,0.33,-,0.24,0.33,0.24,USD,"Jan 31, 2019","Jan 31, 2019"
NEW YORK NY,Local Tax-Backed,Fixed Income,"13,807,112.57",0.2,"13,807,112.57","12,125,000.00",64966MSS9,US64966MSS97,-,111.79,United States,-,USD,2.42,0.41,1.0,"Aug 01, 2024",5.0,2.41,-,0.41,2.41,0.41,USD,"Dec 20, 2017","Dec 20, 2017"
VIRGINIA ST,State Tax-Backed,Fixed Income,"13,655,771.52",0.2,"13,655,771.52","11,810,000.00",928109M20,US928109M208,-,115.21,United States,-,USD,3.39,1.43,1.0,"Jun 01, 2026",5.0,4.01,-,0.5,3.18,0.5,USD,"May 06, 2015","May 06, 2015"
NEW YORK ST URBAN DEV CORP ST,State Tax-Backed,Fixed Income,"13,609,223.38",0.2,"13,609,223.38","13,285,000.00",64985TAC5,US64985TAC53,-,100.97,United States,-,USD,0.2,0.28,1.0,"Mar 15, 2022",5.0,0.21,-,0.28,0.21,0.28,USD,"Oct 30, 2019","Oct 30, 2019"
WISCONSIN ST FOR ISSUES DTD PR,State Tax-Backed,Fixed Income,"13,436,896.25",0.2,"13,436,896.25","11,815,000.00",97705MJG1,US97705MJG15,-,112.89,United States,-,USD,2.67,0.42,1.0,"Nov 01, 2024",5.0,2.66,-,0.42,2.66,0.42,USD,"Nov 15, 2017","Nov 15, 2017"
VIRGINIA COLLEGE BLDG AUTH VA,State Tax-Backed,Fixed Income,"13,196,519.97",0.19,"13,196,519.97","11,000,000.00",92778VKQ0,US92778VKQ04,-,117.89,United States,-,USD,3.71,0.56,1.0,"Feb 01, 2026",5.0,3.7,-,0.56,3.7,0.56,USD,"Jun 09, 2021","Jun 09, 2021"
ILLINOIS ST,State Tax-Backed,Fixed Income,"13,188,792.12",0.19,"13,188,792.12","12,600,000.00",452152P62,US452152P627,-,103.84,United States,-,USD,0.82,0.38,1.0,"Nov 01, 2022",5.0,0.82,-,0.38,0.82,0.38,USD,"Nov 08, 2017","Nov 08, 2017"
MASSACHUSETTS ST DEV FIN AGY R,Education,Fixed Income,"13,156,517.82",0.19,"13,156,517.82","11,150,000.00",57584YZJ1,US57584YZJ18,-,116.94,United States,-,USD,3.49,0.48,1.0,"Oct 15, 2025",5.0,3.49,-,0.48,3.49,0.48,USD,"Apr 29, 2020","Apr 29, 2020"
MISSOURI ST HWYS & TRANS COMMN,State Tax-Backed,Fixed Income,"13,060,669.47",0.19,"13,060,669.47","12,000,000.00",60636WSS5,US60636WSS51,-,108.62,United States,-,USD,1.89,0.24,1.0,"Nov 01, 2023",5.0,1.89,-,0.24,1.89,0.24,USD,"Dec 15, 2021","Dec 15, 2021"
DISTRICT COLUMBIA INCOME TAX R,Local Tax-Backed,Fixed Income,"12,888,195.73",0.19,"12,888,195.73","11,315,000.00",25477GPU3,US25477GPU30,-,112.65,United States,-,USD,2.58,0.37,1.0,"Oct 01, 2024",5.0,2.58,-,0.37,2.58,0.37,USD,"Dec 04, 2019","Dec 04, 2019"
NEW YORK ST DORM AUTH ST PERS,Prerefund/Escrow,Fixed Income,"12,869,743.07",0.19,"12,869,743.07","12,000,000.00",64990EKT3,US64990EKT37,-,105.36,United States,-,USD,1.09,0.22,1.0,"Feb 15, 2023",5.0,1.09,-,0.22,1.09,0.22,USD,"Jul 25, 2013","Jul 25, 2013"
MICHIGAN FIN AUTH REV,Prerefund/Escrow,Fixed Income,"12,754,076.80",0.19,"12,754,076.80","12,160,000.00",59447TYH0,US59447TYH03,-,102.39,United States,-,USD,0.49,0.22,1.0,"Jul 01, 2022",5.0,0.49,-,0.22,0.49,0.22,USD,"Sep 04, 2014","Sep 04, 2014"
NEW JERSEY ST,State Tax-Backed,Fixed Income,"12,690,688.78",0.19,"12,690,688.78","10,695,000.00",646039YK7,US646039YK78,-,118.24,United States,-,USD,4.03,0.79,1.0,"Jun 01, 2026",5.0,4.03,-,0.79,4.03,0.79,USD,"Nov 24, 2020","Nov 24, 2020"
NEW YORK ST DORM AUTH SALES TA,State Tax-Backed,Fixed Income,"12,536,972.43",0.18,"12,536,972.43","11,220,000.00",64990APS8,US64990APS86,-,110.27,United States,-,USD,2.09,0.32,1.0,"Mar 15, 2024",5.0,2.09,-,0.32,2.09,0.32,USD,"Jul 19, 2018","Jul 19, 2018"
MONTGOMERY CNTY MD,Local Tax-Backed,Fixed Income,"12,394,001.66",0.18,"12,394,001.66","11,820,000.00",6133407H5,US6133407H50,-,103.61,United States,-,USD,0.74,0.19,1.0,"Oct 01, 2022",5.0,0.74,-,0.19,0.74,0.19,USD,"Nov 15, 2017","Nov 15, 2017"
ORLANDO FLA UTILS COMMN UTIL S,Utility,Fixed Income,"12,334,382.19",0.18,"12,334,382.19","10,140,000.00",686507JN5,US686507JN57,-,120.39,United States,-,USD,4.28,0.64,1.0,"Oct 01, 2026",5.0,4.28,-,0.64,4.28,0.64,USD,"Sep 30, 2020","Sep 30, 2020"
OREGON ST DEPT TRANSN HWY USER,State Tax-Backed,Fixed Income,"12,291,772.20",0.18,"12,291,772.20","10,805,000.00",68607DSU0,US68607DSU09,-,113.12,United States,-,USD,2.71,0.4,1.0,"Nov 15, 2024",5.0,2.7,-,0.4,2.7,0.4,USD,"Jun 08, 2017","Jun 08, 2017"
HONOLULU HAWAII CITY & CNTY WA,Prerefund/Escrow,Fixed Income,"12,276,847.78",0.18,"12,276,847.78","11,705,000.00",438701TD6,US438701TD65,-,102.39,United States,-,USD,0.49,0.22,1.0,"Jul 01, 2022",5.0,0.49,-,0.22,0.49,0.22,USD,"Oct 04, 2012","Oct 04, 2012"
MARYLAND ST,State Tax-Backed,Fixed Income,"12,177,696.00",0.18,"12,177,696.00","10,000,000.00",574193UJ5,US574193UJ55,-,120.03,United States,-,USD,4.13,0.57,1.0,"Aug 01, 2026",5.0,4.13,-,0.57,4.13,0.57,USD,"Aug 25, 2021","Aug 25, 2021"
GWINNETT CNTY GA WTR & SEW AUT,Local Tax-Backed,Fixed Income,"12,155,128.43",0.18,"12,155,128.43","11,335,000.00",403760LN9,US403760LN97,-,105.9,United States,-,USD,1.53,0.27,1.0,"Aug 01, 2023",4.0,1.53,-,0.27,1.53,0.27,USD,"Aug 31, 2021","Aug 31, 2021"
MASSACHUSETTS ST,Prerefund/Escrow,Fixed Income,"12,125,810.37",0.18,"12,125,810.37","11,565,000.00",57582RAC0,US57582RAC07,-,104.02,United States,-,USD,0.82,0.18,1.0,"Nov 01, 2022",5.0,0.82,-,0.18,0.82,0.18,USD,"Oct 29, 2014","Oct 29, 2014"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"12,070,748.40",0.18,"12,070,748.40","11,260,000.00",650035B80,US650035B806,-,105.73,United States,-,USD,1.23,2.32,1.0,"Mar 15, 2024",5.0,2.07,-,0.24,1.17,0.24,USD,"Sep 26, 2013","Sep 26, 2013"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"12,007,408.22",0.18,"12,007,408.22","10,000,000.00",650036CQ7,US650036CQ73,-,118.6,United States,-,USD,3.82,0.52,1.0,"Mar 15, 2026",5.0,3.82,-,0.52,3.82,0.52,USD,"Dec 23, 2020","Dec 23, 2020"
SOUTH CAROLINA ST,State Tax-Backed,Fixed Income,"11,971,808.42",0.18,"11,971,808.42","10,715,000.00",83710RVJ3,US83710RVJ30,-,110.48,United States,-,USD,2.14,0.32,1.0,"Apr 01, 2024",5.0,2.13,-,0.32,2.13,0.32,USD,"Jan 28, 2021","Jan 28, 2021"
ILLINOIS ST,State Tax-Backed,Fixed Income,"11,949,425.33",0.18,"11,949,425.33","10,000,000.00",452152Q61,US452152Q617,-,118.66,United States,-,USD,4.36,1.03,1.0,"Nov 01, 2026",5.0,4.35,-,1.03,4.35,1.03,USD,"Nov 08, 2017","Nov 08, 2017"
GEORGIA ST,State Tax-Backed,Fixed Income,"11,916,055.46",0.17,"11,916,055.46","10,075,000.00",373385GL1,US373385GL13,-,116.19,United States,-,USD,3.28,0.44,1.0,"Aug 01, 2025",5.0,3.28,-,0.44,3.28,0.44,USD,"Aug 27, 2020","Aug 27, 2020"
FORSYTH CNTY GA,Local Tax-Backed,Fixed Income,"11,882,654.35",0.17,"11,882,654.35","10,050,000.00",346593JB3,US346593JB32,-,116.57,United States,-,USD,3.37,0.44,1.0,"Sep 01, 2025",5.0,3.36,-,0.44,3.36,0.44,USD,"Sep 05, 2019","Sep 05, 2019"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"11,856,042.31",0.17,"11,856,042.31","9,760,000.00",64971XB56,US64971XB567,-,120.64,United States,-,USD,4.37,0.65,1.0,"Nov 01, 2026",5.0,4.36,-,0.65,4.36,0.65,USD,"Aug 17, 2021","Aug 17, 2021"
CENTRAL PUGET SOUND WASH REGL,Prerefund/Escrow,Fixed Income,"11,849,975.44",0.17,"11,849,975.44","10,050,000.00",15504RGJ2,US15504RGJ23,-,117.08,United States,-,USD,3.54,0.5,1.0,"Nov 01, 2025",5.0,3.53,-,0.5,3.53,0.5,USD,"Sep 10, 2015","Sep 10, 2015"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"11,792,132.59",0.17,"11,792,132.59","10,560,000.00",650035W79,US650035W794,-,110.2,United States,-,USD,2.09,0.35,1.0,"Mar 15, 2024",5.0,2.09,-,0.35,2.09,0.35,USD,"Mar 17, 2016","Mar 17, 2016"
SPRINGFIELD MO PUB UTIL REV,Utility,Fixed Income,"11,784,840.33",0.17,"11,784,840.33","10,000,000.00",851018KN0,US851018KN07,-,115.77,United States,-,USD,3.28,0.55,1.0,"Aug 01, 2025",5.0,3.28,-,0.55,3.28,0.55,USD,"Jun 18, 2015","Jun 18, 2015"
TEXAS A & M UNIV REVS,Prerefund/Escrow,Fixed Income,"11,668,143.74",0.17,"11,668,143.74","10,890,000.00",8821356U5,US8821356U52,-,106.51,United States,-,USD,1.33,0.25,1.0,"May 15, 2023",5.0,1.34,-,0.25,1.34,0.25,USD,"Jul 03, 2013","May 15, 2013"
NORTH CAROLINA ST LTD OBLIG,State Tax-Backed,Fixed Income,"11,627,898.62",0.17,"11,627,898.62","10,040,000.00",65829QDW1,US65829QDW15,-,114.98,United States,-,USD,3.1,0.46,1.0,"May 01, 2025",5.0,3.1,-,0.46,3.1,0.46,USD,"Nov 12, 2020","Nov 12, 2020"
NORTH CAROLINA ST,State Tax-Backed,Fixed Income,"11,588,630.67",0.17,"11,588,630.67","10,000,000.00",6582564Z2,US6582564Z22,-,115.47,United States,-,USD,3.19,0.43,1.0,"Jun 01, 2025",5.0,3.18,-,0.43,3.18,0.43,USD,"Oct 22, 2020","Oct 22, 2020"
NORTH CAROLINA ST,State Tax-Backed,Fixed Income,"11,579,626.38",0.17,"11,579,626.38","10,375,000.00",6582564D1,US6582564D10,-,111.19,United States,-,USD,2.31,0.34,1.0,"Jun 01, 2024",5.0,2.3,-,0.34,2.3,0.34,USD,"Sep 19, 2019","Sep 19, 2019"
INDIANA ST FIN AUTH REV,Utility,Fixed Income,"11,570,037.97",0.17,"11,570,037.97","9,630,000.00",45506DV69,US45506DV698,-,118.06,United States,-,USD,3.71,0.52,1.0,"Feb 01, 2026",5.0,3.7,-,0.52,3.7,0.52,USD,"Jan 24, 2019","Jan 24, 2019"
WILLIAMSON CNTY TEX,Local Tax-Backed,Fixed Income,"11,541,435.00",0.17,"11,541,435.00","10,000,000.00",969888AE6,US969888AE64,-,114.01,United States,-,USD,3.81,0.56,1.0,"Feb 15, 2026",4.0,3.81,-,0.56,3.81,0.56,USD,"Aug 25, 2021","Aug 25, 2021"
SAN DIEGO CALIF CMNTY COLLEGE,Prerefund/Escrow,Fixed Income,"11,539,757.85",0.17,"11,539,757.85","10,530,000.00",797272MY4,US797272MY40,-,107.51,United States,-,USD,1.51,0.25,1.0,"Aug 01, 2023",5.0,1.51,-,0.25,1.51,0.25,USD,"Jul 30, 2013","Jul 30, 2013"
NEW YORK ST DORM AUTH SALES TA,State Tax-Backed,Fixed Income,"11,509,192.67",0.17,"11,509,192.67","11,235,000.00",64990AEK7,US64990AEK79,-,100.97,United States,-,USD,0.2,0.28,1.0,"Mar 15, 2022",5.0,0.21,-,0.28,0.21,0.28,USD,"Oct 22, 2015","Oct 22, 2015"
OHIO ST,State Tax-Backed,Fixed Income,"11,484,101.46",0.17,"11,484,101.46","10,085,000.00",6775223H5,US6775223H50,-,111.79,United States,-,USD,2.42,0.41,1.0,"Aug 01, 2024",5.0,2.41,-,0.41,2.41,0.41,USD,"Jun 26, 2020","Jun 26, 2020"
MARYLAND ST DEPT TRANSN CONS T,State Tax-Backed,Fixed Income,"11,470,318.26",0.17,"11,470,318.26","9,420,000.00",574204R21,US574204R211,-,120.6,United States,-,USD,4.28,0.6,1.0,"Oct 01, 2026",5.0,4.28,-,0.6,4.28,0.6,USD,"Oct 07, 2021","Oct 07, 2021"
MONTGOMERY CNTY MD,Local Tax-Backed,Fixed Income,"11,390,363.00",0.17,"11,390,363.00","10,000,000.00",6133407K8,US6133407K89,-,112.65,United States,-,USD,2.58,0.37,1.0,"Oct 01, 2024",5.0,2.58,-,0.37,2.58,0.37,USD,"Nov 15, 2017","Nov 15, 2017"
