,,,,,,,,,,,,,,,,,,,,,,,,,,iShares 10+ Year Investment Grade Corporate Bond ETF
PETRONAS CAPITAL LTD MTN 144A,Owned No Guarantee,Fixed Income,"3,926,385.63",0.16,"3,926,385.63","3,157,000.00",716743AR0,US716743AR02,-,123.5,Malaysia,-,USD,16.84,3.27,1.0,"Apr 21, 2050",4.55,17.05,-,3.26,16.88,3.26,USD,"Apr 21, 2020","Apr 21, 2020"
VERIZON COMMUNICATIONS INC,Communications,Fixed Income,"3,860,750.92",0.15,"3,860,750.92","3,655,000.00",92343VGK4,US92343VGK44,BNGDVZ5,104.69,United States,-,USD,13.91,3.07,1.0,"Mar 22, 2041",3.4,14.06,-,3.07,13.79,3.07,USD,"Mar 22, 2021","Mar 22, 2021"
WALMART INC,Consumer Cyclical,Fixed Income,"3,842,149.71",0.15,"3,842,149.71","3,785,000.00",931142EU3,US931142EU39,BMDP801,100.82,United States,-,USD,15.24,2.45,1.0,"Sep 22, 2041",2.5,15.42,-,2.45,15.11,2.45,USD,"Sep 22, 2021","Sep 22, 2021"
ABBVIE INC,Consumer Non-Cyclical,Fixed Income,"3,824,075.60",0.15,"3,824,075.60","3,320,000.00",00287YCA5,US00287YCA55,BJDRSG2,114.73,United States,-,USD,12.87,2.98,1.0,"Nov 21, 2039",4.05,13.03,-,2.96,12.77,2.96,USD,"May 21, 2020","Nov 17, 2020"
COMCAST CORPORATION 144A,Communications,Fixed Income,"3,801,693.28",0.15,"3,801,693.28","3,908,000.00",20030NDR9,US20030NDR98,BN4FV08,96.8,United States,-,USD,19.43,3.05,1.0,"Nov 01, 2051",2.89,19.62,-,3.05,19.62,3.05,USD,"Aug 19, 2021","Aug 19, 2021"
WALMART INC,Consumer Cyclical,Fixed Income,"3,753,374.96",0.15,"3,753,374.96","3,645,000.00",931142EV1,US931142EV12,BMDP812,102.24,United States,-,USD,20.22,2.54,1.0,"Sep 22, 2051",2.65,20.46,-,2.54,20.23,2.54,USD,"Sep 22, 2021","Sep 22, 2021"
CONOCOPHILLIPS,Energy,Fixed Income,"3,746,659.48",0.15,"3,746,659.48","2,532,000.00",20825CAQ7,US20825CAQ78,B4T4431,145.26,United States,-,USD,11.33,3.07,1.0,"Feb 01, 2039",6.5,11.36,-,3.07,11.36,3.07,USD,"Feb 03, 2009","Feb 03, 2009"
VERIZON COMMUNICATIONS INC,Communications,Fixed Income,"3,733,965.91",0.15,"3,733,965.91","3,924,000.00",92343VFW9,US92343VFW90,BMXT869,94.66,United States,-,USD,20.83,3.24,1.0,"Oct 30, 2056",2.99,21.04,-,3.24,21.04,3.24,USD,"Apr 30, 2021","May 03, 2021"
SHELL INTERNATIONAL FINANCE BV,Energy,Fixed Income,"3,673,420.18",0.15,"3,673,420.18","2,518,000.00",822582AD4,US822582AD40,B3KFDY0,145.62,Netherlands,-,USD,11.54,2.94,1.0,"Dec 15, 2038",6.38,11.58,-,2.94,11.58,2.94,USD,"Dec 11, 2008","Dec 11, 2008"
CVS HEALTH CORP,Consumer Non-Cyclical,Fixed Income,"3,653,529.79",0.15,"3,653,529.79","2,762,000.00",126650CN8,US126650CN80,BYPFC45,129.99,United States,-,USD,14.48,3.29,1.0,"Jul 20, 2045",5.13,14.68,-,3.26,14.49,3.26,USD,"Jul 20, 2015","Jul 20, 2015"
ASTRAZENECA PLC,Consumer Non-Cyclical,Fixed Income,"3,645,303.74",0.15,"3,645,303.74","2,448,000.00",046353AD0,US046353AD01,B7FFL50,147.01,United Kingdom,-,USD,10.84,2.74,1.0,"Sep 15, 2037",6.45,10.87,-,2.74,10.87,2.74,USD,"Sep 12, 2007","Sep 12, 2007"
GLAXOSMITHKLINE CAPITAL INC,Consumer Non-Cyclical,Fixed Income,"3,624,067.64",0.14,"3,624,067.64","2,463,000.00",377372AE7,US377372AE71,B2RDM21,146.33,United Kingdom,-,USD,11.26,2.82,1.0,"May 15, 2038",6.38,11.29,-,2.82,11.29,2.82,USD,"May 13, 2008","May 13, 2008"
PFIZER INC.,Consumer Non-Cyclical,Fixed Income,"3,614,779.38",0.14,"3,614,779.38","2,211,000.00",717081CY7,US717081CY74,B65HZL3,161.37,United States,-,USD,11.35,2.71,1.0,"Mar 15, 2039",7.2,11.4,-,2.71,11.4,2.71,USD,"Mar 24, 2009","Mar 24, 2009"
ORACLE CORPORATION,Technology,Fixed Income,"3,583,980.15",0.14,"3,583,980.15","3,627,000.00",68389XBX2,US68389XBX21,BMD7RQ6,97.91,United States,-,USD,17.21,3.72,1.0,"Apr 01, 2050",3.6,17.36,-,3.72,17.36,3.72,USD,"Apr 01, 2020","Apr 01, 2020"
VERIZON COMMUNICATIONS INC,Communications,Fixed Income,"3,582,214.55",0.14,"3,582,214.55","3,002,000.00",92343VEA8,US92343VEA89,BF22PM5,117.57,United States,-,USD,9.15,2.72,1.0,"Aug 10, 2033",4.5,9.13,-,2.72,9.13,2.72,USD,"Aug 10, 2017","Aug 10, 2017"
AMGEN INC,Consumer Non-Cyclical,Fixed Income,"3,574,875.67",0.14,"3,574,875.67","2,790,000.00",031162CF5,US031162CF59,BDRVZ12,127.92,United States,-,USD,17.33,3.19,1.0,"Jun 15, 2051",4.66,17.56,-,3.18,17.39,3.18,USD,"Dec 15, 2016","Jan 10, 2017"
VISA INC,Technology,Fixed Income,"3,560,617.44",0.14,"3,560,617.44","2,825,000.00",92826CAF9,US92826CAF95,BYPHFN1,125.84,United States,-,USD,15.74,2.81,1.0,"Dec 14, 2045",4.3,15.97,-,2.79,15.75,2.79,USD,"Dec 14, 2015","Dec 14, 2015"
BOEING CO,Capital Goods,Fixed Income,"3,442,208.34",0.14,"3,442,208.34","2,463,000.00",097023CX1,US097023CX16,BM8R6Q4,138.77,United States,-,USD,17.87,3.96,1.0,"May 01, 2060",5.93,18.08,-,3.95,17.99,3.95,USD,"May 04, 2020","May 04, 2020"
HSBC HOLDINGS PLC,Banking,Fixed Income,"3,415,542.57",0.14,"3,415,542.57","2,435,000.00",404280AH2,US404280AH22,B24FY35,138.35,United Kingdom,-,USD,10.66,3.34,1.0,"Sep 15, 2037",6.5,10.66,-,3.34,10.66,3.34,USD,"Sep 12, 2007","Sep 12, 2007"
QATAR PETROLEUM 144A,Owned No Guarantee,Fixed Income,"3,390,272.16",0.14,"3,390,272.16","3,245,000.00",74730DAD5,US74730DAD57,BP2Q0C2,102.94,Qatar,-,USD,18.48,3.15,1.0,"Jul 12, 2051",3.3,18.68,-,3.14,18.48,3.14,USD,"Jul 12, 2021","Jul 12, 2021"
BRISTOL-MYERS SQUIBB CO,Consumer Non-Cyclical,Fixed Income,"3,389,613.65",0.14,"3,389,613.65","2,726,000.00",110122CR7,US110122CR72,BMW2G98,123.58,United States,-,USD,17.17,2.99,1.0,"Oct 26, 2049",4.25,17.4,-,2.98,17.22,2.98,USD,"Apr 26, 2020","Jul 15, 2020"
BANK OF AMERICA CORP MTN,Banking,Fixed Income,"3,378,857.73",0.13,"3,378,857.73","3,507,000.00",06051GJE0,US06051GJE08,BMYXXT8,96.26,United States,-,USD,13.48,2.9,1.0,"Jun 19, 2041",2.68,14.39,-,2.9,14.38,2.9,USD,"Jun 19, 2020","Jun 19, 2020"
RAYTHEON TECHNOLOGIES CORPORATION,Capital Goods,Fixed Income,"3,311,959.87",0.13,"3,311,959.87","2,671,000.00",913017BT5,US913017BT50,B8J6DZ0,123.62,United States,-,USD,14.02,2.95,1.0,"Jun 01, 2042",4.5,14.08,-,2.95,14.08,2.95,USD,"Jun 01, 2012","Jun 01, 2012"
JPMORGAN CHASE & CO,Banking,Fixed Income,"3,281,621.35",0.13,"3,281,621.35","2,786,000.00",46647PAL0,US46647PAL04,BD0G1Q1,117.28,United States,-,USD,15.72,2.97,1.0,"Nov 15, 2048",3.96,17.24,-,2.97,17.24,2.97,USD,"Nov 10, 2017","Nov 10, 2017"
TELEFONICA EMISIONES SAU,Communications,Fixed Income,"3,211,991.04",0.13,"3,211,991.04","2,248,000.00",87938WAC7,US87938WAC73,B170DG6,142.67,Spain,-,USD,10.04,3.31,1.0,"Jun 20, 2036",7.04,10.03,-,3.31,10.03,3.31,USD,"Jun 20, 2006","Jun 20, 2006"
COOPERATIEVE RABOBANK UA MTN,Banking,Fixed Income,"3,209,099.62",0.13,"3,209,099.62","2,280,000.00",21685WCJ4,US21685WCJ45,B44YJW0,140.21,Netherlands,-,USD,13.28,2.6,1.0,"May 24, 2041",5.25,13.35,-,2.6,13.35,2.6,USD,"May 24, 2011","May 24, 2011"
CIGNA CORP,Consumer Non-Cyclical,Fixed Income,"3,208,576.59",0.13,"3,208,576.59","2,479,000.00",125523AK6,US125523AK66,BKPHS34,129.21,United States,-,USD,16.19,3.26,1.0,"Dec 15, 2048",4.9,16.4,-,3.25,16.23,3.25,USD,"Jun 15, 2019","Aug 27, 2019"
BOEING CO,Capital Goods,Fixed Income,"3,197,264.79",0.13,"3,197,264.79","2,471,000.00",097023CV5,US097023CV59,BM8XFQ5,128.44,United States,-,USD,12.0,3.58,1.0,"May 01, 2040",5.71,12.15,-,3.54,11.94,3.54,USD,"May 04, 2020","May 04, 2020"
VERIZON COMMUNICATIONS INC,Communications,Fixed Income,"3,145,106.83",0.13,"3,145,106.83","2,637,000.00",92343VCV4,US92343VCV45,BYRLRK2,117.3,United States,-,USD,10.67,2.78,1.0,"Jan 15, 2036",4.27,10.67,-,2.78,10.67,2.78,USD,"Jul 15, 2015","Aug 20, 2015"
AMAZON.COM INC,Consumer Cyclical,Fixed Income,"3,139,786.80",0.13,"3,139,786.80","2,559,000.00",023135BJ4,US023135BJ40,BFMLMY3,121.24,United States,-,USD,16.46,2.87,1.0,"Aug 22, 2047",4.05,16.68,-,2.86,16.48,2.86,USD,"Feb 22, 2018","Jun 06, 2018"
VERIZON COMMUNICATIONS INC,Communications,Fixed Income,"3,119,017.20",0.12,"3,119,017.20","2,850,000.00",92343VGC2,US92343VGC28,BNGDW30,108.42,United States,-,USD,20.92,3.31,1.0,"Mar 22, 2061",3.7,21.17,-,3.31,21.04,3.31,USD,"Mar 22, 2021","Mar 22, 2021"
BANK OF AMERICA CORP,Banking,Fixed Income,"3,118,172.58",0.12,"3,118,172.58","2,949,000.00",06051GJW0,US06051GJW06,BMYDPJ2,105.1,United States,-,USD,13.41,2.92,1.0,"Apr 22, 2042",3.31,14.27,-,2.92,14.26,2.92,USD,"Apr 22, 2021","Apr 22, 2021"
WALMART INC,Consumer Cyclical,Fixed Income,"3,109,212.04",0.12,"3,109,212.04","2,255,000.00",931142CB7,US931142CB75,B0J45R4,136.13,United States,-,USD,10.26,2.18,1.0,"Sep 01, 2035",5.25,10.28,-,2.18,10.28,2.18,USD,"Aug 31, 2005","Aug 31, 2005"
VODAFONE GROUP PLC,Communications,Fixed Income,"3,084,213.20",0.12,"3,084,213.20","2,360,000.00",92857WBM1,US92857WBM10,BFMLP22,130.25,United Kingdom,-,USD,15.66,3.49,1.0,"May 30, 2048",5.25,15.75,-,3.49,15.75,3.49,USD,"May 30, 2018","May 30, 2018"
APPLE INC,Technology,Fixed Income,"3,070,447.33",0.12,"3,070,447.33","2,594,000.00",037833AL4,US037833AL42,B8HTMS7,117.76,United States,-,USD,14.97,2.74,1.0,"May 04, 2043",3.85,15.04,-,2.74,15.04,2.74,USD,"May 03, 2013","May 03, 2013"
AMERICA MOVIL SAB DE CV,Communications,Fixed Income,"3,050,869.77",0.12,"3,050,869.77","2,151,000.00",02364WAW5,US02364WAW55,B62V507,140.3,Mexico,-,USD,12.04,3.19,1.0,"Mar 30, 2040",6.13,12.07,-,3.19,12.07,3.19,USD,"Mar 30, 2010","Aug 25, 2010"
VERIZON COMMUNICATIONS INC,Communications,Fixed Income,"3,027,474.54",0.12,"3,027,474.54","3,176,000.00",92343VFT6,US92343VFT61,BMWBBK1,95.02,United States,-,USD,14.48,3.0,1.0,"Nov 20, 2040",2.65,14.59,-,3.0,14.59,3.0,USD,"Nov 20, 2020","Nov 20, 2020"
GOLDMAN SACHS GROUP INC/THE,Banking,Fixed Income,"2,986,207.48",0.12,"2,986,207.48","2,018,000.00",38141GGM0,US38141GGM06,B920YP3,145.37,United States,-,USD,12.33,3.09,1.0,"Feb 01, 2041",6.25,12.37,-,3.09,12.37,3.09,USD,"Jan 28, 2011","Jan 28, 2011"
BANK OF AMERICA CORP MTN,Banking,Fixed Income,"2,913,422.37",0.12,"2,913,422.37","2,331,000.00",06051GHS1,US06051GHS12,BJMJ632,123.71,United States,-,USD,15.8,3.02,1.0,"Mar 15, 2050",4.33,16.99,-,3.02,16.98,3.02,USD,"Mar 15, 2019","Mar 15, 2019"
ABBOTT LABORATORIES,Consumer Non-Cyclical,Fixed Income,"2,885,182.24",0.12,"2,885,182.24","2,104,000.00",002824BH2,US002824BH26,BYQHX58,136.72,United States,-,USD,15.69,2.83,1.0,"Nov 30, 2046",4.9,15.94,-,2.81,15.75,2.81,USD,"Nov 22, 2016","Nov 22, 2016"
WELLS FARGO & COMPANY MTN,Banking,Fixed Income,"2,871,358.40",0.11,"2,871,358.40","2,786,000.00",95000U2Q5,US95000U2Q52,-,102.55,United States,-,USD,13.17,2.88,1.0,"Apr 30, 2041",3.07,13.96,-,2.88,13.95,2.88,USD,"Apr 30, 2020","Apr 30, 2020"
INTERNATIONAL BUSINESS MACHINES CO,Technology,Fixed Income,"2,855,673.06",0.11,"2,855,673.06","2,344,000.00",459200KC4,US459200KC42,BFY97C8,121.29,United States,-,USD,17.05,3.09,1.0,"May 15, 2049",4.25,17.16,-,3.09,17.16,3.09,USD,"May 15, 2019","May 15, 2019"
ORACLE CORPORATION,Technology,Fixed Income,"2,810,356.09",0.11,"2,810,356.09","2,680,000.00",68389XCA1,US68389XCA19,BMYLXC5,103.81,United States,-,USD,17.16,3.73,1.0,"Mar 25, 2051",3.95,17.32,-,3.73,17.15,3.73,USD,"Mar 24, 2021","Mar 24, 2021"
BHP BILLITON FINANCE (USA) LTD,Basic Industry,Fixed Income,"2,803,353.00",0.11,"2,803,353.00","2,100,000.00",055451AV0,US055451AV01,BFD3PF0,132.24,Australia,-,USD,14.23,2.98,1.0,"Sep 30, 2043",5.0,14.31,-,2.98,14.31,2.98,USD,"Sep 30, 2013","Sep 30, 2013"
JPMORGAN CHASE & CO,Banking,Fixed Income,"2,801,872.46",0.11,"2,801,872.46","1,915,000.00",46625HHF0,US46625HHF01,B39F3N0,145.49,United States,-,USD,11.23,2.89,1.0,"May 15, 2038",6.4,11.26,-,2.89,11.26,2.89,USD,"May 22, 2008","May 22, 2008"
CISCO SYSTEMS INC,Technology,Fixed Income,"2,800,819.71",0.11,"2,800,819.71","1,921,000.00",17275RAD4,US17275RAD44,B4YDXD6,143.57,United States,-,USD,11.71,2.7,1.0,"Feb 15, 2039",5.9,11.76,-,2.7,11.76,2.7,USD,"Feb 17, 2009","Feb 17, 2009"
SAUDI ARABIAN OIL CO MTN 144A,Owned No Guarantee,Fixed Income,"2,790,886.92",0.11,"2,790,886.92","2,457,000.00",80414L2E4,US80414L2E48,BK0L4H7,112.72,Saudi Arabia,-,USD,12.44,3.28,1.0,"Apr 16, 2039",4.25,12.44,-,3.28,12.44,3.28,USD,"Apr 16, 2019","Apr 16, 2019"
COMCAST CORPORATION 144A,Communications,Fixed Income,"2,778,060.62",0.11,"2,778,060.62","2,912,000.00",20030NDV0,US20030NDV01,BP6RH64,94.9,United States,-,USD,22.92,3.21,1.0,"Nov 01, 2063",2.99,23.17,-,3.21,23.17,3.21,USD,"Aug 19, 2021","Aug 19, 2021"
MORGAN STANLEY,Banking,Fixed Income,"2,760,614.59",0.11,"2,760,614.59","2,212,000.00",61747YDY8,US61747YDY86,BVJXZY5,122.96,United States,-,USD,15.2,2.92,1.0,"Jan 27, 2045",4.3,15.28,-,2.92,15.28,2.92,USD,"Jan 27, 2015","Jan 27, 2015"
ORACLE CORPORATION,Technology,Fixed Income,"2,755,003.69",0.11,"2,755,003.69","2,608,000.00",68389XBJ3,US68389XBJ37,BYVGRZ8,103.79,United States,-,USD,15.33,3.76,1.0,"Jul 15, 2046",4.0,15.46,-,3.76,15.27,3.76,USD,"Jul 07, 2016","Jul 07, 2016"
BROADCOM INC 144A,Technology,Fixed Income,"2,749,829.63",0.11,"2,749,829.63","2,646,000.00",11135FBJ9,US11135FBJ93,BMCGSZ0,102.6,United States,-,USD,13.65,3.32,1.0,"Feb 15, 2041",3.5,13.77,-,3.31,13.51,3.31,USD,"Jan 19, 2021","Jan 19, 2021"
EXXON MOBIL CORP,Energy,Fixed Income,"2,739,404.83",0.11,"2,739,404.83","2,209,000.00",30231GBG6,US30231GBG64,-,122.79,United States,-,USD,17.09,3.11,1.0,"Mar 19, 2050",4.33,17.31,-,3.1,17.13,3.1,USD,"Mar 19, 2020","Mar 19, 2020"
MICROSOFT CORPORATION,Technology,Fixed Income,"2,728,059.17",0.11,"2,728,059.17","2,731,000.00",594918CD4,US594918CD48,BM9GFY1,99.67,United States,-,USD,23.56,2.69,1.0,"Jun 01, 2060",2.67,23.83,-,2.69,23.83,2.69,USD,"Jun 01, 2020","Jun 01, 2020"
ENEL FINANCE INTERNATIONAL SA 144A,Electric,Fixed Income,"2,727,785.25",0.11,"2,727,785.25","2,032,000.00",29268BAF8,US29268BAF85,B4SR7B0,132.84,Italy,-,USD,11.76,3.5,1.0,"Oct 07, 2039",6.0,11.77,-,3.5,11.77,3.5,USD,"Oct 07, 2009","Oct 07, 2009"
BANK OF AMERICA CORP,Banking,Fixed Income,"2,720,006.02",0.11,"2,720,006.02","1,984,000.00",59022CAJ2,US59022CAJ27,B1P61P1,134.52,United States,-,USD,10.45,3.2,1.0,"Jan 29, 2037",6.11,10.45,-,3.2,10.45,3.2,USD,"Jan 29, 2007","Jan 29, 2007"
ORACLE CORPORATION,Technology,Fixed Income,"2,717,842.53",0.11,"2,717,842.53","2,686,000.00",68389XBW4,US68389XBW48,BMD7RZ5,100.29,United States,-,USD,13.1,3.58,1.0,"Apr 01, 2040",3.6,13.19,-,3.58,12.93,3.58,USD,"Apr 01, 2020","Apr 01, 2020"
CITIGROUP INC,Banking,Fixed Income,"2,714,966.50",0.11,"2,714,966.50","1,571,000.00",172967EW7,US172967EW71,B3Q88R1,169.07,United States,-,USD,11.04,3.02,1.0,"Jul 15, 2039",8.13,11.08,-,3.02,11.08,3.02,USD,"Jul 23, 2009","Jul 23, 2009"
CHARTER COMMUNICATIONS OPERATING L,Communications,Fixed Income,"2,707,035.22",0.11,"2,707,035.22","2,146,000.00",161175BN3,US161175BN35,BFY3BX9,124.71,United States,-,USD,14.53,4.19,1.0,"Apr 01, 2048",5.75,14.67,-,4.17,14.53,4.17,USD,"Apr 17, 2018","Apr 17, 2018"
WELLS FARGO & CO,Banking,Fixed Income,"2,706,988.56",0.11,"2,706,988.56","1,963,000.00",949746RF0,US949746RF01,BJTGHH7,135.32,United States,-,USD,13.71,3.33,1.0,"Jan 15, 2044",5.61,13.76,-,3.33,13.76,3.33,USD,"Nov 26, 2013","Feb 04, 2014"
JPMORGAN CHASE & CO,Banking,Fixed Income,"2,706,068.76",0.11,"2,706,068.76","2,514,000.00",46647PCE4,US46647PCE43,-,107.0,United States,-,USD,17.38,2.94,1.0,"Apr 22, 2052",3.33,18.94,-,2.94,18.92,2.94,USD,"Apr 22, 2021","Apr 22, 2021"
T-MOBILE USA INC,Communications,Fixed Income,"2,683,099.42",0.11,"2,683,099.42","2,274,000.00",87264AAZ8,US87264AAZ84,-,117.04,United States,-,USD,16.59,3.54,1.0,"Apr 15, 2050",4.5,16.78,-,3.53,16.62,3.53,USD,"Apr 15, 2021","May 21, 2021"
SHELL INTERNATIONAL FINANCE BV,Energy,Fixed Income,"2,681,389.32",0.11,"2,681,389.32","2,196,000.00",822582BF8,US822582BF88,BXC5W74,121.5,Netherlands,-,USD,15.33,3.08,1.0,"May 11, 2045",4.38,15.4,-,3.08,15.4,3.08,USD,"May 11, 2015","May 11, 2015"
VERIZON COMMUNICATIONS INC,Communications,Fixed Income,"2,665,099.49",0.11,"2,665,099.49","2,799,000.00",92343VFU3,US92343VFU35,BMWBBL2,94.89,United States,-,USD,18.99,3.15,1.0,"Nov 20, 2050",2.88,19.17,-,3.15,19.17,3.15,USD,"Nov 20, 2020","Nov 20, 2020"
