,,,,,,,,,,,,,,,,,,,,,,,,,,iShares California Muni Bond ETF
METROPOLITAN WTR DIST SOUTHN C,Utility,Fixed Income,"5,844,546.44",0.3,"5,844,546.44","4,550,000.00",59266TRQ6,US59266TRQ66,-,127.2,United States,-,USD,9.7,3.47,1.0,"Oct 01, 2049",5.0,15.82,-,1.3,6.58,1.3,USD,"Feb 11, 2020","Feb 11, 2020"
FOOTHILL-DE ANZA CALIF CMNTY C,School Districts,Fixed Income,"5,835,797.98",0.3,"5,835,797.98","5,160,000.00",345102NN3,US345102NN38,-,111.85,United States,-,USD,11.37,2.22,1.0,"Aug 01, 2040",3.0,14.33,-,1.66,8.32,1.66,USD,"Apr 21, 2021","Apr 21, 2021"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"5,816,379.04",0.3,"5,816,379.04","4,680,000.00",13063DBW7,US13063DBW74,-,123.45,United States,-,USD,5.99,2.08,1.0,"Nov 01, 2030",5.0,7.31,-,0.87,5.16,0.87,USD,"Sep 12, 2017","Sep 12, 2017"
SAN JUAN CALIF UNI SCH DIST,School Districts,Fixed Income,"5,812,242.33",0.3,"5,812,242.33","5,000,000.00",798306VV5,US798306VV57,-,114.58,United States,-,USD,5.12,1.92,1.0,"Aug 01, 2029",4.0,6.53,-,0.76,4.18,0.76,USD,"Jan 22, 2019","Jan 22, 2019"
COAST CMNTY COLLEGE DIST CALIF,Prerefund/Escrow,Fixed Income,"5,804,118.06",0.3,"5,804,118.06","4,905,000.00",190335GS2,US190335GS23,-,116.25,United States,-,USD,3.31,0.47,1.0,"Aug 15, 2025",5.0,3.31,-,0.47,3.31,0.47,USD,"Oct 29, 2015","Oct 29, 2015"
LONG BEACH CALIF UNI SCH DIST,School Districts,Fixed Income,"5,724,923.13",0.29,"5,724,923.13","5,345,000.00",542433XB8,US542433XB81,-,105.86,United States,-,USD,12.2,2.7,1.0,"Aug 01, 2050",3.0,18.98,-,2.16,6.71,2.16,USD,"Sep 05, 2019","Sep 05, 2019"
LOS ANGELES CALIF DEPT ARPTS R,Transportation,Fixed Income,"5,708,386.31",0.29,"5,708,386.31","4,430,000.00",544445PR4,US544445PR44,-,128.22,United States,-,USD,8.86,2.92,1.0,"May 15, 2039",5.0,12.29,-,1.23,6.7,1.23,USD,"Mar 11, 2020","Mar 11, 2020"
UNIVERSITY CALIF REVS FOR PREV,Education,Fixed Income,"5,680,119.10",0.29,"5,680,119.10","4,650,000.00",91412G3U7,US91412G3U71,-,121.51,United States,-,USD,6.89,3.21,1.0,"May 15, 2037",5.0,11.14,-,0.89,4.8,0.89,USD,"Dec 21, 2017","Dec 21, 2017"
SAN MATEO FOSTER CITY CALIF PU,Utility,Fixed Income,"5,618,577.01",0.29,"5,618,577.01","4,740,000.00",79905VBB6,US79905VBB62,-,116.04,United States,-,USD,3.27,0.48,1.0,"Aug 01, 2025",5.0,3.27,-,0.48,3.27,0.48,USD,"Jul 01, 2021","Jul 01, 2021"
MESA CALIF WTR DIST CTFS PARTN,Utility,Fixed Income,"5,612,086.21",0.29,"5,612,086.21","4,380,000.00",59059CBA6,US59059CBA62,-,126.66,United States,-,USD,10.0,3.5,1.0,"Mar 15, 2050",5.0,15.76,-,1.53,6.88,1.53,USD,"Jun 03, 2020","Jun 03, 2020"
UNIVERSITY CALIF REVS FOR PREV,Education,Fixed Income,"5,576,437.67",0.29,"5,576,437.67","5,000,000.00",91412GUK9,US91412GUK92,-,110.86,United States,-,USD,4.43,4.32,1.0,"May 15, 2038",5.25,11.16,-,0.63,2.25,0.63,USD,"Apr 10, 2014","Apr 10, 2014"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"5,552,218.75",0.29,"5,552,218.75","5,450,000.00",13063DVK1,US13063DVK17,-,101.54,United States,-,USD,0.83,0.15,1.0,"Nov 01, 2022",2.0,0.83,-,0.15,0.83,0.15,USD,"Sep 09, 2020","Sep 09, 2020"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"5,549,778.50",0.29,"5,549,778.50","5,000,000.00",13063DLT3,US13063DLT36,-,109.75,United States,-,USD,4.26,4.09,1.0,"Apr 01, 2036",5.0,10.23,-,0.63,2.13,0.63,USD,"Mar 14, 2019","Mar 14, 2019"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"5,543,170.40",0.28,"5,543,170.40","4,000,000.00",13063DLL0,US13063DLL00,-,137.33,United States,-,USD,8.36,1.13,1.0,"Apr 01, 2032",5.0,8.38,-,1.13,8.38,1.13,USD,"Mar 14, 2019","Mar 14, 2019"
LOS ANGELES CALIF CMNTY COLLEG,Prerefund/Escrow,Fixed Income,"5,429,972.11",0.28,"5,429,972.11","4,765,000.00",54438CTE2,US54438CTE20,-,111.87,United States,-,USD,2.42,0.38,1.0,"Aug 01, 2024",5.0,2.41,-,0.38,2.41,0.38,USD,"Jan 08, 2015","Jan 08, 2015"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"5,351,373.73",0.27,"5,351,373.73","4,000,000.00",13063DWT1,US13063DWT17,-,132.95,United States,-,USD,7.68,1.4,1.0,"Nov 01, 2031",5.0,8.08,-,1.08,7.41,1.08,USD,"Sep 09, 2020","Sep 09, 2020"
SANTA CLARA CALIF UNI SCH DIST,School Districts,Fixed Income,"5,197,884.30",0.27,"5,197,884.30","4,500,000.00",8014952D3,US8014952D38,-,113.51,United States,-,USD,8.23,3.24,1.0,"Jul 01, 2048",4.0,16.67,-,0.93,4.1,0.93,USD,"Apr 11, 2019","Apr 11, 2019"
LOS ANGELES CALIF,Cash and/or Derivatives,Cash,"5,192,178.50",0.27,"5,192,178.50","5,000,000.00",544351PL7,US544351PL75,-,101.84,United States,-,USD,0.48,0.14,1.0,"Jun 23, 2022",4.0,0.48,-,0.14,0.48,0.14,USD,"Jul 01, 2021","Jul 01, 2021"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"5,150,693.84",0.26,"5,150,693.84","4,725,000.00",13063CFT2,US13063CFT27,-,108.18,United States,-,USD,4.16,4.41,1.0,"Nov 01, 2043",5.0,13.47,-,0.51,1.76,0.51,USD,"Nov 05, 2013","Nov 05, 2013"
LOS ANGELES CALIF CMNTY COLLEG,Prerefund/Escrow,Fixed Income,"5,133,688.22",0.26,"5,133,688.22","4,505,000.00",54438CTD4,US54438CTD47,-,111.87,United States,-,USD,2.42,0.38,1.0,"Aug 01, 2024",5.0,2.41,-,0.38,2.41,0.38,USD,"Jan 08, 2015","Jan 08, 2015"
BAY AREA TOLL AUTH CALIF TOLL,Prerefund/Escrow,Fixed Income,"5,093,061.62",0.26,"5,093,061.62","4,750,000.00",072024TF9,US072024TF94,-,105.97,United States,-,USD,1.22,0.21,1.0,"Apr 01, 2023",5.0,1.21,-,0.21,1.21,0.21,USD,"Aug 06, 2013","Aug 06, 2013"
SAN DIEGO CNTY CALIF REGL TRAN,Local Tax-Backed,Fixed Income,"5,077,013.94",0.26,"5,077,013.94","4,275,000.00",797400MM7,US797400MM72,-,117.76,United States,-,USD,10.92,3.02,1.0,"Apr 01, 2048",4.0,16.32,-,1.68,7.1,1.68,USD,"Feb 19, 2020","Feb 19, 2020"
SAN DIEGO CNTY CALIF WTR AUTH,Utility,Fixed Income,"5,072,106.93",0.26,"5,072,106.93","4,000,000.00",797412DZ3,US797412DZ33,-,125.97,United States,-,USD,5.49,0.79,1.0,"May 01, 2028",5.0,5.56,-,0.71,5.46,0.71,USD,"Apr 06, 2021","Apr 06, 2021"
CALIFORNIA ST DEPT WTR RES CEN,Utility,Fixed Income,"5,056,088.83",0.26,"5,056,088.83","4,015,000.00",13067WSQ6,US13067WSQ68,-,125.6,United States,-,USD,9.52,1.9,1.0,"Dec 01, 2035",4.0,11.06,-,1.13,8.06,1.13,USD,"May 19, 2021","May 19, 2021"
CALIFORNIA ST UNIV REV,Education,Fixed Income,"5,049,519.08",0.26,"5,049,519.08","4,050,000.00",13077DEY4,US13077DEY40,-,123.85,United States,-,USD,9.14,3.61,1.0,"Nov 01, 2048",5.0,15.21,-,1.34,5.91,1.34,USD,"Aug 02, 2018","Aug 02, 2018"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"5,008,898.81",0.26,"5,008,898.81","4,125,000.00",13063DQV3,US13063DQV37,-,120.43,United States,-,USD,8.88,2.35,1.0,"Oct 01, 2036",4.0,11.41,-,1.23,6.75,1.23,USD,"Sep 17, 2019","Sep 17, 2019"
CALIFORNIA ST DEPT WTR RES CEN,Prerefund/Escrow,Fixed Income,"4,925,541.68",0.25,"4,925,541.68","4,325,000.00",13067WKV3,US13067WKV36,-,113.47,United States,-,USD,2.75,0.35,1.0,"Dec 01, 2024",5.0,2.75,-,0.35,2.75,0.35,USD,"Oct 30, 2014","Oct 30, 2014"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"4,860,097.28",0.25,"4,860,097.28","4,545,000.00",13063BP63,US13063BP637,-,104.85,United States,-,USD,2.79,4.57,1.0,"Feb 01, 2038",5.0,10.9,-,0.51,1.05,0.51,USD,"Mar 27, 2013","Mar 27, 2013"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"4,805,304.15",0.25,"4,805,304.15","3,985,000.00",13063CC57,US13063CC575,-,118.92,United States,-,USD,6.28,3.27,1.0,"Sep 01, 2035",5.0,10.1,-,0.86,4.19,0.86,USD,"Mar 17, 2016","Mar 17, 2016"
UNIVERSITY CALIF REVS FOR PREV,Education,Fixed Income,"4,781,635.43",0.25,"4,781,635.43","4,465,000.00",91412GST3,US91412GST30,-,106.45,United States,-,USD,1.33,0.28,1.0,"May 15, 2023",5.0,1.34,-,0.28,1.34,0.28,USD,"Oct 02, 2013","Oct 02, 2013"
SAN FRANCISCO CALIF CITY & CNT,Transportation,Fixed Income,"4,777,077.07",0.25,"4,777,077.07","4,000,000.00",79766DTF6,US79766DTF68,-,118.76,United States,-,USD,9.28,2.52,1.0,"May 01, 2037",4.0,11.75,-,1.59,7.19,1.59,USD,"Aug 20, 2020","Aug 20, 2020"
LOS ANGELES CNTY CALIF MET TRA,Local Tax-Backed,Fixed Income,"4,773,829.87",0.25,"4,773,829.87","3,520,000.00",54466HLN4,US54466HLN43,-,135.2,United States,-,USD,8.41,1.61,1.0,"Jun 01, 2033",5.0,9.15,-,1.06,7.85,1.06,USD,"Aug 10, 2021","Aug 10, 2021"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"4,644,371.20",0.24,"4,644,371.20","4,000,000.00",5446463Y6,US5446463Y65,-,113.61,United States,-,USD,5.6,3.95,1.0,"Jul 01, 2040",5.0,11.57,-,1.03,3.19,1.03,USD,"Apr 05, 2016","Apr 05, 2016"
CALIFORNIA ST DEPT WTR RES PWR,Prerefund/Escrow,Fixed Income,"4,624,268.12",0.24,"4,624,268.12","4,515,000.00",13066YSX8,US13066YSX84,-,101.59,United States,-,USD,0.33,0.23,1.0,"May 01, 2022",5.0,0.33,-,0.23,0.33,0.23,USD,"Apr 29, 2015","Apr 29, 2015"
SAN DIEGO COUNTY REGIONAL TRANSPOR,Prerefund/Escrow,Fixed Income,"4,609,400.40",0.24,"4,609,400.40","4,500,000.00",797400HN1,US797400HN11,-,101.18,United States,-,USD,0.25,0.27,1.0,"Apr 01, 2022",5.0,0.25,-,0.27,0.25,0.27,USD,"Jun 14, 2012","Jun 14, 2012"
CALIFORNIA ST DEPT WTR RES CEN,Prerefund/Escrow,Fixed Income,"4,600,968.41",0.24,"4,600,968.41","4,040,000.00",13067WKT8,US13067WKT89,-,113.47,United States,-,USD,2.75,0.35,1.0,"Dec 01, 2024",5.0,2.75,-,0.35,2.75,0.35,USD,"Oct 30, 2014","Oct 30, 2014"
UNIVERSITY CALIF REVS,Education,Fixed Income,"4,595,665.29",0.24,"4,595,665.29","3,705,000.00",91412HAZ6,US91412HAZ64,-,123.4,United States,-,USD,8.23,3.44,1.0,"May 15, 2043",5.0,13.11,-,1.18,5.57,1.18,USD,"Jun 05, 2018","Jun 05, 2018"
FOOTHILL-DE ANZA CALIF CMNTY C,School Districts,Fixed Income,"4,530,044.64",0.23,"4,530,044.64","3,960,000.00",345102MW4,US345102MW46,-,112.73,United States,-,USD,7.3,3.09,1.0,"Aug 01, 2040",4.0,12.75,-,1.14,4.17,1.14,USD,"Oct 19, 2016","Oct 19, 2016"
SAN FRANCISCO CALIF CITY & CNT,Utility,Fixed Income,"4,518,978.22",0.23,"4,518,978.22","3,500,000.00",79765R5J4,US79765R5J45,-,128.28,United States,-,USD,10.54,3.44,1.0,"Nov 01, 2050",5.0,16.24,-,1.56,7.36,1.56,USD,"Sep 23, 2020","Sep 23, 2020"
SAN FRANCISCO CALIF BAY AREA R,Local Tax-Backed,Fixed Income,"4,510,382.80",0.23,"4,510,382.80","4,025,000.00",797661ZN8,US797661ZN88,-,110.81,United States,-,USD,9.42,2.13,1.0,"Aug 01, 2036",3.0,11.82,-,1.49,6.76,1.49,USD,"Aug 27, 2020","Aug 27, 2020"
SANTA MONICA CALIF CMNTY COLLE,School Districts,Fixed Income,"4,508,673.94",0.23,"4,508,673.94","3,590,000.00",802385QT4,US802385QT45,-,123.51,United States,-,USD,8.33,3.45,1.0,"Aug 01, 2043",5.0,13.28,-,1.27,5.67,1.27,USD,"Apr 18, 2018","Apr 18, 2018"
SOUTHERN CALIF PUB PWR AUTH RE,Utility,Fixed Income,"4,473,524.40",0.23,"4,473,524.40","4,000,000.00",84247PLK5,US84247PLK56,-,109.34,United States,-,USD,1.92,0.8,1.0,"Apr 01, 2024",5.0,2.11,-,0.31,1.89,0.31,USD,"May 27, 2020","May 27, 2020"
FREMONT CALIF UN HIGH SCH DIST,School Districts,Fixed Income,"4,430,975.60",0.23,"4,430,975.60","4,000,000.00",357172F59,US357172F598,-,109.52,United States,-,USD,10.57,2.36,1.0,"Aug 01, 2040",3.0,14.27,-,1.66,6.75,1.66,USD,"May 26, 2021","May 26, 2021"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"4,390,458.45",0.23,"4,390,458.45","3,500,000.00",5446465Q1,US5446465Q14,-,122.94,United States,-,USD,4.83,0.74,1.0,"Jul 01, 2027",5.0,4.84,-,0.74,4.84,0.74,USD,"May 25, 2017","May 25, 2017"
SAN JOAQUIN HILLS CALIF TRANSN,Prerefund/Escrow,Fixed Income,"4,361,789.08",0.22,"4,361,789.08","3,750,000.00",798111GK0,US798111GK05,-,114.01,United States,-,USD,2.81,0.36,1.0,"Jan 15, 2025",5.0,2.81,-,0.36,2.81,0.36,USD,"Nov 06, 2014","Nov 06, 2014"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"4,275,891.90",0.22,"4,275,891.90","3,500,000.00",544647BT6,US544647BT69,-,120.17,United States,-,USD,9.28,2.43,1.0,"Jul 01, 2037",4.0,11.75,-,1.47,7.24,1.47,USD,"Apr 30, 2020","Apr 30, 2020"
FOOTHILL / EASTERN TRANSN CORR,Prerefund/Escrow,Fixed Income,"4,274,397.94",0.22,"4,274,397.94","3,745,000.00",345105GZ7,US345105GZ71,-,111.37,United States,-,USD,1.91,0.4,1.0,"Jan 15, 2024",6.0,1.9,-,0.4,1.9,0.4,USD,"Jan 02, 2014","Jan 02, 2014"
SAN FRANCISCO CALIF CITY & CNT,Utility,Fixed Income,"4,265,664.67",0.22,"4,265,664.67","3,500,000.00",79765R5L9,US79765R5L90,-,121.04,United States,-,USD,8.52,3.79,1.0,"Nov 01, 2050",5.0,15.89,-,1.25,5.14,1.25,USD,"Sep 23, 2020","Sep 23, 2020"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"4,259,812.92",0.22,"4,259,812.92","3,490,000.00",13063CR85,US13063CR854,-,120.39,United States,-,USD,4.47,1.26,1.0,"Sep 01, 2027",5.0,4.97,-,0.57,4.2,0.57,USD,"Apr 28, 2016","Apr 28, 2016"
CITY OF SAN JOSE CA,Local Tax-Backed,Fixed Income,"4,240,491.60",0.22,"4,240,491.60","3,150,000.00",798135K81,US798135K816,-,132.51,United States,-,USD,9.43,2.68,1.0,"Sep 01, 2039",5.0,12.4,-,1.24,7.56,1.24,USD,"Jul 29, 2021","Jul 29, 2021"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"4,195,837.37",0.22,"4,195,837.37","3,700,000.00",544495H72,US544495H726,-,110.9,United States,-,USD,4.58,4.12,1.0,"Jul 01, 2039",5.0,11.08,-,0.6,2.33,0.6,USD,"Oct 23, 2014","Oct 23, 2014"
CALIFORNIA EDL FACS AUTH REV,Education,Fixed Income,"4,163,936.70",0.21,"4,163,936.70","2,650,000.00",130179GV0,US130179GV07,BG8C3L1,156.71,United States,-,USD,15.78,2.04,1.0,"Jun 01, 2046",5.0,16.29,-,2.04,16.29,2.04,USD,"Jun 22, 2016","Jun 22, 2016"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"4,145,553.68",0.21,"4,145,553.68","3,435,000.00",13063CC40,US13063CC401,-,119.02,United States,-,USD,6.1,3.17,1.0,"Sep 01, 2034",5.0,9.55,-,0.84,4.19,0.84,USD,"Mar 17, 2016","Mar 17, 2016"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"4,123,074.99",0.21,"4,123,074.99","3,560,000.00",13063CS68,US13063CS688,-,114.48,United States,-,USD,6.24,2.56,1.0,"Sep 01, 2033",4.0,9.38,-,0.83,4.27,0.83,USD,"Apr 28, 2016","Apr 28, 2016"
RIO HONDO CALIF CMNTY COLLEGE DIST,School Districts,Fixed Income,"4,076,850.92",0.21,"4,076,850.92","2,960,000.00",767121DL7,US767121DL75,-,137.73,United States,-,USD,11.62,3.21,1.0,"Aug 01, 2042",0.0,13.78,-,1.92,10.38,1.92,USD,"Dec 21, 2010","Dec 21, 2010"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"4,072,052.52",0.21,"4,072,052.52","3,290,000.00",13063DCJ5,US13063DCJ54,-,122.94,United States,-,USD,7.14,3.06,1.0,"Nov 01, 2036",5.0,10.87,-,0.95,5.15,0.95,USD,"Sep 12, 2017","Sep 12, 2017"
SAN DIEGO CALIF UNI SCH DIST,School Districts,Fixed Income,"4,059,380.54",0.21,"4,059,380.54","3,345,000.00",797356EM0,US797356EM01,-,120.58,United States,-,USD,11.44,2.83,1.0,"Jul 01, 2046",4.0,15.76,-,1.65,8.04,1.65,USD,"Oct 21, 2021","Oct 21, 2021"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"4,047,091.13",0.21,"4,047,091.13","3,505,000.00",13063CY20,US13063CY207,-,114.13,United States,-,USD,7.28,2.87,1.0,"Sep 01, 2037",4.0,11.77,-,0.9,4.26,0.9,USD,"Sep 13, 2016","Sep 13, 2016"
