,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2024 Term Muni Bond ETF
UNIVERSITY CALIF REVS FOR PREV,Government Related,Fixed Income,"547,141.10",0.21,"547,141.10","490,000.00",91412GWN1,US91412GWN14,-,111.02,United States,-,USD,2.26,0.33,1.0,"May 15, 2024",5.0,2.26,-,0.33,2.26,0.33,USD,"Mar 25, 2015","Mar 25, 2015"
METROPOLITAN GOVT NASHVILLE &,Government Related,Fixed Income,"546,859.34",0.21,"546,859.34","480,000.00",592112SG2,US592112SG29,-,111.43,United States,-,USD,2.33,0.4,1.0,"Jul 01, 2024",5.0,2.33,-,0.4,2.33,0.4,USD,"Feb 02, 2017","Feb 02, 2017"
DALLAS TEX AREA RAPID TRAN SAL,Government Related,Fixed Income,"539,918.85",0.21,"539,918.85","475,000.00",235241PW0,US235241PW06,-,113.25,United States,-,USD,2.75,0.42,1.0,"Dec 01, 2024",5.0,2.75,-,0.42,2.75,0.42,USD,"Dec 11, 2014","Dec 11, 2014"
WISCONSIN ST TRANSN REV,Government Related,Fixed Income,"535,715.40",0.21,"535,715.40","470,000.00",977123J90,US977123J908,-,111.48,United States,-,USD,2.33,0.38,1.0,"Jul 01, 2024",5.0,2.33,-,0.38,2.33,0.38,USD,"Dec 10, 2014","Dec 10, 2014"
ALABAMA FED AID HWY FIN AUTH S,Government Related,Fixed Income,"535,467.32",0.21,"535,467.32","470,000.00",010268CA6,US010268CA69,-,112.26,United States,-,USD,2.51,0.37,1.0,"Sep 01, 2024",5.0,2.5,-,0.37,2.5,0.37,USD,"Jun 29, 2017","Jun 29, 2017"
MINNESOTA PUB FACS AUTH ST REV,Government Related,Fixed Income,"533,594.05",0.21,"533,594.05","500,000.00",604115CX1,US604115CX18,-,105.72,United States,-,USD,2.09,0.35,1.0,"Mar 01, 2024",3.0,2.09,-,0.35,2.09,0.35,USD,"Mar 03, 2016","Mar 03, 2016"
NORTH CAROLINA ST LTD OBLIG,Government Related,Fixed Income,"529,665.41",0.2,"529,665.41","475,000.00",65829QBS2,US65829QBS21,-,111.09,United States,-,USD,2.31,0.38,1.0,"Jun 01, 2024",5.0,2.3,-,0.38,2.3,0.38,USD,"May 21, 2014","May 21, 2014"
WEST VIRGINIA ST,Government Related,Fixed Income,"523,969.80",0.2,"523,969.80","470,000.00",956553XV8,US956553XV83,-,111.07,United States,-,USD,2.31,0.39,1.0,"Jun 01, 2024",5.0,2.3,-,0.39,2.3,0.39,USD,"Apr 28, 2015","Apr 28, 2015"
NEW YORK ST DORM AUTH REVS NON,Government Related,Fixed Income,"523,708.30",0.2,"523,708.30","460,000.00",64990CUX7,US64990CUX72,-,111.35,United States,-,USD,2.33,0.43,1.0,"Jul 01, 2024",5.0,2.33,-,0.43,2.33,0.43,USD,"Apr 27, 2017","Apr 27, 2017"
DISTRICT COLUMBIA INCOME TAX R,Government Related,Fixed Income,"523,442.13",0.2,"523,442.13","460,000.00",25477GNK7,US25477GNK75,-,113.38,United States,-,USD,2.75,0.38,1.0,"Dec 01, 2024",5.0,2.75,-,0.38,2.75,0.38,USD,"Sep 10, 2014","Sep 10, 2014"
CALIFORNIA ST FOR PREVIOUS ISS,Government Related,Fixed Income,"523,424.22",0.2,"523,424.22","460,000.00",13063CQC7,US13063CQC72,-,112.95,United States,-,USD,2.67,0.4,1.0,"Nov 01, 2024",5.0,2.66,-,0.4,2.66,0.4,USD,"Nov 25, 2014","Nov 25, 2014"
FLORIDA ST TPK AUTH TPK REV,Government Related,Fixed Income,"518,256.60",0.2,"518,256.60","455,000.00",3431366A0,US3431366A08,-,111.4,United States,-,USD,2.33,0.41,1.0,"Jul 01, 2024",5.0,2.33,-,0.41,2.33,0.41,USD,"Aug 04, 2015","Aug 04, 2015"
BLACKROCK LIQ MUNICASH CL INS MMF,Cash and/or Derivatives,Money Market,"515,639.91",0.2,"515,639.91","515,588.00",09248U841,US09248U8412,B0BW5H6,1.0,United States,-,USD,0.04,0.13,1.0,-,0.1,0.04,-,0.13,0.04,0.13,USD,-,"Feb 23, 1984"
MISSOURI ST HWYS & TRANS COMMN,Corporates,Fixed Income,"513,744.53",0.2,"513,744.53","460,000.00",60636WRJ6,US60636WRJ61,-,110.85,United States,-,USD,2.22,0.33,1.0,"May 01, 2024",5.0,2.22,-,0.33,2.22,0.33,USD,"Jun 03, 2014","Jun 03, 2014"
MARYLAND ST,Government Related,Fixed Income,"513,409.94",0.2,"513,409.94","460,000.00",574193MS4,US574193MS47,-,111.19,United States,-,USD,2.31,0.34,1.0,"Jun 01, 2024",5.0,2.3,-,0.34,2.3,0.34,USD,"Jun 22, 2016","Jun 22, 2016"
HOUSTON TEX UTIL SYS REV,Government Related,Fixed Income,"513,065.32",0.2,"513,065.32","460,000.00",4424354N0,US4424354N01,-,110.9,United States,-,USD,2.26,0.38,1.0,"May 15, 2024",5.0,2.26,-,0.38,2.26,0.38,USD,"Apr 15, 2014","Apr 01, 2014"
FLORIDA ST BRD ED PUB ED,Government Related,Fixed Income,"507,829.40",0.2,"507,829.40","455,000.00",34153QGM2,US34153QGM24,-,111.19,United States,-,USD,2.31,0.34,1.0,"Jun 01, 2024",5.0,2.3,-,0.34,2.3,0.34,USD,"Mar 03, 2017","Mar 03, 2017"
MONMOUTH CNTY N J,Municipals,Fixed Income,"507,107.07",0.19,"507,107.07","445,000.00",609561JE6,US609561JE61,-,111.65,United States,-,USD,2.37,0.38,1.0,"Jul 15, 2024",5.0,2.37,-,0.38,2.37,0.38,USD,"Dec 30, 2019","Dec 30, 2019"
SANTA CLARA CNTY CALIF FING AU,Government Related,Fixed Income,"507,051.73",0.19,"507,051.73","445,000.00",801577LE5,US801577LE54,-,113.31,United States,-,USD,2.71,0.34,1.0,"Nov 15, 2024",5.0,2.7,-,0.34,2.7,0.34,USD,"Sep 20, 2016","Sep 20, 2016"
NEW YORK N Y CITY TRANSITIONAL,Government Related,Fixed Income,"506,491.36",0.19,"506,491.36","445,000.00",64971XHA9,US64971XHA90,-,111.73,United States,-,USD,2.42,0.43,1.0,"Aug 01, 2024",5.0,2.41,-,0.43,2.41,0.43,USD,"Sep 25, 2018","Sep 25, 2018"
NEW YORK ST DORM AUTH ST PERS,Government Related,Fixed Income,"502,819.75",0.19,"502,819.75","450,000.00",64990EY68,US64990EY684,-,110.27,United States,-,USD,2.09,0.32,1.0,"Mar 15, 2024",5.0,2.09,-,0.32,2.09,0.32,USD,"Sep 11, 2015","Sep 11, 2015"
LOS ANGELES CALIF UNI SCH DIST,Government Related,Fixed Income,"501,287.73",0.19,"501,287.73","440,000.00",5446465L2,US5446465L27,-,111.43,United States,-,USD,2.33,0.4,1.0,"Jul 01, 2024",5.0,2.33,-,0.4,2.33,0.4,USD,"May 25, 2017","May 25, 2017"
NEW YORK N Y,Government Related,Fixed Income,"501,041.61",0.19,"501,041.61","440,000.00",64966MRM3,US64966MRM37,-,111.79,United States,-,USD,2.42,0.41,1.0,"Aug 01, 2024",5.0,2.41,-,0.41,2.41,0.41,USD,"Oct 03, 2017","Oct 03, 2017"
HAWAII ST,Government Related,Fixed Income,"500,789.17",0.19,"500,789.17","440,000.00",419792CM6,US419792CM63,-,112.57,United States,-,USD,2.58,0.4,1.0,"Oct 01, 2024",5.0,2.58,-,0.4,2.58,0.4,USD,"Oct 29, 2015","Oct 29, 2015"
MAINE ST,Government Related,Fixed Income,"496,326.69",0.19,"496,326.69","445,000.00",56052AYB6,US56052AYB69,-,111.12,United States,-,USD,2.31,0.37,1.0,"Jun 01, 2024",5.0,2.3,-,0.37,2.3,0.37,USD,"Jun 24, 2014","Jun 24, 2014"
ALEXANDRIA VA,Municipals,Fixed Income,"496,167.61",0.19,"496,167.61","435,000.00",0153025J7,US0153025J70,-,111.56,United States,-,USD,2.33,0.35,1.0,"Jul 01, 2024",5.0,2.33,-,0.35,2.33,0.35,USD,"Sep 07, 2017","Sep 07, 2017"
NEW YORK N Y CITY TRANSITIONAL,Government Related,Fixed Income,"495,014.06",0.19,"495,014.06","435,000.00",64972H6E7,US64972H6E72,-,111.49,United States,-,USD,2.37,0.44,1.0,"Jul 15, 2024",5.0,2.37,-,0.44,2.37,0.44,USD,"Mar 17, 2016","Mar 17, 2016"
