,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2022 Term Corporate ETF
CITIGROUP INC,Corporates,Fixed Income,"7,332,222.57",0.47,"7,332,222.57","7,174,000.00",172967FT3,US172967FT34,BBPV6C8,100.12,United States,-,USD,0.04,1.21,1.0,"Jan 14, 2022",4.5,0.04,-,1.21,0.04,1.21,USD,"Nov 01, 2011","Nov 01, 2011"
EATON CORPORATION,Corporates,Fixed Income,"7,130,188.27",0.45,"7,130,188.27","6,980,000.00",278062AC8,US278062AC86,BH4XWD0,101.7,United States,-,USD,0.83,0.71,1.0,"Nov 02, 2022",2.75,0.83,-,0.71,0.83,0.71,USD,"Nov 02, 2013","Nov 07, 2013"
GLAXOSMITHKLINE CAPITAL PLC,Corporates,Fixed Income,"6,995,311.75",0.44,"6,995,311.75","6,907,000.00",377373AD7,US377373AD71,B84G0G5,100.86,United Kingdom,-,USD,0.35,0.41,1.0,"May 08, 2022",2.85,0.35,-,0.41,0.35,0.41,USD,"May 09, 2012","May 09, 2012"
AMERICAN EXPRESS CO,Corporates,Fixed Income,"6,883,671.39",0.44,"6,883,671.39","6,741,000.00",025816BD0,US025816BD05,B8DV8Y5,101.9,United States,-,USD,0.91,0.57,1.0,"Dec 02, 2022",2.65,0.91,-,0.57,0.91,0.57,USD,"Dec 03, 2012","Feb 26, 2013"
MITSUBISHI UFJ FINANCIAL GROUP INC,Corporates,Fixed Income,"6,627,293.06",0.42,"6,627,293.06","6,528,000.00",606822BG8,US606822BG84,BJLSNH3,100.5,Japan,-,USD,0.18,0.47,1.0,"Mar 07, 2022",3.22,0.18,-,0.47,0.18,0.47,USD,"Mar 07, 2019","Mar 07, 2019"
AMERICAN EXPRESS CO,Corporates,Fixed Income,"6,604,056.67",0.42,"6,604,056.67","6,473,000.00",025816BM0,US025816BM04,BD9MLW6,100.98,United States,-,USD,0.49,0.81,1.0,"Aug 01, 2022",2.5,0.57,-,0.53,0.49,0.53,USD,"Aug 01, 2017","Aug 01, 2017"
QUALCOMM INCORPORATED,Corporates,Fixed Income,"6,552,320.60",0.42,"6,552,320.60","6,465,000.00",747525AE3,US747525AE30,BWX4DC5,101.01,United States,-,USD,0.38,0.38,1.0,"May 20, 2022",3.0,0.39,-,0.38,0.39,0.38,USD,"May 20, 2015","May 20, 2015"
BANK OF MONTREAL MTN,Corporates,Fixed Income,"6,449,400.28",0.41,"6,449,400.28","6,323,000.00",06367TG38,US06367TG384,BF1TQJ1,101.28,Canada,-,USD,0.69,0.5,1.0,"Sep 11, 2022",2.35,0.69,-,0.5,0.69,0.5,USD,"Sep 11, 2017","Sep 11, 2017"
VMWARE INC,Corporates,Fixed Income,"6,441,012.04",0.41,"6,441,012.04","6,292,000.00",928563AB1,US928563AB16,BDT5LB4,101.3,United States,-,USD,0.55,0.9,1.0,"Aug 21, 2022",2.95,0.63,-,0.6,0.55,0.6,USD,"Aug 21, 2017","Aug 21, 2017"
LLOYDS BANKING GROUP PLC,Corporates,Fixed Income,"6,405,527.54",0.41,"6,405,527.54","6,313,000.00",53944YAC7,US53944YAC75,BDDXTG5,100.05,United Kingdom,-,USD,0.03,1.22,1.0,"Jan 11, 2022",3.0,0.03,-,1.22,0.03,1.22,USD,"Jan 11, 2017","Jan 11, 2017"
BIOGEN INC,Corporates,Fixed Income,"6,325,096.25",0.4,"6,325,096.25","6,134,000.00",09062XAE3,US09062XAE31,BYQC6K9,102.05,United States,-,USD,0.7,0.71,1.0,"Sep 15, 2022",3.63,0.69,-,0.71,0.69,0.71,USD,"Sep 15, 2015","Sep 15, 2015"
APPLE INC,Corporates,Fixed Income,"6,186,687.78",0.39,"6,186,687.78","6,084,000.00",037833DC1,US037833DC16,BF93V67,101.05,United States,-,USD,0.61,0.59,1.0,"Sep 12, 2022",2.1,0.69,-,0.38,0.6,0.38,USD,"Sep 12, 2017","Sep 12, 2017"
AMAZON.COM INC,Corporates,Fixed Income,"6,117,617.64",0.39,"6,117,617.64","6,025,000.00",023135AJ5,US023135AJ58,B8VBQ21,101.32,United States,-,USD,0.66,1.05,1.0,"Nov 29, 2022",2.5,0.9,-,0.5,0.65,0.5,USD,"Nov 29, 2012","Nov 29, 2012"
NOVARTIS CAPITAL CORP,Corporates,Fixed Income,"6,116,495.75",0.39,"6,116,495.75","5,993,000.00",66989HAE8,US66989HAE80,B8GM243,101.39,Switzerland,-,USD,0.72,0.46,1.0,"Sep 21, 2022",2.4,0.71,-,0.46,0.71,0.46,USD,"Sep 21, 2012","Sep 21, 2012"
APPLE INC,Corporates,Fixed Income,"6,104,095.72",0.39,"6,104,095.72","6,031,000.00",037833BF6,US037833BF64,BXC5WQ3,100.85,United States,-,USD,0.36,0.37,1.0,"May 13, 2022",2.7,0.37,-,0.37,0.37,0.37,USD,"May 13, 2015","May 13, 2015"
HEWLETT PACKARD ENTERPRISE CO,Corporates,Fixed Income,"6,053,025.38",0.38,"6,053,025.38","5,865,000.00",42824CAN9,US42824CAN92,BYXLJZ5,102.28,United States,-,USD,0.61,1.48,1.0,"Oct 15, 2022",4.4,0.77,-,0.72,0.61,0.72,USD,"Oct 15, 2016","Dec 30, 2016"
TORONTO-DOMINION BANK/THE,Corporates,Fixed Income,"6,032,243.51",0.38,"6,032,243.51","5,948,000.00",89114QCD8,US89114QCD88,-,101.26,Canada,-,USD,0.91,0.52,1.0,"Dec 01, 2022",1.9,0.91,-,0.52,0.91,0.52,USD,"Oct 10, 2019","Oct 10, 2019"
BRISTOL-MYERS SQUIBB CO,Corporates,Fixed Income,"5,952,371.49",0.38,"5,952,371.49","5,884,000.00",110122CL0,US110122CL03,BMX6FF8,100.84,United States,-,USD,0.37,0.36,1.0,"May 16, 2022",2.6,0.37,-,0.36,0.37,0.36,USD,"May 16, 2020","Jul 17, 2020"
MERCK & CO INC,Corporates,Fixed Income,"5,945,063.99",0.38,"5,945,063.99","5,851,000.00",589331AT4,US589331AT41,B8FNG45,100.9,United States,-,USD,0.45,1.11,1.0,"Sep 15, 2022",2.4,0.7,-,0.42,0.45,0.42,USD,"Sep 13, 2012","Sep 13, 2012"
SUMITOMO MITSUI FINANCIAL GROUP IN,Corporates,Fixed Income,"5,822,244.33",0.37,"5,822,244.33","5,695,000.00",86562MAU4,US86562MAU45,BZ1H048,101.67,Japan,-,USD,0.79,0.67,1.0,"Oct 18, 2022",2.78,0.79,-,0.67,0.79,0.67,USD,"Oct 18, 2017","Oct 18, 2017"
UNITED PARCEL SERVICE INC,Corporates,Fixed Income,"5,785,866.11",0.37,"5,785,866.11","5,671,000.00",911312AQ9,US911312AQ92,B7WCTT4,101.41,United States,-,USD,0.75,0.56,1.0,"Oct 01, 2022",2.45,0.74,-,0.56,0.74,0.56,USD,"Sep 27, 2012","Sep 27, 2012"
BANK OF MONTREAL MTN,Corporates,Fixed Income,"5,763,732.86",0.37,"5,763,732.86","5,687,000.00",06367WJM6,US06367WJM64,BJ6R870,100.58,Canada,-,USD,0.24,0.42,1.0,"Mar 26, 2022",2.9,0.24,-,0.42,0.24,0.42,USD,"Mar 26, 2019","Mar 26, 2019"
CREDIT SUISSE AG (NEW YORK BRANCH),Corporates,Fixed Income,"5,754,355.86",0.37,"5,754,355.86","5,684,000.00",22550L2B6,US22550L2B68,-,100.6,Switzerland,-,USD,0.27,0.56,1.0,"Apr 08, 2022",2.8,0.27,-,0.56,0.27,0.56,USD,"Apr 09, 2020","Apr 09, 2020"
MIZUHO FINANCIAL GROUP INC,Corporates,Fixed Income,"5,744,995.30",0.37,"5,744,995.30","5,622,000.00",60687YAL3,US60687YAL39,BF58HC4,101.39,Japan,-,USD,0.69,0.59,1.0,"Sep 11, 2022",2.6,0.69,-,0.59,0.69,0.59,USD,"Sep 11, 2017","Sep 11, 2017"
MIZUHO FINANCIAL GROUP INC,Corporates,Fixed Income,"5,740,528.64",0.36,"5,740,528.64","5,662,000.00",60687YAH2,US60687YAH27,BDT5G31,100.38,Japan,-,USD,0.16,0.56,1.0,"Feb 28, 2022",2.95,0.16,-,0.56,0.16,0.56,USD,"Feb 28, 2017","Feb 28, 2017"
ABB FINANCE USA INC,Corporates,Fixed Income,"5,721,143.82",0.36,"5,721,143.82","5,651,000.00",00037BAB8,US00037BAB80,B7W9683,100.82,Switzerland,-,USD,0.35,0.55,1.0,"May 08, 2022",2.88,0.35,-,0.55,0.35,0.55,USD,"May 08, 2012","May 08, 2012"
CVS HEALTH CORP,Corporates,Fixed Income,"5,698,977.42",0.36,"5,698,977.42","5,550,000.00",126650CK4,US126650CK42,BYPFCL2,101.12,United States,-,USD,0.38,1.46,1.0,"Jul 20, 2022",3.5,0.54,-,0.6,0.38,0.6,USD,"Jul 20, 2015","Jul 20, 2015"
BAKER HUGHES A GE CO LLC / BAKER H,Corporates,Fixed Income,"5,664,299.64",0.36,"5,664,299.64","5,548,000.00",05723KAD2,US05723KAD28,BF3SRX7,101.97,United States,-,USD,0.87,0.7,1.0,"Dec 15, 2022",2.77,0.95,-,0.5,0.86,0.5,USD,"Dec 11, 2017","Jan 31, 2018"
INTEL CORPORATION,Corporates,Fixed Income,"5,662,458.72",0.36,"5,662,458.72","5,541,000.00",458140AM2,US458140AM21,B93KPN7,102.07,United States,-,USD,0.95,0.52,1.0,"Dec 15, 2022",2.7,0.95,-,0.52,0.95,0.52,USD,"Dec 11, 2012","Dec 11, 2012"
TOYOTA MOTOR CREDIT CORP MTN,Corporates,Fixed Income,"5,537,893.90",0.35,"5,537,893.90","5,544,000.00",89236THM0,US89236THM09,BN44X65,99.81,United States,-,USD,0.78,0.59,1.0,"Oct 14, 2022",0.35,0.78,-,0.59,0.78,0.59,USD,"Oct 16, 2020","Oct 16, 2020"
US BANCORP MTN,Corporates,Fixed Income,"5,515,330.72",0.35,"5,515,330.72","5,384,000.00",91159JAA4,US91159JAA43,B8K85B5,101.08,United States,-,USD,0.45,0.94,1.0,"Jul 15, 2022",2.95,0.53,-,0.58,0.44,0.58,USD,"Jul 23, 2012","Jul 23, 2012"
GENERAL MOTORS FINANCIAL CO INC,Corporates,Fixed Income,"5,485,015.72",0.35,"5,485,015.72","5,317,000.00",37045XCU8,US37045XCU81,BHZQX02,101.45,United States,-,USD,0.51,0.74,1.0,"Jul 08, 2022",3.55,0.51,-,0.74,0.51,0.74,USD,"Apr 08, 2019","Apr 08, 2019"
SUMITOMO MITSUI FINANCIAL GROUP IN,Corporates,Fixed Income,"5,442,554.26",0.35,"5,442,554.26","5,308,000.00",86562MAQ3,US86562MAQ33,BF550B5,101.23,Japan,-,USD,0.52,0.46,1.0,"Jul 12, 2022",2.78,0.52,-,0.46,0.52,0.46,USD,"Jul 12, 2017","Jul 12, 2017"
BANK OF NOVA SCOTIA,Corporates,Fixed Income,"5,419,689.17",0.34,"5,419,689.17","5,308,000.00",064159KD7,US064159KD73,BF97NT6,101.41,Canada,-,USD,0.71,0.48,1.0,"Sep 19, 2022",2.45,0.71,-,0.48,0.71,0.48,USD,"Sep 19, 2017","Sep 19, 2017"
ING GROEP NV,Corporates,Fixed Income,"5,353,463.20",0.34,"5,353,463.20","5,277,000.00",456837AG8,US456837AG88,BYV8RK9,100.64,Netherlands,-,USD,0.24,0.51,1.0,"Mar 29, 2022",3.15,0.24,-,0.51,0.24,0.51,USD,"Mar 29, 2017","Mar 29, 2017"
PROCTER & GAMBLE COMPANY,Corporates,Fixed Income,"5,305,997.37",0.34,"5,305,997.37","5,209,000.00",742718EU9,US742718EU91,BD9FR05,101.03,United States,-,USD,0.6,0.47,1.0,"Aug 11, 2022",2.15,0.6,-,0.47,0.6,0.47,USD,"Aug 11, 2017","Aug 11, 2017"
AETNA INC,Corporates,Fixed Income,"5,263,716.04",0.33,"5,263,716.04","5,178,000.00",008117AP8,US008117AP87,B8L7F66,101.3,United States,-,USD,0.62,1.24,1.0,"Nov 15, 2022",2.75,0.86,-,0.64,0.61,0.64,USD,"Nov 07, 2012","Nov 07, 2012"
GLAXOSMITHKLINE CAPITAL PLC,Corporates,Fixed Income,"5,263,120.29",0.33,"5,263,120.29","5,210,000.00",377373AJ4,US377373AJ42,BJ0M5J2,100.78,United Kingdom,-,USD,0.33,0.99,1.0,"Jun 01, 2022",2.88,0.41,-,0.53,0.34,0.53,USD,"Mar 25, 2019","Mar 25, 2019"
WALMART INC,Corporates,Fixed Income,"5,225,655.57",0.33,"5,225,655.57","5,135,000.00",931142DU4,US931142DU48,BZ1H242,101.66,United States,-,USD,0.87,0.6,1.0,"Dec 15, 2022",2.35,0.95,-,0.44,0.87,0.44,USD,"Oct 20, 2017","Oct 20, 2017"
BANK OF NOVA SCOTIA,Corporates,Fixed Income,"5,214,168.49",0.33,"5,214,168.49","5,150,000.00",064159JG2,US064159JG24,BF04YP9,100.39,Canada,-,USD,0.18,0.56,1.0,"Mar 07, 2022",2.7,0.18,-,0.56,0.18,0.56,USD,"Mar 07, 2017","Mar 07, 2017"
CVS HEALTH CORP,Corporates,Fixed Income,"5,212,252.22",0.33,"5,212,252.22","5,129,000.00",126650BZ2,US126650BZ20,B90QJ25,101.39,United States,-,USD,0.66,1.22,1.0,"Dec 01, 2022",2.75,0.9,-,0.65,0.66,0.65,USD,"Nov 29, 2012","Nov 29, 2012"
FISERV INC,Corporates,Fixed Income,"5,206,459.20",0.33,"5,206,459.20","5,090,000.00",337738AM0,US337738AM09,B88P0T1,101.41,United States,-,USD,0.49,1.59,1.0,"Oct 01, 2022",3.5,0.74,-,0.66,0.49,0.66,USD,"Sep 25, 2012","Sep 25, 2012"
HOME DEPOT INC,Corporates,Fixed Income,"5,173,843.71",0.33,"5,173,843.71","5,124,000.00",437076BG6,US437076BG61,BYQF352,100.75,United States,-,USD,0.33,0.81,1.0,"Jun 01, 2022",2.63,0.41,-,0.36,0.34,0.36,USD,"Jun 02, 2015","Jun 02, 2015"
WALT DISNEY CO,Corporates,Fixed Income,"5,153,535.47",0.33,"5,153,535.47","5,024,000.00",254687CM6,US254687CM62,BKMDZ67,101.69,United States,-,USD,0.7,0.59,1.0,"Sep 15, 2022",3.0,0.7,-,0.59,0.7,0.59,USD,"Sep 15, 2019","Nov 22, 2019"
KEYBANK NATIONAL ASSOCIATION,Corporates,Fixed Income,"5,140,551.49",0.33,"5,140,551.49","5,042,000.00",49327M2T0,US49327M2T01,BDG75W2,101.27,United States,-,USD,0.7,0.49,1.0,"Sep 14, 2022",2.3,0.7,-,0.49,0.7,0.49,USD,"Sep 14, 2017","Sep 14, 2017"
MONDELEZ INTERNATIONAL INC,Corporates,Fixed Income,"5,107,512.48",0.32,"5,107,512.48","5,088,000.00",609207AV7,US609207AV77,-,100.07,United States,-,USD,0.5,0.48,1.0,"Jul 01, 2022",0.63,0.5,-,0.48,0.5,0.48,USD,"Jul 02, 2020","Jul 02, 2020"
GENERAL MOTORS FINANCIAL CO INC,Corporates,Fixed Income,"5,077,920.08",0.32,"5,077,920.08","5,024,000.00",37045XAW6,US37045XAW65,BYVDTM0,100.3,United States,-,USD,0.11,2.34,1.0,"Apr 10, 2022",3.45,0.27,-,0.68,0.11,0.68,USD,"Apr 10, 2015","Apr 10, 2015"
GENERAL MOTORS FINANCIAL CO INC,Corporates,Fixed Income,"5,075,138.74",0.32,"5,075,138.74","5,023,000.00",37045XBY1,US37045XBY13,BF5CP11,101.04,United States,-,USD,0.41,1.06,1.0,"Jun 30, 2022",3.15,0.5,-,0.65,0.42,0.65,USD,"Jun 30, 2017","Jun 30, 2017"
MICROSOFT CORPORATION,Corporates,Fixed Income,"5,058,072.00",0.32,"5,058,072.00","5,009,000.00",594918BW3,US594918BW38,BYP2NY3,100.01,United States,-,USD,0.1,2.24,1.0,"Feb 06, 2022",2.4,0.1,-,2.14,0.08,2.14,USD,"Feb 06, 2017","Feb 06, 2017"
TOYOTA MOTOR CREDIT CORP,Corporates,Fixed Income,"5,042,982.20",0.32,"5,042,982.20","5,022,000.00",89236TGZ2,US89236TGZ21,-,100.31,United States,-,USD,0.4,0.39,1.0,"May 26, 2022",1.15,0.4,-,0.39,0.4,0.39,USD,"May 26, 2020","May 26, 2020"
SUNTRUST BANK,Corporates,Fixed Income,"5,006,195.67",0.32,"5,006,195.67","4,955,000.00",86787EBE6,US86787EBE68,BJXKL17,100.69,United States,-,USD,0.29,0.96,1.0,"May 17, 2022",2.8,0.38,-,0.44,0.3,0.44,USD,"May 17, 2019","May 17, 2019"
WASTE MANAGEMENT INC,Corporates,Fixed Income,"4,991,132.36",0.32,"4,991,132.36","4,895,000.00",94106LAY5,US94106LAY56,B4KJJ29,101.11,United States,-,USD,0.45,1.31,1.0,"Sep 15, 2022",2.9,0.69,-,0.46,0.45,0.46,USD,"Sep 12, 2012","Sep 12, 2012"
AMERICAN EXPRESS CREDIT CORPORATIO MTN,Corporates,Fixed Income,"4,921,768.10",0.31,"4,921,768.10","4,870,000.00",0258M0EG0,US0258M0EG02,BF01ZB3,100.18,United States,-,USD,0.08,1.65,1.0,"Mar 03, 2022",2.7,0.17,-,0.56,0.08,0.56,USD,"Mar 03, 2017","Mar 03, 2017"
AMERICAN EXPRESS COMPANY,Corporates,Fixed Income,"4,918,222.47",0.31,"4,918,222.47","4,870,000.00",025816CD9,US025816CD95,BK5CT36,100.68,United States,-,USD,0.3,0.99,1.0,"May 20, 2022",2.75,0.38,-,0.48,0.3,0.48,USD,"May 20, 2019","May 20, 2019"
MUFG UNION BANK NA MTN,Corporates,Fixed Income,"4,891,649.33",0.31,"4,891,649.33","4,825,000.00",90520EAK7,US90520EAK73,-,101.25,United States,-,USD,0.86,0.76,1.0,"Dec 09, 2022",2.1,0.93,-,0.63,0.85,0.63,USD,"Dec 09, 2019","Dec 09, 2019"
MCDONALDS CORPORATION MTN,Corporates,Fixed Income,"4,876,218.71",0.31,"4,876,218.71","4,815,000.00",58013MEM2,US58013MEM29,B4LHG54,100.06,United States,-,USD,0.05,1.04,1.0,"Jan 15, 2022",2.63,0.04,-,1.04,0.04,1.04,USD,"Sep 30, 2011","Sep 30, 2011"
COMCAST CABLE COMMUNICATIONS HOLDI,Corporates,Fixed Income,"4,800,084.42",0.31,"4,800,084.42","4,409,000.00",00209TAB1,US00209TAB17,2166502,107.66,United States,-,USD,0.85,0.63,1.0,"Nov 15, 2022",9.46,0.85,-,0.63,0.85,0.63,USD,"Nov 18, 2002","Nov 18, 2002"
INTERNATIONAL BUSINESS MACHINES CO,Corporates,Fixed Income,"4,784,217.71",0.3,"4,784,217.71","4,727,000.00",459200JQ5,US459200JQ56,BD06B50,100.14,United States,-,USD,0.07,0.54,1.0,"Jan 27, 2022",2.5,0.07,-,0.54,0.07,0.54,USD,"Jan 27, 2017","Jan 27, 2017"
ASTRAZENECA PLC,Corporates,Fixed Income,"4,777,509.86",0.3,"4,777,509.86","4,740,000.00",046353AQ1,US046353AQ14,BF4SNM7,100.67,United Kingdom,-,USD,0.36,0.88,1.0,"Jun 12, 2022",2.38,0.45,-,0.54,0.37,0.54,USD,"Jun 12, 2017","Jun 12, 2017"
