,,,,,,,,,,,,,,,,,,,,,,,,,,iShares U.S. Fixed Income Balanced Risk Factor ETF
GOLDMAN SACHS GROUP INC/THE,Financial Institutions,Fixed Income,"423,267.06",0.37,"423,267.06","430,000.00",38141GYA6,US38141GYA65,-,97.99,United States,-,USD,4.01,1.73,1.0,"Mar 09, 2027",1.43,4.02,-,1.73,4.02,1.73,USD,"Mar 08, 2021","Mar 08, 2021"
GCI LLC 144A,Industrial,Fixed Income,"414,247.11",0.36,"414,247.11","400,000.00",36166TAB6,US36166TAB61,BMDLN59,102.56,United States,-,USD,4.02,4.31,1.0,"Oct 15, 2028",4.75,5.72,-,4.01,3.42,4.01,USD,"Oct 07, 2020","Oct 07, 2020"
FNMA 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"410,154.55",0.36,"410,154.55","410,262.00",3140XDQC3,US3140XDQC33,-,99.81,United States,-,USD,7.06,2.02,1.0,"Nov 01, 2051",2.0,6.88,-,2.02,6.88,2.02,USD,"Oct 01, 2021","Oct 01, 2021"
FNMA 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"405,736.21",0.35,"405,736.21","405,749.00",3140XAH88,US3140XAH888,-,99.83,United States,-,USD,6.55,2.01,1.0,"Mar 01, 2051",2.0,6.64,-,2.01,6.64,2.01,USD,"Mar 01, 2021","Mar 01, 2021"
ARES CAPITAL CORPORATION,Financial Institutions,Fixed Income,"404,421.55",0.35,"404,421.55","390,000.00",04010LAU7,US04010LAU70,BF46ZZ8,102.33,United States,-,USD,1.0,1.38,1.0,"Feb 10, 2023",3.5,1.08,-,1.21,1.0,1.21,USD,"Aug 10, 2017","Aug 10, 2017"
FNMA 30YR,MBS Pass-Through,Fixed Income,"394,092.17",0.34,"394,092.17","375,470.00",3138WJCX4,US3138WJCX41,-,104.71,United States,-,USD,3.74,1.99,1.0,"Oct 01, 2046",3.0,4.8,-,1.99,4.8,1.99,USD,"Sep 01, 2016","Sep 01, 2016"
MORGAN STANLEY MTN,Financial Institutions,Fixed Income,"386,315.79",0.34,"386,315.79","390,000.00",61747YED3,US61747YED31,BNZKG63,98.05,United States,-,USD,8.25,2.36,1.0,"Jul 21, 2032",2.24,8.45,-,2.36,8.45,2.36,USD,"Jul 20, 2021","Jul 20, 2021"
CITIGROUP INC,Financial Institutions,Fixed Income,"383,592.53",0.33,"383,592.53","365,000.00",172967MF5,US172967MF56,BK1M1W3,104.47,United States,-,USD,2.21,1.3,1.0,"Apr 24, 2025",3.35,2.22,-,1.3,2.22,1.3,USD,"Apr 24, 2019","Apr 24, 2019"
SUNOCO LP,Industrial,Fixed Income,"369,101.83",0.32,"369,101.83","350,000.00",86765LAQ0,US86765LAQ05,BKLNVX7,104.19,United States,-,USD,0.29,5.08,1.0,"Apr 15, 2027",6.0,4.46,-,1.78,0.29,1.78,USD,"Mar 14, 2019","Jul 16, 2019"
FHLMC 15YR UMBS SUPER,MBS Pass-Through,Fixed Income,"368,734.35",0.32,"368,734.35","350,760.00",3132CWM84,US3132CWM842,-,104.92,United States,-,USD,2.85,0.79,1.0,"Apr 01, 2032",2.5,2.93,-,0.79,2.93,0.79,USD,"Jun 01, 2020","Jun 01, 2020"
AT&T INC,Industrial,Fixed Income,"367,960.11",0.32,"367,960.11","365,000.00",00206RCM2,US00206RCM25,BX2KBC7,100.81,United States,-,USD,0.33,1.37,1.0,"Jun 30, 2022",3.0,0.5,-,0.56,0.33,0.56,USD,"May 04, 2015","May 04, 2015"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"367,055.73",0.32,"367,055.73","348,509.00",3140QBR75,US3140QBR756,-,105.07,United States,-,USD,4.46,1.96,1.0,"Sep 01, 2049",3.0,4.98,-,1.96,4.98,1.96,USD,"Aug 01, 2019","Aug 01, 2019"
CASH COLLATERAL USD JPFFT,Cash and/or Derivatives,Cash Collateral and Margins,"366,000.00",0.32,"366,000.00","366,000.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.1,0.0,-,0.1,0.0,0.1,USD,"Feb 01, 2009","Feb 01, 2009"
NOMURA HOLDINGS INC,Financial Institutions,Fixed Income,"364,404.83",0.32,"364,404.83","350,000.00",65535HAP4,US65535HAP47,BKRMRS5,102.9,Japan,-,USD,2.9,1.67,1.0,"Jan 16, 2025",2.65,2.89,-,1.67,2.89,1.67,USD,"Jan 16, 2020","Jan 16, 2020"
GOLDMAN SACHS GROUP INC/THE,Financial Institutions,Fixed Income,"358,406.82",0.31,"358,406.82","335,000.00",38148LAC0,US38148LAC00,BVGCLY7,105.45,United States,-,USD,2.7,1.67,1.0,"Jan 23, 2025",3.5,2.87,-,1.51,2.65,1.51,USD,"Jan 23, 2015","Jan 23, 2015"
BANK OF AMERICA CORP MTN,Financial Institutions,Fixed Income,"358,272.44",0.31,"358,272.44","350,000.00",06051GGQ6,US06051GGQ64,BF8F0Y5,101.11,United States,-,USD,0.57,1.02,1.0,"Jul 21, 2023",2.82,0.54,-,0.81,0.55,0.81,USD,"Jul 21, 2017","Jul 21, 2017"
FGOLD 30YR GIANT,MBS Pass-Through,Fixed Income,"357,071.70",0.31,"357,071.70","340,072.00",3128MJZB9,US3128MJZB93,-,104.75,United States,-,USD,3.74,1.98,1.0,"Dec 01, 2046",3.0,4.7,-,1.98,4.7,1.98,USD,"Nov 01, 2016","Nov 01, 2016"
MITSUBISHI UFJ FINANCIAL GROUP INC,Financial Institutions,Fixed Income,"356,617.20",0.31,"356,617.20","360,000.00",606822BZ6,US606822BZ65,-,98.7,Japan,-,USD,4.52,1.78,1.0,"Oct 13, 2027",1.64,4.56,-,1.78,4.56,1.78,USD,"Oct 13, 2021","Oct 13, 2021"
MORGAN STANLEY,Financial Institutions,Fixed Income,"352,177.60",0.31,"352,177.60","320,000.00",6174468P7,US6174468P76,-,109.15,United States,-,USD,6.98,2.47,1.0,"Apr 01, 2031",3.62,7.11,-,2.39,7.12,2.39,USD,"Mar 31, 2020","Mar 31, 2020"
NMI HOLDINGS INC 144A,Financial Institutions,Fixed Income,"342,577.75",0.3,"342,577.75","300,000.00",629209AA5,US629209AA52,-,113.58,United States,-,USD,2.94,3.15,1.0,"Jun 01, 2025",7.38,3.04,-,2.96,2.91,2.96,USD,"Jun 19, 2020","Jun 19, 2020"
BANK OF AMERICA CORP,Financial Institutions,Fixed Income,"333,050.69",0.29,"333,050.69","326,000.00",06051GHC6,US06051GHC69,BG37Y96,102.07,United States,-,USD,0.98,0.93,1.0,"Dec 20, 2023",3.0,0.95,-,0.85,0.96,0.85,USD,"Dec 20, 2017","May 22, 2018"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"330,290.71",0.29,"330,290.71","322,832.00",3140QFFJ3,US3140QFFJ36,-,102.1,United States,-,USD,4.74,2.02,1.0,"Oct 01, 2050",2.5,4.62,-,2.02,4.62,2.02,USD,"Sep 01, 2020","Sep 01, 2020"
SANTANDER UK GROUP HOLDINGS PLC,Financial Institutions,Fixed Income,"327,662.45",0.29,"327,662.45","330,000.00",80281LAN5,US80281LAN55,-,98.97,United Kingdom,-,USD,2.17,1.35,1.0,"Mar 15, 2025",1.09,2.16,-,1.35,2.16,1.35,USD,"Mar 15, 2021","Mar 15, 2021"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"327,541.55",0.29,"327,541.55","327,098.00",3140QGLY1,US3140QGLY12,-,99.97,United States,-,USD,6.15,1.99,1.0,"Jan 01, 2051",2.0,6.19,-,1.99,6.19,1.99,USD,"Dec 01, 2020","Dec 01, 2020"
HOWARD HUGHES CORP 144A,Financial Institutions,Fixed Income,"326,575.75",0.28,"326,575.75","300,000.00",44267DAD9,US44267DAD93,-,106.62,United States,-,USD,2.38,4.21,1.0,"Aug 01, 2028",5.38,5.44,-,2.75,1.49,2.75,USD,"Aug 18, 2020","Aug 18, 2020"
MCCORMICK & COMPANY INCORPORATED,Industrial,Fixed Income,"317,034.00",0.28,"317,034.00","300,000.00",579780AM9,US579780AM94,BF53JF6,104.49,United States,-,USD,2.38,1.4,1.0,"Aug 15, 2024",3.15,2.49,-,1.29,2.34,1.29,USD,"Aug 11, 2017","Aug 11, 2017"
ADVANCED DRAINAGE SYSTEMS INC 144A,Industrial,Fixed Income,"314,661.00",0.27,"314,661.00","300,000.00",00790RAA2,US00790RAA23,BJYQBC5,103.64,United States,-,USD,2.08,4.28,1.0,"Sep 30, 2027",5.0,4.92,-,3.36,0.73,3.36,USD,"Sep 23, 2019","Sep 23, 2019"
MIZUHO FINANCIAL GROUP INC,Financial Institutions,Fixed Income,"314,247.62",0.27,"314,247.62","300,000.00",60687YAW9,US60687YAW93,BK0P8N3,103.45,Japan,-,USD,2.41,1.38,1.0,"Jul 16, 2025",2.84,2.42,-,1.38,2.42,1.38,USD,"Jul 16, 2019","Jul 16, 2019"
PDC ENERGY INC (DELAWARE),Industrial,Fixed Income,"313,388.17",0.27,"313,388.17","300,000.00",69327RAJ0,US69327RAJ05,BF4P038,103.73,United States,-,USD,1.02,4.79,1.0,"May 15, 2026",5.75,3.82,-,3.31,0.37,3.31,USD,"May 15, 2018","Jul 25, 2018"
CC HOLDINGS GS V LLC,Industrial,Fixed Income,"312,928.70",0.27,"312,928.70","300,000.00",14987BAE3,US14987BAE39,BBPL2W0,103.5,United States,-,USD,1.26,1.11,1.0,"Apr 15, 2023",3.85,1.25,-,1.11,1.25,1.11,USD,"Apr 15, 2013","Jun 17, 2013"
IQVIA INC 144A,Industrial,Fixed Income,"312,551.67",0.27,"312,551.67","300,000.00",46266TAA6,US46266TAA60,BK62T46,103.55,United States,-,USD,0.81,4.25,1.0,"May 15, 2027",5.0,4.66,-,2.1,0.37,2.1,USD,"May 10, 2019","May 10, 2019"
FNMA 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"310,425.93",0.27,"310,425.93","294,107.00",3140X4HG4,US3140X4HG41,-,105.3,United States,-,USD,3.74,1.88,1.0,"Oct 01, 2044",3.0,4.84,-,1.88,4.84,1.88,USD,"Jun 01, 2019","Jun 01, 2019"
LOUISIANA PACIFIC CORP 144A,Industrial,Fixed Income,"308,521.08",0.27,"308,521.08","300,000.00",546347AM7,US546347AM73,-,101.77,United States,-,USD,4.51,3.35,1.0,"Mar 15, 2029",3.63,6.24,-,3.17,3.84,3.17,USD,"Mar 11, 2021","Mar 11, 2021"
UMBS 15YR TBA(REG B),MBS Pass-Through,Fixed Income,"308,069.57",0.27,"308,069.57","292,000.00",01F032419,US01F0324198,-,105.34,United States,-,USD,2.09,1.29,1.0,"Jan 18, 2022",3.5,2.49,-,1.29,2.49,1.29,USD,"Jan 01, 2022","Jan 01, 2022"
JPMORGAN CHASE & CO,Financial Institutions,Fixed Income,"307,285.39",0.27,"307,285.39","315,000.00",46647PBT2,US46647PBT21,-,97.43,United States,-,USD,3.77,1.56,1.0,"Nov 19, 2026",1.04,3.78,-,1.56,3.78,1.56,USD,"Nov 19, 2020","Nov 19, 2020"
INDIGO MERGER SUB INC 144A,Industrial,Fixed Income,"305,896.50",0.27,"305,896.50","300,000.00",45569KAA1,US45569KAA16,-,100.53,Ireland,-,USD,3.48,2.75,1.0,"Jul 15, 2026",2.88,4.17,-,2.72,3.3,2.72,USD,"Jul 01, 2021","Jul 01, 2021"
SUMITOMO MITSUI FINANCIAL GROUP IN,Financial Institutions,Fixed Income,"300,562.02",0.26,"300,562.02","300,000.00",86562MCA6,US86562MCA62,-,99.48,Japan,-,USD,3.4,1.63,1.0,"Jul 08, 2025",1.47,3.39,-,1.63,3.39,1.63,USD,"Jul 08, 2020","Jul 08, 2020"
FHLMC 15YR UMBS SUPER,MBS Pass-Through,Fixed Income,"296,966.02",0.26,"296,966.02","280,168.00",3132CWCE2,US3132CWCE21,-,105.75,United States,-,USD,3.22,1.33,1.0,"Sep 01, 2034",3.0,3.5,-,1.33,3.5,1.33,USD,"Aug 01, 2019","Aug 01, 2019"
GNMA2 30YR TBA(REG C),MBS Pass-Through,Fixed Income,"296,432.83",0.26,"296,432.83","281,000.00",21H040616,US21H0406163,-,105.28,United States,-,USD,3.06,2.38,1.0,"Jan 20, 2022",4.0,3.37,-,2.38,3.37,2.38,USD,"Jan 01, 2022","Jan 01, 2022"
FNMA 30YR,MBS Pass-Through,Fixed Income,"294,645.17",0.26,"294,645.17","264,784.00",3140Q9PA5,US3140Q9PA53,-,110.86,United States,-,USD,2.1,2.01,1.0,"Aug 01, 2048",5.0,3.75,-,2.01,3.75,2.01,USD,"Jul 01, 2018","Jul 01, 2018"
FHLMC 30YR UMBS MIRROR,MBS Pass-Through,Fixed Income,"292,047.87",0.25,"292,047.87","278,255.00",3132A5GA7,US3132A5GA75,-,104.71,United States,-,USD,3.74,2.03,1.0,"Dec 01, 2046",3.0,4.97,-,2.03,4.97,2.03,USD,"Sep 01, 2018","Sep 01, 2018"
BUILDERS FIRSTSOURCE INC 144A,Industrial,Fixed Income,"291,190.01",0.25,"291,190.01","275,000.00",12008RAP2,US12008RAP29,-,104.02,United States,-,USD,6.2,3.77,1.0,"Feb 01, 2032",4.25,8.05,-,3.64,6.36,3.64,USD,"Jul 23, 2021","Jul 23, 2021"
MASTEC INC. 144A,Industrial,Fixed Income,"290,842.75",0.25,"290,842.75","275,000.00",576323AP4,US576323AP42,BMXDBY0,104.06,United States,-,USD,3.21,3.8,1.0,"Aug 15, 2028",4.5,5.62,-,3.27,1.53,3.27,USD,"Aug 04, 2020","Aug 04, 2020"
FHLMC 15YR UMBS,MBS Pass-Through,Fixed Income,"286,514.06",0.25,"286,514.06","273,296.00",3132D54E9,US3132D54E92,-,104.59,United States,-,USD,2.88,1.52,1.0,"Dec 01, 2034",3.0,3.2,-,1.52,3.2,1.52,USD,"Nov 01, 2019","Nov 01, 2019"
FNMA 15YR UMBS SUPER,MBS Pass-Through,Fixed Income,"286,266.55",0.25,"286,266.55","275,969.00",3140X4Z33,US3140X4Z337,-,103.52,United States,-,USD,2.85,0.98,1.0,"Jan 01, 2033",2.5,2.39,-,0.98,2.39,0.98,USD,"Oct 01, 2019","Oct 01, 2019"
