,,,,,,,,,,,,,,,,,,,,,,,,,,iShares USD Bond Factor ETF
UMBS 15YR TBA(REG B),Securitized,Fixed Income,"256,326.11",1.28,"256,326.11","250,000.00",01F020414,US01F0204143,-,102.44,United States,-,USD,4.26,1.42,1.0,"Jan 18, 2022",2.0,4.35,-,1.42,4.35,1.42,USD,"Jan 01, 2022","Jan 01, 2022"
GNMA2 30YR TBA(REG C),Securitized,Fixed Income,"252,648.89",1.27,"252,648.89","250,000.00",21H020618,US21H0206183,-,100.95,United States,-,USD,5.86,1.83,1.0,"Jan 20, 2022",2.0,6.01,-,1.83,6.01,1.83,USD,"Jan 01, 2022","Jan 01, 2022"
TREASURY NOTE,Treasury,Fixed Income,"243,631.49",1.22,"243,631.49","260,000.00",912828ZQ6,US912828ZQ64,BMHCRF6,93.63,United States,-,USD,8.09,1.44,1.0,"May 15, 2030",0.63,8.1,-,1.44,8.1,1.44,USD,"May 15, 2020","May 15, 2020"
HSBC HOLDINGS PLC,Corporates,Fixed Income,"221,727.44",1.11,"221,727.44","200,000.00",404280AW9,US404280AW98,BZ57YZ3,109.51,United Kingdom,-,USD,3.82,1.92,1.0,"Mar 08, 2026",4.3,3.81,-,1.92,3.81,1.92,USD,"Mar 08, 2016","Mar 08, 2016"
TREASURY BOND,Treasury,Fixed Income,"221,406.56",1.11,"221,406.56","250,000.00",912810SP4,US912810SP49,BL6JZR9,88.05,United States,-,USD,22.87,1.92,1.0,"Aug 15, 2050",1.38,23.0,-,1.92,23.0,1.92,USD,"Aug 15, 2020","Aug 17, 2020"
UMBS 15YR TBA(REG B),Securitized,Fixed Income,"200,771.67",1.01,"200,771.67","200,000.00",01F012411,US01F0124119,-,100.32,United States,-,USD,4.66,1.41,1.0,"Jan 18, 2022",1.5,4.38,-,1.41,4.38,1.41,USD,"Jan 01, 2022","Jan 01, 2022"
GNMA2 30YR TBA(REG C),Securitized,Fixed Income,"184,611.19",0.93,"184,611.19","175,000.00",21H040616,US21H0406163,-,105.28,United States,-,USD,3.06,2.38,1.0,"Jan 20, 2022",4.0,3.37,-,2.38,3.37,2.38,USD,"Jan 01, 2022","Jan 01, 2022"
UMBS 15YR TBA(REG B),Securitized,Fixed Income,"183,227.92",0.92,"183,227.92","175,000.00",01F030413,US01F0304133,-,104.56,United States,-,USD,2.65,1.44,1.0,"Jan 18, 2022",3.0,3.0,-,1.44,3.0,1.44,USD,"Jan 01, 2022","Jan 01, 2022"
UMBS 15YR TBA(REG B),Securitized,Fixed Income,"181,266.85",0.91,"181,266.85","175,000.00",01F022410,US01F0224109,-,103.46,United States,-,USD,2.85,1.42,1.0,"Jan 18, 2022",2.5,3.33,-,1.42,3.33,1.42,USD,"Jan 01, 2022","Jan 01, 2022"
ORACLE CORPORATION,Corporates,Fixed Income,"166,358.93",0.83,"166,358.93","160,000.00",68389XBU8,US68389XBU81,-,103.25,United States,-,USD,4.79,2.14,1.0,"Apr 01, 2027",2.8,4.84,-,2.12,4.7,2.12,USD,"Apr 01, 2020","Apr 01, 2020"
TREASURY BOND,Treasury,Fixed Income,"162,455.40",0.81,"162,455.40","190,000.00",912810SN9,US912810SN90,BMHCRG7,85.34,United States,-,USD,23.13,1.92,1.0,"May 15, 2050",1.25,23.25,-,1.92,23.25,1.92,USD,"May 15, 2020","May 15, 2020"
TREASURY NOTE,Treasury,Fixed Income,"160,460.69",0.8,"160,460.69","150,000.00",9128286T2,US9128286T26,BK1WFV0,106.67,United States,-,USD,6.75,1.42,1.0,"May 15, 2029",2.38,6.76,-,1.42,6.76,1.42,USD,"May 15, 2019","May 15, 2019"
TREASURY BOND,Treasury,Fixed Income,"156,675.60",0.79,"156,675.60","160,000.00",912810TA6,US912810TA60,BLDBLR0,97.27,United States,-,USD,16.3,1.92,1.0,"Aug 15, 2041",1.75,16.38,-,1.92,16.38,1.92,USD,"Aug 15, 2021","Aug 31, 2021"
GNMA2 30YR TBA(REG C),Securitized,Fixed Income,"156,482.58",0.78,"156,482.58","150,000.00",21H032613,US21H0326130,-,104.14,United States,-,USD,3.39,2.35,1.0,"Jan 20, 2022",3.5,3.72,-,2.35,3.72,2.35,USD,"Jan 01, 2022","Jan 01, 2022"
UMBS 30YR TBA(REG A),Securitized,Fixed Income,"145,195.35",0.73,"145,195.35","150,000.00",01F012619,US01F0126197,-,96.75,United States,-,USD,7.55,1.93,1.0,"Jan 13, 2022",1.5,7.4,-,1.93,7.4,1.93,USD,"Jan 01, 2022","Jan 01, 2022"
GILEAD SCIENCES INC,Corporates,Fixed Income,"130,889.60",0.66,"130,889.60","120,000.00",375558BF9,US375558BF95,BYMYP46,107.86,United States,-,USD,3.68,1.69,1.0,"Mar 01, 2026",3.65,3.84,-,1.57,3.62,1.57,USD,"Sep 14, 2015","Sep 14, 2015"
CVS HEALTH CORP,Corporates,Fixed Income,"124,888.13",0.63,"124,888.13","110,000.00",126650CX6,US126650CX62,BF3V2P3,112.39,United States,-,USD,5.34,2.16,1.0,"Mar 25, 2028",4.3,5.47,-,2.09,5.27,2.09,USD,"Mar 09, 2018","Mar 09, 2018"
VODAFONE GROUP PLC,Corporates,Fixed Income,"124,536.71",0.62,"124,536.71","110,000.00",92857WBK5,US92857WBK53,BYWFV85,112.8,United Kingdom,-,USD,5.65,2.22,1.0,"May 30, 2028",4.38,5.64,-,2.22,5.64,2.22,USD,"May 30, 2018","May 30, 2018"
ANHEUSER-BUSCH INBEV WORLDWIDE INC,Corporates,Fixed Income,"118,639.31",0.59,"118,639.31","100,000.00",035240AQ3,US035240AQ30,BJ52100,116.52,Belgium,-,USD,5.86,2.21,1.0,"Jan 23, 2029",4.75,5.99,-,2.13,5.81,2.13,USD,"Jan 23, 2019","Jan 23, 2019"
TREASURY BOND,Treasury,Fixed Income,"113,076.70",0.57,"113,076.70","110,000.00",912810SL3,US912810SL35,BK8ZZ34,102.05,United States,-,USD,21.21,1.91,1.0,"Feb 15, 2050",2.0,21.36,-,1.91,21.36,1.91,USD,"Feb 15, 2020","Feb 18, 2020"
TREASURY BOND,Treasury,Fixed Income,"111,390.50",0.56,"111,390.50","100,000.00",912810RK6,US912810RK60,BVVT273,110.45,United States,-,USD,17.57,1.94,1.0,"Feb 15, 2045",2.5,17.69,-,1.94,17.69,1.94,USD,"Feb 15, 2015","Feb 17, 2015"
TREASURY BOND,Treasury,Fixed Income,"111,286.68",0.56,"111,286.68","100,000.00",912810RS9,US912810RS96,BYZ2TS9,110.97,United States,-,USD,18.38,1.93,1.0,"May 15, 2046",2.5,18.52,-,1.93,18.52,1.93,USD,"May 15, 2016","May 16, 2016"
VERIZON COMMUNICATIONS INC,Corporates,Fixed Income,"109,296.07",0.55,"109,296.07","95,000.00",92343VER1,US92343VER15,BGDQ891,113.85,United States,-,USD,5.86,2.11,1.0,"Sep 21, 2028",4.33,5.84,-,2.11,5.84,2.11,USD,"Jun 21, 2018","Oct 22, 2018"
TREASURY BOND,Treasury,Fixed Income,"106,984.75",0.54,"106,984.75","100,000.00",912810RT7,US912810RT79,BZ56WJ0,106.14,United States,-,USD,18.77,1.94,1.0,"Aug 15, 2046",2.25,18.9,-,1.94,18.9,1.94,USD,"Aug 15, 2016","Aug 15, 2016"
AMERICAN INTERNATIONAL GROUP INC,Corporates,Fixed Income,"103,210.00",0.52,"103,210.00","100,000.00",026874DQ7,US026874DQ70,-,103.21,United States,-,USD,3.31,1.55,1.0,"Jun 30, 2025",2.5,3.35,-,1.53,3.27,1.53,USD,"May 11, 2020","May 11, 2020"
TREASURY NOTE (2OLD),Treasury,Fixed Income,"101,612.49",0.51,"101,612.49","100,000.00",91282CCB5,US91282CCB54,BMHV4S5,101.41,United States,-,USD,8.65,1.46,1.0,"May 15, 2031",1.63,8.66,-,1.46,8.66,1.46,USD,"May 15, 2021","May 17, 2021"
KINDER MORGAN INC,Corporates,Fixed Income,"101,563.35",0.51,"101,563.35","90,000.00",49456BAP6,US49456BAP67,BDR5VP0,111.38,United States,-,USD,5.27,2.31,1.0,"Mar 01, 2028",4.3,5.39,-,2.24,5.2,2.24,USD,"Mar 01, 2018","Mar 01, 2018"
RAYTHEON TECHNOLOGIES CORPORATION,Corporates,Fixed Income,"101,313.00",0.51,"101,313.00","90,000.00",913017CY3,US913017CY37,BF7MTW8,112.02,United States,-,USD,5.89,2.23,1.0,"Nov 16, 2028",4.13,6.02,-,2.17,5.82,2.17,USD,"Aug 16, 2018","Aug 16, 2018"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"100,000.00",0.5,"100,000.00","100,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
UNION PACIFIC CORPORATION,Corporates,Fixed Income,"96,559.01",0.48,"96,559.01","85,000.00",907818EY0,US907818EY04,BDFT2W8,112.35,United States,-,USD,5.74,1.97,1.0,"Sep 10, 2028",3.95,5.88,-,1.9,5.68,1.9,USD,"Jun 08, 2018","Jun 08, 2018"
MPLX LP,Corporates,Fixed Income,"88,004.89",0.44,"88,004.89","80,000.00",55336VAR1,US55336VAR15,BF2PXS6,108.8,United States,-,USD,5.36,2.46,1.0,"Mar 15, 2028",4.0,5.46,-,2.41,5.27,2.41,USD,"Feb 08, 2018","Feb 08, 2018"
FOX CORP,Corporates,Fixed Income,"87,378.61",0.44,"87,378.61","75,000.00",35137LAH8,US35137LAH87,BJLV907,114.43,United States,-,USD,5.86,2.47,1.0,"Jan 25, 2029",4.71,5.99,-,2.4,5.81,2.4,USD,"Jan 25, 2020","Mar 30, 2020"
FHLMC 15YR UMBS SUPER,Securitized,Fixed Income,"87,301.47",0.44,"87,301.47","85,033.00",-,-,-,102.5,United States,-,USD,3.64,1.33,1.0,"Nov 01, 2035",2.0,3.89,-,1.33,3.89,1.33,USD,"Nov 01, 2020","Nov 01, 2020"
BAT CAPITAL CORP,Corporates,Fixed Income,"85,036.60",0.43,"85,036.60","80,000.00",05526DBB0,US05526DBB01,BG5QSC2,104.95,United Kingdom,-,USD,4.95,2.6,1.0,"Aug 15, 2027",3.56,5.03,-,2.56,4.82,2.56,USD,"Aug 15, 2018","Nov 20, 2018"
SEMPRA ENERGY,Corporates,Fixed Income,"81,053.25",0.41,"81,053.25","75,000.00",816851BG3,US816851BG34,BFWJFQ0,106.63,United States,-,USD,5.29,2.23,1.0,"Feb 01, 2028",3.4,5.43,-,2.17,5.16,2.17,USD,"Jan 12, 2018","Jan 12, 2018"
AT&T INC,Corporates,Fixed Income,"80,069.81",0.4,"80,069.81","70,000.00",00206RGQ9,US00206RGQ92,BG6F4D1,112.76,United States,-,USD,6.73,2.55,1.0,"Feb 15, 2030",4.3,6.84,-,2.5,6.66,2.5,USD,"Aug 15, 2018","Nov 23, 2018"
DUKE ENERGY CORP,Corporates,Fixed Income,"79,902.87",0.4,"79,902.87","80,000.00",26441CBH7,US26441CBH79,BM8RPH8,99.65,United States,-,USD,7.49,2.5,1.0,"Jun 01, 2030",2.45,7.55,-,2.5,7.55,2.5,USD,"May 15, 2020","May 15, 2020"
GSMS_20-GC45 A5,Securitized,Fixed Income,"79,186.69",0.4,"79,186.69","75,000.00",36258YBG2,US36258YBG26,-,105.34,United States,-,USD,6.82,2.15,1.0,"Feb 13, 2053",2.91,6.81,-,2.15,6.81,2.15,USD,"Jan 01, 2020","Jan 01, 2020"
MORGAN STANLEY,Corporates,Fixed Income,"77,112.13",0.39,"77,112.13","70,000.00",61746BEF9,US61746BEF94,BYM4WS9,108.54,United States,-,USD,4.58,1.85,1.0,"Jan 20, 2027",3.63,4.57,-,1.85,4.57,1.85,USD,"Jan 20, 2017","Jan 20, 2017"
TYSON FOODS INC,Corporates,Fixed Income,"76,917.87",0.39,"76,917.87","70,000.00",902494BJ1,US902494BJ16,BDFZ8H3,108.52,United States,-,USD,3.71,1.87,1.0,"Mar 01, 2026",4.0,3.81,-,1.78,3.67,1.78,USD,"Feb 19, 2019","Feb 19, 2019"
FISERV INC,Corporates,Fixed Income,"76,571.60",0.38,"76,571.60","70,000.00",337738AU2,US337738AU25,BKF0BQ7,107.64,United States,-,USD,6.41,2.38,1.0,"Jul 01, 2029",3.5,6.52,-,2.35,6.32,2.35,USD,"Jun 24, 2019","Jun 24, 2019"
CITIGROUP INC,Corporates,Fixed Income,"76,473.37",0.38,"76,473.37","70,000.00",172967JT9,US172967JT97,BYZRZP3,108.99,United States,-,USD,3.22,1.7,1.0,"Jun 10, 2025",4.4,3.21,-,1.7,3.21,1.7,USD,"Jun 10, 2015","Jun 10, 2015"
CONAGRA BRANDS INC,Corporates,Fixed Income,"75,408.94",0.38,"75,408.94","65,000.00",205887CC4,US205887CC49,BFWN1R5,115.17,United States,-,USD,5.73,2.43,1.0,"Nov 01, 2028",4.85,5.86,-,2.35,5.68,2.35,USD,"Oct 22, 2018","Oct 22, 2018"
T-MOBILE USA INC,Corporates,Fixed Income,"75,049.12",0.38,"75,049.12","68,000.00",87264ABF1,US87264ABF12,BN0ZLW4,109.52,United States,-,USD,6.99,2.59,1.0,"Apr 15, 2030",3.88,7.08,-,2.56,6.9,2.56,USD,"Apr 15, 2021","May 21, 2021"
BROADCOM INC,Corporates,Fixed Income,"74,766.11",0.37,"74,766.11","65,000.00",11135FBA8,US11135FBA84,BKXB3J9,114.02,United States,-,USD,6.07,2.62,1.0,"Apr 15, 2029",4.75,6.19,-,2.56,6.01,2.56,USD,"Apr 15, 2020","Aug 07, 2020"
DISCOVER FINANCIAL SERVICES,Corporates,Fixed Income,"71,866.85",0.36,"71,866.85","65,000.00",254709AM0,US254709AM01,BYNHPL1,108.91,United States,-,USD,4.44,2.24,1.0,"Feb 09, 2027",4.1,4.56,-,2.16,4.36,2.16,USD,"Feb 09, 2017","Feb 09, 2017"
GOLDMAN SACHS GROUP INC/THE,Corporates,Fixed Income,"71,053.87",0.36,"71,053.87","65,000.00",38141GWB6,US38141GWB66,BDFDPG5,107.66,United States,-,USD,3.95,2.24,1.0,"Jan 26, 2027",3.85,4.55,-,1.89,3.72,1.89,USD,"Jan 26, 2017","Jan 26, 2017"
WILLIAMS COMPANIES INC,Corporates,Fixed Income,"70,345.38",0.35,"70,345.38","65,000.00",96949LAD7,US96949LAD73,BF6Q7G1,108.06,United States,-,USD,4.82,2.18,1.0,"Jun 15, 2027",3.75,4.94,-,2.11,4.74,2.11,USD,"Jun 05, 2017","Jun 05, 2017"
ABBVIE INC,Corporates,Fixed Income,"70,056.93",0.35,"70,056.93","65,000.00",00287YCX5,US00287YCX58,-,106.66,United States,-,USD,2.83,1.66,1.0,"Mar 15, 2025",3.8,3.0,-,1.49,2.78,1.49,USD,"Sep 15, 2020","Nov 17, 2020"
CIGNA CORP,Corporates,Fixed Income,"68,847.04",0.34,"68,847.04","60,000.00",125523AH3,US125523AH38,BKPHS12,113.79,United States,-,USD,5.77,2.18,1.0,"Oct 15, 2028",4.38,5.9,-,2.11,5.7,2.11,USD,"Apr 15, 2019","Aug 27, 2019"
ANTHEM INC,Corporates,Fixed Income,"67,721.40",0.34,"67,721.40","60,000.00",036752AG8,US036752AG89,BF2PZ02,111.5,United States,-,USD,5.3,2.1,1.0,"Mar 01, 2028",4.1,5.43,-,2.03,5.23,2.03,USD,"Mar 02, 2018","Mar 02, 2018"
FS KKR CAPITAL CORP,Corporates,Fixed Income,"67,276.81",0.34,"67,276.81","65,000.00",302635AG2,US302635AG21,-,101.94,United States,-,USD,3.7,2.89,1.0,"Jan 15, 2026",3.4,3.7,-,2.88,3.63,2.88,USD,"Dec 10, 2020","Dec 10, 2020"
WALGREENS BOOTS ALLIANCE INC,Corporates,Fixed Income,"64,128.90",0.32,"64,128.90","60,000.00",931427AQ1,US931427AQ19,BYVG9S5,106.59,United States,-,USD,3.96,1.89,1.0,"Jun 01, 2026",3.45,4.1,-,1.8,3.88,1.8,USD,"Jun 01, 2016","Jun 01, 2016"
NISOURCE INC,Corporates,Fixed Income,"62,672.60",0.31,"62,672.60","60,000.00",65473PAH8,US65473PAH82,BK20BW6,103.47,United States,-,USD,6.71,2.45,1.0,"Sep 01, 2029",2.95,6.79,-,2.44,6.59,2.44,USD,"Aug 12, 2019","Aug 12, 2019"
WELLS FARGO & COMPANY MTN,Corporates,Fixed Income,"62,561.87",0.31,"62,561.87","55,000.00",95000U2D4,US95000U2D40,BJ2KZB6,111.94,United States,-,USD,5.96,2.31,1.0,"Jan 24, 2029",4.15,6.08,-,2.25,5.9,2.25,USD,"Jan 24, 2019","Jan 24, 2019"
ANHEUSER-BUSCH INBEV WORLDWIDE INC MTN,Corporates,Fixed Income,"61,682.32",0.31,"61,682.32","55,000.00",035240AL4,US035240AL43,BFYCQN1,111.28,Belgium,-,USD,5.43,2.07,1.0,"Apr 13, 2028",4.0,5.56,-,2.01,5.36,2.01,USD,"Apr 04, 2018","Apr 04, 2018"
TREASURY BOND,Treasury,Fixed Income,"59,492.06",0.3,"59,492.06","50,000.00",912810RN0,US912810RN00,BYSJ1Z8,117.91,United States,-,USD,17.42,1.93,1.0,"Aug 15, 2045",2.88,17.55,-,1.93,17.55,1.93,USD,"Aug 15, 2015","Aug 17, 2015"
WELLS FARGO & COMPANY MTN,Corporates,Fixed Income,"58,085.50",0.29,"58,085.50","55,000.00",94974BGH7,US94974BGH78,BVXL9F4,104.51,United States,-,USD,2.97,1.52,1.0,"Feb 19, 2025",3.0,2.96,-,1.52,2.96,1.52,USD,"Feb 19, 2015","Feb 19, 2015"
FEDEX CORP,Corporates,Fixed Income,"57,226.24",0.29,"57,226.24","50,000.00",31428XBZ8,US31428XBZ87,BKPSFX6,113.87,United States,-,USD,6.99,2.41,1.0,"May 15, 2030",4.25,7.11,-,2.36,6.93,2.36,USD,"Apr 07, 2020","Apr 07, 2020"
BAT CAPITAL CORP,Corporates,Fixed Income,"56,943.38",0.29,"56,943.38","50,000.00",05526DBN4,US05526DBN49,-,112.63,United Kingdom,-,USD,6.71,3.15,1.0,"Apr 02, 2030",4.91,6.8,-,3.11,6.63,3.11,USD,"Apr 02, 2020","Apr 02, 2020"
ABBVIE INC,Corporates,Fixed Income,"56,808.93",0.28,"56,808.93","50,000.00",00287YBF5,US00287YBF51,BGHCK77,113.06,United States,-,USD,5.87,2.19,1.0,"Nov 14, 2028",4.25,6.0,-,2.12,5.8,2.12,USD,"Sep 18, 2018","Sep 18, 2018"
BROADCOM INC,Corporates,Fixed Income,"55,188.61",0.28,"55,188.61","50,000.00",11135FBC4,US11135FBC41,-,109.39,United States,-,USD,2.99,1.75,1.0,"Apr 15, 2025",4.7,3.04,-,1.68,2.97,1.68,USD,"Apr 09, 2020","Aug 07, 2020"
CROWN CASTLE INTERNATIONAL CORP,Corporates,Fixed Income,"55,084.28",0.28,"55,084.28","50,000.00",22822VAK7,US22822VAK70,BFWK3V4,108.73,United States,-,USD,5.31,2.26,1.0,"Feb 15, 2028",3.8,5.42,-,2.21,5.22,2.21,USD,"Jan 16, 2018","Jan 16, 2018"
NEXTERA ENERGY CAPITAL HOLDINGS IN,Corporates,Fixed Income,"54,543.33",0.27,"54,543.33","50,000.00",65339KAT7,US65339KAT79,BZ3FXP2,108.5,United States,-,USD,4.72,1.87,1.0,"May 01, 2027",3.55,4.86,-,1.79,4.65,1.79,USD,"Apr 28, 2017","Apr 28, 2017"
CITIGROUP INC,Corporates,Fixed Income,"53,993.33",0.27,"53,993.33","50,000.00",172967KN0,US172967KN09,BDGKYT1,107.42,United States,-,USD,4.03,1.62,1.0,"May 01, 2026",3.4,4.02,-,1.62,4.02,1.62,USD,"May 02, 2016","May 02, 2016"
SYNCHRONY FINANCIAL,Corporates,Fixed Income,"53,952.58",0.27,"53,952.58","50,000.00",87165BAM5,US87165BAM54,BFNN1S5,107.58,United States,-,USD,5.18,2.56,1.0,"Dec 01, 2027",3.95,5.28,-,2.51,5.08,2.51,USD,"Dec 01, 2017","Dec 01, 2017"
BANK OF AMERICA CORP MTN,Corporates,Fixed Income,"53,853.53",0.27,"53,853.53","50,000.00",06051GFP9,US06051GFP90,BWX8CH5,106.94,United States,-,USD,3.1,1.78,1.0,"Apr 21, 2025",3.95,3.09,-,1.78,3.09,1.78,USD,"Apr 21, 2015","Apr 21, 2015"
GLOBAL PAYMENTS INC,Corporates,Fixed Income,"53,743.80",0.27,"53,743.80","55,000.00",37940XAE2,US37940XAE22,-,97.32,United States,-,USD,4.02,1.87,1.0,"Mar 01, 2026",1.2,4.02,-,1.87,4.02,1.87,USD,"Feb 26, 2021","Feb 26, 2021"
TREASURY BOND,Treasury,Fixed Income,"52,814.96",0.26,"52,814.96","50,000.00",912810SY5,US912810SY55,BMCXZ94,105.34,United States,-,USD,15.64,1.92,1.0,"May 15, 2041",2.25,15.73,-,1.92,15.73,1.92,USD,"May 15, 2021","Jun 01, 2021"
FHMS_K043 A2,Securitized,Fixed Income,"52,641.13",0.26,"52,641.13","50,000.00",3137BGK24,US3137BGK246,-,105.03,United States,-,USD,2.54,1.06,1.0,"Dec 25, 2024",3.06,2.54,-,1.06,2.54,1.06,USD,"Mar 01, 2015","Mar 01, 2015"
COMM_19-G44 ASB,Securitized,Fixed Income,"52,331.01",0.26,"52,331.01","50,000.00",12655TBJ7,US12655TBJ79,-,104.42,United States,-,USD,4.83,1.97,1.0,"Aug 15, 2057",2.87,4.82,-,1.97,4.82,1.97,USD,"Dec 01, 2019","Dec 01, 2019"
WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Corporates,Fixed Income,"51,844.84",0.26,"51,844.84","45,000.00",960386AM2,US960386AM29,BGKCBF9,113.71,United States,-,USD,5.59,2.7,1.0,"Sep 15, 2028",4.95,5.71,-,2.63,5.52,2.63,USD,"Sep 14, 2018","Sep 14, 2018"
CARRIER GLOBAL CORP,Corporates,Fixed Income,"51,657.99",0.26,"51,657.99","50,000.00",14448CAN4,US14448CAN48,-,102.47,United States,-,USD,2.97,1.43,1.0,"Feb 15, 2025",2.24,2.99,-,1.41,2.91,1.41,USD,"Aug 15, 2020","Dec 08, 2020"
FHLMC_13-K033 A2,Securitized,Fixed Income,"51,522.45",0.26,"51,522.45","50,000.00",3137B4WB8,US3137B4WB80,BH7R637,102.79,United States,-,USD,1.31,0.81,1.0,"Jul 25, 2023",3.06,1.31,-,0.81,1.31,0.81,USD,"Oct 01, 2013","Oct 01, 2013"
KEURIG DR PEPPER INC,Corporates,Fixed Income,"51,487.96",0.26,"51,487.96","45,000.00",49271VAF7,US49271VAF76,BK1VSD0,113.96,United States,-,USD,5.46,2.24,1.0,"May 25, 2028",4.6,5.59,-,2.16,5.4,2.16,USD,"May 25, 2019","May 31, 2019"
CDW LLC,Corporates,Fixed Income,"51,325.38",0.26,"51,325.38","50,000.00",12513GBG3,US12513GBG38,-,102.41,United States,-,USD,4.57,2.15,1.0,"Dec 01, 2026",2.67,4.59,-,2.14,4.51,2.14,USD,"Dec 01, 2021","Dec 01, 2021"
BOEING CO,Corporates,Fixed Income,"51,206.85",0.26,"51,206.85","45,000.00",097023CU7,US097023CU76,-,112.95,United States,-,USD,4.61,2.43,1.0,"May 01, 2027",5.04,4.69,-,2.36,4.56,2.36,USD,"May 04, 2020","May 04, 2020"
BOSTON PROPERTIES LP,Corporates,Fixed Income,"51,184.35",0.26,"51,184.35","45,000.00",10112RBA1,US10112RBA14,BGL9BF9,113.37,United States,-,USD,5.87,2.39,1.0,"Dec 01, 2028",4.5,5.99,-,2.32,5.81,2.32,USD,"Nov 28, 2018","Nov 28, 2018"
DEUTSCHE TELEKOM INTERNATIONAL FIN,Corporates,Fixed Income,"51,065.20",0.26,"51,065.20","35,000.00",25156PAC7,US25156PAC77,4081788,145.54,Germany,-,USD,6.51,2.69,1.0,"Jun 15, 2030",8.75,6.48,-,2.69,6.48,2.69,USD,"Jul 06, 2000","Jul 06, 2000"
FNMA 30YR 2.5% LB200K 2021,Securitized,Fixed Income,"50,891.61",0.26,"50,891.61","49,369.00",3140XDGG5,-,-,102.88,United States,-,USD,5.87,2.0,1.0,"Nov 01, 2051",2.5,5.92,-,2.0,5.92,2.0,USD,"Oct 01, 2021","Oct 01, 2021"
SABINE PASS LIQUEFACTION LLC,Corporates,Fixed Income,"50,827.05",0.25,"50,827.05","45,000.00",785592AM8,US785592AM87,BYVXVW4,111.07,United States,-,USD,2.69,2.0,1.0,"Mar 01, 2025",5.63,2.88,-,1.71,2.67,1.71,USD,"Sep 01, 2015","Jan 13, 2016"
L3HARRIS TECHNOLOGIES INC,Corporates,Fixed Income,"50,670.70",0.25,"50,670.70","45,000.00",502431AM1,US502431AM16,BMBM688,112.41,United States,-,USD,5.54,2.32,1.0,"Jun 15, 2028",4.4,5.67,-,2.25,5.47,2.25,USD,"Dec 15, 2019","May 01, 2020"
