,,,,,,,,,,,,,,,,,,,,,,,,,,iShares ESG Advanced High Yield Corporate Bond ETF
DIAMOND SPORTS GROUP LLC/DIAMOND S 144A,Communications,Fixed Income,"389,201.67",0.27,"389,201.67","750,000.00",25277LAA4,US25277LAA44,BKKGCH8,49.86,United States,-,USD,3.74,23.84,1.0,"Aug 15, 2026",5.38,3.36,-,23.84,3.36,23.84,USD,"Aug 02, 2019","Aug 02, 2019"
IRON MOUNTAIN INC 144A,Technology,Fixed Income,"388,356.60",0.27,"388,356.60","360,000.00",46284VAJ0,US46284VAJ08,-,105.46,United States,-,USD,4.92,4.47,1.0,"Jul 15, 2030",5.25,6.73,-,4.27,3.15,4.27,USD,"Jun 22, 2020","Jun 22, 2020"
CENTENE CORPORATION,Insurance,Fixed Income,"388,041.42",0.27,"388,041.42","395,000.00",15135BAX9,US15135BAX91,BKP8G66,97.41,United States,-,USD,8.04,2.82,1.0,"Mar 01, 2031",2.5,8.05,-,2.82,8.05,2.82,USD,"Feb 17, 2021","Feb 17, 2021"
PRIME SECURITY SERVICES BORROWER L 144A,Consumer Cyclical,Fixed Income,"386,247.40",0.27,"386,247.40","360,000.00",74166MAE6,US74166MAE66,BKVKXB0,104.41,United States,-,USD,2.59,5.38,1.0,"Jan 15, 2028",6.25,4.88,-,4.68,2.68,4.68,USD,"Jan 28, 2020","Jan 28, 2020"
ZAYO GROUP HOLDINGS INC 144A,Communications,Fixed Income,"384,508.48",0.27,"384,508.48","385,000.00",98919VAA3,US98919VAA35,BLBQFB9,98.54,United States,-,USD,3.22,4.32,1.0,"Mar 01, 2027",4.0,4.55,-,4.32,4.55,4.32,USD,"Mar 09, 2020","Mar 09, 2020"
PRIME SECURITY SERVICES BORROWER L 144A,Consumer Cyclical,Fixed Income,"381,654.19",0.26,"381,654.19","350,000.00",74166MAC0,US74166MAC01,BJTRRK3,107.35,United States,-,USD,3.8,3.87,1.0,"Apr 15, 2026",5.75,3.75,-,3.87,3.75,3.87,USD,"Apr 04, 2019","Apr 04, 2019"
CENTENE CORPORATION,Insurance,Fixed Income,"381,326.20",0.26,"381,326.20","380,000.00",15135BAY7,US15135BAY74,BP2Q6N5,99.12,United States,-,USD,5.92,2.6,1.0,"Jul 15, 2028",2.45,5.93,-,2.6,5.93,2.6,USD,"Jul 01, 2021","Jul 01, 2021"
WESCO DISTRIBUTION INC 144A,Capital Goods,Fixed Income,"380,446.07",0.26,"380,446.07","345,000.00",95081QAP9,US95081QAP90,-,109.95,United States,-,USD,1.54,5.4,1.0,"Jun 15, 2028",7.25,5.18,-,2.69,1.39,2.69,USD,"Jun 12, 2020","Jun 12, 2020"
SBA COMMUNICATIONS CORP 144A,Communications,Fixed Income,"380,379.03",0.26,"380,379.03","390,000.00",78410GAE4,US78410GAE44,-,96.23,United States,-,USD,5.51,3.74,1.0,"Feb 01, 2029",3.13,6.19,-,3.74,6.19,3.74,USD,"Jan 29, 2021","Jan 29, 2021"
DAVITA INC 144A,Consumer Non-Cyclical,Fixed Income,"379,885.92",0.26,"379,885.92","385,000.00",23918KAT5,US23918KAT51,BMFBJQ0,97.25,United States,-,USD,6.6,4.11,1.0,"Feb 15, 2031",3.75,7.52,-,4.11,7.52,4.11,USD,"Aug 11, 2020","Aug 11, 2020"
CSC HOLDINGS LLC 144A,Communications,Fixed Income,"379,805.67",0.26,"379,805.67","400,000.00",126307BD8,US126307BD80,BM9M1M9,94.57,United States,-,USD,6.67,5.4,1.0,"Dec 01, 2030",4.63,7.13,-,5.4,7.13,5.4,USD,"Jun 16, 2020","Jun 16, 2020"
SIRIUS XM RADIO INC 144A,Communications,Fixed Income,"378,963.08",0.26,"378,963.08","380,000.00",82967NBM9,US82967NBM92,-,98.27,United States,-,USD,6.84,4.09,1.0,"Sep 01, 2031",3.88,7.86,-,4.09,7.86,4.09,USD,"Aug 16, 2021","Aug 16, 2021"
SPRINGLEAF FINANCE CORP,Finance Companies,Fixed Income,"377,455.65",0.26,"377,455.65","350,000.00",85172FAP4,US85172FAP45,BJJDP63,106.04,United States,-,USD,1.62,3.26,1.0,"Mar 15, 2024",6.13,2.03,-,2.48,1.6,2.48,USD,"Feb 22, 2019","Feb 22, 2019"
CENTENE CORPORATION,Insurance,Fixed Income,"372,294.00",0.26,"372,294.00","360,000.00",15135BAV3,US15135BAV36,BMVX1F3,102.14,United States,-,USD,5.19,3.07,1.0,"Feb 15, 2030",3.38,6.99,-,2.99,5.44,2.99,USD,"Feb 13, 2020","May 06, 2020"
SIRIUS XM RADIO INC 144A,Communications,Fixed Income,"370,473.15",0.26,"370,473.15","335,000.00",82967NBC1,US82967NBC11,BJYHK54,107.84,United States,-,USD,3.45,4.27,1.0,"Jul 01, 2029",5.5,6.02,-,3.27,2.28,3.27,USD,"Jun 07, 2019","Jun 07, 2019"
ARAMARK SERVICES INC 144A,Consumer Non-Cyclical,Fixed Income,"369,535.25",0.26,"369,535.25","350,000.00",038522AR9,US038522AR99,-,104.52,United States,-,USD,0.34,4.89,1.0,"May 01, 2025",6.38,2.96,-,2.26,0.33,2.26,USD,"Apr 27, 2020","Apr 27, 2020"
LIBERTY MUTUAL GROUP INC 144A,Insurance,Fixed Income,"368,963.47",0.26,"368,963.47","385,000.00",53079EBL7,US53079EBL74,BMFZ713,94.04,United States,-,USD,11.11,4.63,1.0,"Feb 01, 2061",4.3,17.9,-,4.63,17.9,4.63,USD,"Feb 01, 2021","Feb 01, 2021"
HCA INC,Consumer Non-Cyclical,Fixed Income,"368,050.60",0.26,"368,050.60","310,000.00",404121AJ4,US404121AJ49,BYZLW98,116.85,United States,-,USD,5.3,2.83,1.0,"Sep 01, 2028",5.63,5.57,-,2.64,5.22,2.64,USD,"Aug 23, 2018","Aug 23, 2018"
TELECOM ITALIA CAPITAL SA,Communications,Fixed Income,"358,252.35",0.25,"358,252.35","335,000.00",87927VAM0,US87927VAM00,B80LG33,105.44,Italy,-,USD,8.94,5.4,1.0,"Sep 30, 2034",6.0,8.83,-,5.4,8.83,5.4,USD,"Sep 30, 2005","Sep 30, 2005"
IHEARTCOMMUNICATIONS INC,Communications,Fixed Income,"358,201.54",0.25,"358,201.54","335,000.00",45174HBD8,US45174HBD89,BK0NK86,105.53,United States,-,USD,0.41,7.11,1.0,"May 01, 2027",8.38,4.23,-,4.07,0.33,4.07,USD,"May 01, 2019","May 01, 2019"
MPT OPERATING PARTNERSHIP LP,Reits,Fixed Income,"357,925.94",0.25,"357,925.94","350,000.00",55342UAM6,US55342UAM62,-,101.23,United States,-,USD,6.18,3.34,1.0,"Mar 15, 2031",3.5,7.75,-,3.28,5.49,3.28,USD,"Dec 04, 2020","Dec 04, 2020"
POST HOLDINGS INC 144A,Consumer Non-Cyclical,Fixed Income,"357,814.11",0.25,"357,814.11","340,000.00",737446AP9,US737446AP91,BJ7HPV2,105.0,United States,-,USD,4.61,4.74,1.0,"Dec 15, 2029",5.5,6.42,-,4.53,4.31,4.53,USD,"Jul 03, 2019","Jul 03, 2019"
WESCO DISTRIBUTION INC 144A,Capital Goods,Fixed Income,"356,160.83",0.25,"356,160.83","335,000.00",95081QAN4,US95081QAN43,-,106.0,United States,-,USD,0.45,5.2,1.0,"Jun 15, 2025",7.13,3.05,-,1.67,0.45,1.67,USD,"Jun 12, 2020","Jun 12, 2020"
VICI PROPERTIES LP 144A,Consumer Cyclical,Fixed Income,"355,256.37",0.25,"355,256.37","340,000.00",92564RAA3,US92564RAA32,-,104.13,United States,-,USD,1.73,3.31,1.0,"Dec 01, 2026",4.25,4.44,-,1.98,0.9,1.98,USD,"Nov 26, 2019","Nov 26, 2019"
BALL CORPORATION,Capital Goods,Fixed Income,"354,226.00",0.25,"354,226.00","360,000.00",058498AW6,US058498AW66,BKY44N8,97.31,United States,-,USD,7.46,3.23,1.0,"Aug 15, 2030",2.88,7.48,-,3.23,7.48,3.23,USD,"Aug 13, 2020","Aug 13, 2020"
ROYAL CARIBBEAN CRUISES LTD 144A,Consumer Cyclical,Fixed Income,"353,028.09",0.24,"353,028.09","330,000.00",780153BC5,US780153BC56,-,106.6,United States,-,USD,1.16,4.4,1.0,"Jun 15, 2023",9.13,1.37,-,3.51,1.15,3.51,USD,"Jun 09, 2020","Jun 09, 2020"
DRESDNER FUNDING TRUST I 144A,Banking,Fixed Income,"352,907.50",0.24,"352,907.50","250,000.00",26156FAA1,US26156FAA12,2423780,141.16,Germany,-,USD,6.03,3.11,1.0,"Jun 30, 2031",8.15,7.16,-,2.17,6.0,2.17,USD,"May 25, 1999","May 25, 1999"
BALL CORP,Capital Goods,Fixed Income,"349,614.90",0.24,"349,614.90","310,000.00",058498AT3,US058498AT38,BYR7K23,110.15,United States,-,USD,3.16,2.22,1.0,"Jul 01, 2025",5.25,3.15,-,2.22,3.15,2.22,USD,"Jun 25, 2015","Jun 25, 2015"
COMMSCOPE INC 144A,Technology,Fixed Income,"349,174.12",0.24,"349,174.12","345,000.00",203372AX5,US203372AX50,-,99.52,United States,-,USD,5.26,4.82,1.0,"Sep 01, 2029",4.75,6.25,-,4.82,6.25,4.82,USD,"Aug 23, 2021","Aug 23, 2021"
GRAY ESCROW II INC 144A,Communications,Fixed Income,"347,064.65",0.24,"347,064.65","335,000.00",389286AA3,US389286AA34,-,102.83,United States,-,USD,6.35,5.01,1.0,"Nov 15, 2031",5.38,7.58,-,4.94,6.34,4.94,USD,"Nov 09, 2021","Nov 09, 2021"
MPH ACQUISITION HOLDINGS LLC 144A,Consumer Non-Cyclical,Fixed Income,"345,651.60",0.24,"345,651.60","360,000.00",553283AC6,US553283AC69,-,95.06,United States,-,USD,5.22,6.66,1.0,"Nov 01, 2028",5.75,5.48,-,6.66,5.48,6.66,USD,"Oct 29, 2020","Oct 29, 2020"
MPT OPERATING PARTNERSHIP LP / MPT,Reits,Fixed Income,"343,712.06",0.24,"343,712.06","325,000.00",55342UAH7,US55342UAH77,BF2PPR9,104.7,United States,-,USD,0.96,4.08,1.0,"Oct 15, 2027",5.0,4.97,-,1.71,0.66,1.71,USD,"Sep 21, 2017","Sep 21, 2017"
TELECOM ITALIA SPA 144A,Communications,Fixed Income,"343,362.23",0.24,"343,362.23","325,000.00",87927YAA0,US87927YAA01,BMV1726,105.21,Italy,-,USD,2.28,3.05,1.0,"May 30, 2024",5.3,2.26,-,3.05,2.26,3.05,USD,"May 30, 2014","May 30, 2014"
SELECT MEDICAL CORPORATION 144A,Consumer Non-Cyclical,Fixed Income,"340,855.55",0.24,"340,855.55","315,000.00",816196AT6,US816196AT67,BKPHQM9,105.85,United States,-,USD,0.62,4.82,1.0,"Aug 15, 2026",6.25,3.92,-,1.77,0.6,1.77,USD,"Aug 01, 2019","Aug 01, 2019"
MICHAELS COMPANIES INC 144A,Consumer Cyclical,Fixed Income,"334,666.67",0.23,"334,666.67","335,000.00",55916AAB0,US55916AAB08,-,98.59,United States,-,USD,5.25,8.13,1.0,"May 01, 2029",7.88,5.4,-,8.13,5.4,8.13,USD,"Apr 15, 2021","Apr 15, 2021"
HAWAIIANMILES LOYALTY LTD 144A,Transportation,Fixed Income,"333,915.84",0.23,"333,915.84","315,000.00",41984LAA5,US41984LAA52,-,104.87,United States,-,USD,2.98,4.45,1.0,"Jan 20, 2026",5.75,3.58,-,4.07,2.77,4.07,USD,"Feb 04, 2021","Feb 04, 2021"
H&E EQUIPMENT SERVICES INC 144A,Capital Goods,Fixed Income,"333,757.89",0.23,"333,757.89","335,000.00",404030AJ7,US404030AJ72,-,99.46,United States,-,USD,4.89,3.96,1.0,"Dec 15, 2028",3.88,6.03,-,3.96,6.03,3.96,USD,"Dec 14, 2020","Dec 14, 2020"
HERC HOLDINGS INC 144A,Capital Goods,Fixed Income,"330,559.54",0.23,"330,559.54","310,000.00",42704LAA2,US42704LAA26,BHWTW85,104.1,United States,-,USD,1.17,4.65,1.0,"Jul 15, 2027",5.5,4.64,-,2.88,0.52,2.88,USD,"Jul 09, 2019","Jul 09, 2019"
