,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2028 Term Muni Bond ETF
FRISCO TEX INDPT SCH DIST,Municipals,Fixed Income,"384,712.83",0.5,"384,712.83","300,000.00",35880CZH0,US35880CZH05,-,126.35,United States,-,USD,5.72,0.89,1.0,"Aug 15, 2028",5.0,5.73,-,0.89,5.73,0.89,USD,"May 01, 2019","May 01, 2019"
ALABAMA ST PUB SCH & COLLEGE A,Government Related,Fixed Income,"383,959.30",0.5,"383,959.30","300,000.00",010609FG5,US010609FG50,-,127.15,United States,-,USD,5.93,0.89,1.0,"Nov 01, 2028",5.0,5.94,-,0.89,5.94,0.89,USD,"Nov 04, 2020","Nov 04, 2020"
FLORIDA ST DEPT TRANSN FING CO,Municipals,Fixed Income,"382,605.03",0.49,"382,605.03","300,000.00",34160KAP5,US34160KAP57,-,125.04,United States,-,USD,6.63,2.3,1.0,"Jul 01, 2032",5.0,8.31,-,1.01,5.6,1.01,USD,"Sep 20, 2018","Sep 20, 2018"
ILLINOIS ST,Government Related,Fixed Income,"380,270.00",0.49,"380,270.00","310,000.00",452152X22,US452152X225,-,121.83,United States,-,USD,5.83,1.81,1.0,"May 01, 2029",5.0,6.25,-,1.39,5.52,1.39,USD,"May 09, 2018","May 09, 2018"
HILLSBOROUGH CNTY FLA SCH BRD,Government Related,Fixed Income,"375,068.04",0.48,"375,068.04","310,000.00",43232VTL5,US43232VTL52,-,118.49,United States,-,USD,4.54,1.96,1.0,"Jul 01, 2028",5.0,5.54,-,0.81,4.03,0.81,USD,"Mar 31, 2016","Mar 31, 2016"
NEW JERSEY ST,Government Related,Fixed Income,"373,919.30",0.48,"373,919.30","300,000.00",646039YM3,US646039YM35,-,124.22,United States,-,USD,5.63,1.08,1.0,"Jun 01, 2028",5.0,5.62,-,1.08,5.62,1.08,USD,"Nov 24, 2020","Nov 24, 2020"
KILLEEN TEX INDPT SCH DIST,Government Related,Fixed Income,"353,285.66",0.46,"353,285.66","280,000.00",494152UR0,US494152UR06,-,124.28,United States,-,USD,5.89,1.78,1.0,"Feb 15, 2030",5.0,6.78,-,0.91,5.34,0.91,USD,"Aug 21, 2018","Aug 01, 2018"
METROPOLITAN TRANSN AUTH N Y R,Government Related,Fixed Income,"352,957.72",0.46,"352,957.72","290,000.00",59261APZ4,US59261APZ48,-,121.07,United States,-,USD,6.03,2.08,1.0,"Nov 15, 2029",5.0,6.64,-,1.52,5.56,1.52,USD,"Dec 14, 2017","Dec 14, 2017"
VIRGINIA ST PUB BLDG AUTH PUB,Government Related,Fixed Income,"352,857.93",0.45,"352,857.93","275,000.00",9281723L7,US9281723L71,-,126.23,United States,-,USD,5.68,0.89,1.0,"Aug 01, 2028",5.0,5.69,-,0.89,5.69,0.89,USD,"Apr 02, 2019","Apr 02, 2019"
PENNSYLVANIA ST,Government Related,Fixed Income,"351,126.16",0.45,"351,126.16","285,000.00",70914PK35,US70914PK350,-,120.7,United States,-,USD,4.73,1.39,1.0,"Jan 01, 2028",5.0,5.19,-,0.77,4.43,0.77,USD,"Nov 16, 2017","Nov 16, 2017"
MONTGOMERY CNTY MD,Government Related,Fixed Income,"340,171.45",0.44,"340,171.45","265,000.00",61334PAK9,US61334PAK93,-,127.53,United States,-,USD,5.93,0.84,1.0,"Nov 01, 2028",5.0,5.94,-,0.84,5.94,0.84,USD,"Nov 08, 2018","Nov 08, 2018"
MASSACHUSETTS ST,Government Related,Fixed Income,"335,938.01",0.43,"335,938.01","265,000.00",57582RSA5,US57582RSA58,-,124.27,United States,-,USD,5.76,1.74,1.0,"Jan 01, 2030",5.0,6.66,-,0.84,5.22,0.84,USD,"Jan 17, 2018","Jan 17, 2018"
MASSACHUSETTS BAY TRANSN AUTH,Corporates,Fixed Income,"325,961.35",0.42,"325,961.35","250,000.00",575579LH8,US575579LH83,-,127.76,United States,-,USD,5.57,0.85,1.0,"Jul 01, 2028",5.25,5.58,-,0.85,5.58,0.85,USD,"Mar 02, 2006","Mar 02, 2006"
CALIFORNIA ST,Government Related,Fixed Income,"321,113.38",0.41,"321,113.38","250,000.00",13063DKB3,US13063DKB37,-,127.2,United States,-,USD,5.85,0.85,1.0,"Oct 01, 2028",5.0,5.86,-,0.85,5.86,0.85,USD,"Oct 25, 2018","Oct 25, 2018"
CLARK CNTY NEV HWY IMPT REV,Government Related,Fixed Income,"319,376.78",0.41,"319,376.78","250,000.00",181000PG9,US181000PG94,-,125.25,United States,-,USD,5.6,0.98,1.0,"Jul 01, 2028",5.0,5.6,-,0.98,5.6,0.98,USD,"Nov 09, 2016","Nov 09, 2016"
DISTRICT COLUMBIA REV,Government Related,Fixed Income,"318,797.67",0.41,"318,797.67","250,000.00",25483VWQ3,US25483VWQ30,-,127.1,United States,-,USD,6.01,0.94,1.0,"Dec 01, 2028",5.0,6.02,-,0.94,6.02,0.94,USD,"Feb 13, 2020","Feb 13, 2020"
LEWISVILLE TEX INDPT SCH DIST,Government Related,Fixed Income,"318,750.82",0.41,"318,750.82","250,000.00",52882PDP0,US52882PDP09,-,125.61,United States,-,USD,6.76,2.27,1.0,"Aug 15, 2032",5.0,8.43,-,0.99,5.72,0.99,USD,"Aug 01, 2019","Aug 01, 2019"
GEORGIA ST,Government Related,Fixed Income,"315,927.08",0.41,"315,927.08","260,000.00",3733846X9,US3733846X91,-,121.09,United States,-,USD,4.98,1.75,1.0,"Dec 01, 2028",5.0,5.97,-,0.64,4.44,0.64,USD,"Nov 17, 2016","Nov 17, 2016"
MICHIGAN ST BLDG AUTH REV,Government Related,Fixed Income,"315,697.91",0.41,"315,697.91","250,000.00",594615HF6,US594615HF62,-,125.22,United States,-,USD,5.51,0.87,1.0,"Apr 15, 2028",5.0,5.51,-,0.87,5.51,0.87,USD,"Sep 17, 2020","Sep 17, 2020"
FORSYTH CNTY GA SCH DIST,Municipals,Fixed Income,"314,930.56",0.41,"314,930.56","250,000.00",346604KF7,US346604KF73,-,123.89,United States,-,USD,5.85,1.81,1.0,"Feb 01, 2030",5.0,6.73,-,0.95,5.3,0.95,USD,"Aug 09, 2018","Aug 09, 2018"
OHIO ST,Government Related,Fixed Income,"310,046.73",0.4,"310,046.73","260,000.00",677522KX1,US677522KX11,-,118.42,United States,-,USD,4.46,1.9,1.0,"May 01, 2028",5.0,5.5,-,0.68,3.95,0.68,USD,"Apr 21, 2016","Apr 21, 2016"
COAST CMNTY COLLEGE DIST CALIF,Municipals,Fixed Income,"305,538.98",0.39,"305,538.98","330,000.00",190335DG1,US190335DG12,-,92.59,United States,-,USD,6.56,1.17,1.0,"Aug 01, 2028",0.0,6.51,-,1.17,6.51,1.17,USD,"Jul 19, 2006","Jul 19, 2006"
CALIFORNIA ST FOR PREVIOUS ISS,Government Related,Fixed Income,"304,399.38",0.39,"304,399.38","250,000.00",13063C4Q0,US13063C4Q06,-,119.68,United States,-,USD,4.63,1.82,1.0,"Aug 01, 2028",5.0,5.63,-,0.64,4.11,0.64,USD,"Nov 03, 2016","Nov 03, 2016"
HONOLULU HAWAII CITY & CNTY,Government Related,Fixed Income,"303,804.29",0.39,"303,804.29","250,000.00",438687HX6,US438687HX63,-,119.86,United States,-,USD,5.82,0.89,1.0,"Aug 01, 2028",4.0,5.82,-,0.89,5.82,0.89,USD,"Aug 21, 2019","Aug 21, 2019"
UNIVERSITY WASH UNIV REVS,Municipals,Fixed Income,"303,408.14",0.39,"303,408.14","240,000.00",91523NUW4,US91523NUW46,-,125.17,United States,-,USD,5.47,0.86,1.0,"Apr 01, 2028",5.0,5.47,-,0.86,5.47,0.86,USD,"Feb 09, 2021","Feb 09, 2021"
BLACKROCK LIQ MUNICASH CL INS MMF,Cash and/or Derivatives,Money Market,"302,207.37",0.39,"302,207.37","302,177.00",09248U841,US09248U8412,B0BW5H6,1.0,United States,-,USD,0.04,0.13,1.0,-,0.1,0.04,-,0.13,0.04,0.13,USD,-,"Feb 23, 1984"
AUSTIN TEX,Government Related,Fixed Income,"302,032.52",0.39,"302,032.52","235,000.00",052397PA8,US052397PA86,-,126.86,United States,-,USD,5.77,0.85,1.0,"Sep 01, 2028",5.0,5.77,-,0.85,5.77,0.85,USD,"Oct 02, 2019","Oct 02, 2019"
PENNSYLVANIA ST,Government Related,Fixed Income,"301,813.53",0.39,"301,813.53","250,000.00",70914PE40,US70914PE403,-,119.25,United States,-,USD,4.77,1.93,1.0,"Sep 15, 2028",5.0,5.75,-,0.82,4.23,0.82,USD,"Aug 19, 2016","Aug 19, 2016"
WEST VIRGINIA ST,Government Related,Fixed Income,"294,883.28",0.38,"294,883.28","235,000.00",956553A50,US956553A504,-,125.07,United States,-,USD,6.45,2.06,1.0,"Jun 01, 2031",5.0,7.74,-,0.96,5.63,0.96,USD,"Jun 07, 2018","Jun 07, 2018"
CALIFORNIA ST,Government Related,Fixed Income,"293,988.38",0.38,"293,988.38","230,000.00",13063DHN1,US13063DHN12,-,125.74,United States,-,USD,5.97,1.41,1.0,"Aug 01, 2029",5.0,6.4,-,0.96,5.68,0.96,USD,"Sep 18, 2018","Sep 18, 2018"
MIAMI-DADE CNTY FLA WTR & SWR,Government Related,Fixed Income,"292,445.21",0.38,"292,445.21","235,000.00",59334DKA1,US59334DKA18,-,123.19,United States,-,USD,5.37,1.39,1.0,"Oct 01, 2028",5.0,5.82,-,0.86,5.08,0.86,USD,"Dec 19, 2017","Dec 19, 2017"
NORTH CAROLINA ST,Government Related,Fixed Income,"291,385.52",0.38,"291,385.52","230,000.00",6582563N0,US6582563N01,-,126.27,United States,-,USD,5.63,0.79,1.0,"Jun 01, 2028",5.0,5.64,-,0.79,5.64,0.79,USD,"Aug 01, 2018","Aug 01, 2018"
NORTH ORANGE CNTY CALIF CMNTY,Government Related,Fixed Income,"290,129.99",0.37,"290,129.99","315,000.00",661334CL4,US661334CL41,-,92.1,United States,-,USD,6.56,1.25,1.0,"Aug 01, 2028",0.0,6.5,-,1.25,6.5,1.25,USD,"Dec 23, 2003","Dec 23, 2003"
NEW YORK ST TWY AUTH GEN REV,Government Related,Fixed Income,"289,449.55",0.37,"289,449.55","230,000.00",650009P72,US650009P728,-,123.35,United States,-,USD,5.77,1.85,1.0,"Jan 01, 2030",5.0,6.65,-,0.98,5.22,0.98,USD,"Mar 08, 2018","Mar 08, 2018"
UNIVERSITY ALA GEN REV,Municipals,Fixed Income,"288,890.37",0.37,"288,890.37","225,000.00",914026VN6,US914026VN67,-,125.9,United States,-,USD,5.6,0.89,1.0,"Jul 01, 2028",5.0,5.61,-,0.89,5.61,0.89,USD,"Sep 19, 2019","Sep 19, 2019"
HAWAII ST,Government Related,Fixed Income,"288,777.58",0.37,"288,777.58","230,000.00",419792WM4,US419792WM44,-,123.06,United States,-,USD,6.25,2.39,1.0,"Jan 01, 2032",5.0,7.97,-,1.03,5.21,1.03,USD,"Feb 14, 2018","Feb 14, 2018"
HOWARD CNTY MD,Municipals,Fixed Income,"283,255.04",0.37,"283,255.04","220,000.00",44256PTT0,US44256PTT02,-,126.86,United States,-,USD,5.72,0.82,1.0,"Aug 15, 2028",5.0,5.73,-,0.82,5.73,0.82,USD,"May 29, 2019","May 29, 2019"
NEW YORK ST URBAN DEV CORP REV,Government Related,Fixed Income,"280,409.81",0.36,"280,409.81","235,000.00",650035U22,US650035U228,-,117.85,United States,-,USD,4.33,1.93,1.0,"Mar 15, 2028",5.0,5.37,-,0.69,3.82,0.69,USD,"Mar 17, 2016","Mar 17, 2016"
NEWPORT-MESA CALIF UNI SCH DIS,Municipals,Fixed Income,"278,672.13",0.36,"278,672.13","300,000.00",652113UM1,US652113UM10,-,92.89,United States,-,USD,6.56,1.12,1.0,"Aug 01, 2028",0.0,6.51,-,1.12,6.51,1.12,USD,"Jan 04, 2007","Jan 04, 2007"
WASHINGTON ST,Government Related,Fixed Income,"278,167.74",0.36,"278,167.74","220,000.00",93974D2H0,US93974D2H08,-,124.36,United States,-,USD,5.84,1.75,1.0,"Feb 01, 2030",5.0,6.74,-,0.88,5.3,0.88,USD,"Mar 21, 2018","Mar 21, 2018"
VIRGINIA ST,Government Related,Fixed Income,"278,081.91",0.36,"278,081.91","220,000.00",928109X93,US928109X932,-,125.98,United States,-,USD,6.17,1.68,1.0,"Jun 01, 2030",5.0,7.08,-,0.83,5.64,0.83,USD,"Aug 14, 2018","Aug 14, 2018"
FLORIDA ST BRD ED PUB ED,Government Related,Fixed Income,"278,081.91",0.36,"278,081.91","220,000.00",34153QPM2,US34153QPM23,-,125.98,United States,-,USD,6.17,1.68,1.0,"Jun 01, 2030",5.0,7.08,-,0.83,5.64,0.83,USD,"Aug 30, 2018","Aug 30, 2018"
FLORIDA ST DEPT ENVIRONMENTAL,Government Related,Fixed Income,"275,587.62",0.36,"275,587.62","215,000.00",34160WA79,US34160WA790,-,125.68,United States,-,USD,5.6,0.92,1.0,"Jul 01, 2028",5.0,5.61,-,0.92,5.61,0.92,USD,"Nov 30, 2017","Nov 30, 2017"
TENNESSEE ST SCH BD AUTH,Corporates,Fixed Income,"273,605.21",0.35,"273,605.21","220,000.00",880558KD2,US880558KD20,-,123.53,United States,-,USD,5.46,1.38,1.0,"Nov 01, 2028",5.0,5.91,-,0.86,5.16,0.86,USD,"Sep 21, 2017","Sep 21, 2017"
GEORGIA ST,Government Related,Fixed Income,"262,546.08",0.34,"262,546.08","205,000.00",373385CQ4,US373385CQ46,-,125.57,United States,-,USD,6.4,2.03,1.0,"Jul 01, 2031",5.0,7.68,-,0.94,5.6,0.94,USD,"Jul 12, 2018","Jul 12, 2018"
CONNECTICUT ST,Government Related,Fixed Income,"259,941.97",0.34,"259,941.97","205,000.00",20772KDX4,US20772KDX46,-,125.33,United States,-,USD,6.61,2.1,1.0,"Sep 15, 2031",5.0,7.87,-,1.07,5.8,1.07,USD,"Sep 13, 2018","Sep 13, 2018"
MASSACHUSETTS ST,Government Related,Fixed Income,"257,800.16",0.33,"257,800.16","200,000.00",57582RJV9,US57582RJV96,-,126.4,United States,-,USD,5.61,0.82,1.0,"Jul 01, 2028",5.0,5.61,-,0.82,5.61,0.82,USD,"Jul 07, 2016","Jul 07, 2016"
LOS ANGELES CNTY CALIF MET TRA,Government Related,Fixed Income,"257,364.16",0.33,"257,364.16","200,000.00",54466HHG4,US54466HHG48,-,126.18,United States,-,USD,6.63,2.19,1.0,"Jul 01, 2032",5.0,8.32,-,0.85,5.61,0.85,USD,"Feb 20, 2019","Feb 20, 2019"
AUSTIN TEX INDPT SCH DIST,Government Related,Fixed Income,"256,765.65",0.33,"256,765.65","200,000.00",052430QF5,US052430QF55,-,126.3,United States,-,USD,6.48,1.97,1.0,"Aug 01, 2031",5.0,7.76,-,0.88,5.69,0.88,USD,"Apr 10, 2019","Apr 10, 2019"
MINNESOTA ST,Government Related,Fixed Income,"255,694.15",0.33,"255,694.15","200,000.00",60412APG2,US60412APG21,-,125.76,United States,-,USD,6.71,2.25,1.0,"Aug 01, 2032",5.0,8.39,-,0.95,5.68,0.95,USD,"Aug 21, 2018","Aug 21, 2018"
TEXAS WATER DEV BRD,Government Related,Fixed Income,"255,116.65",0.33,"255,116.65","200,000.00",882854P48,US882854P487,-,126.5,United States,-,USD,6.68,2.0,1.0,"Oct 15, 2031",5.0,7.96,-,0.96,5.89,0.96,USD,"Oct 11, 2018","Oct 11, 2018"
SAN ANTONIO TEX INDPT SCH DIST,Government Related,Fixed Income,"255,000.66",0.33,"255,000.66","200,000.00",796269B64,US796269B640,-,125.61,United States,-,USD,6.76,2.27,1.0,"Aug 15, 2032",5.0,8.43,-,0.99,5.72,0.99,USD,"Aug 20, 2019","Jul 15, 2019"
INDIANA ST FIN AUTH REV,Government Related,Fixed Income,"253,427.25",0.33,"253,427.25","200,000.00",45506DV85,US45506DV854,-,124.63,United States,-,USD,5.3,0.84,1.0,"Feb 01, 2028",5.0,5.3,-,0.84,5.3,0.84,USD,"Jan 24, 2019","Jan 24, 2019"
RICHARDSON TEX INDPT SCH DIST,Government Related,Fixed Income,"252,346.90",0.33,"252,346.90","200,000.00",7632613K8,US7632613K89,-,124.28,United States,-,USD,5.89,1.78,1.0,"Feb 15, 2030",5.0,6.78,-,0.91,5.34,0.91,USD,"Jun 13, 2019","May 15, 2019"
RHODE ISLAND ST COMM CORP REV,Municipals,Fixed Income,"251,836.30",0.32,"251,836.30","200,000.00",762232BP0,US762232BP05,-,125.28,United States,-,USD,5.58,0.91,1.0,"May 15, 2028",5.0,5.59,-,0.91,5.59,0.91,USD,"May 28, 2020","May 28, 2020"
NEW YORK N Y,Government Related,Fixed Income,"250,819.87",0.32,"250,819.87","210,000.00",64966L5Q0,US64966L5Q08,-,117.35,United States,-,USD,4.31,2.16,1.0,"Aug 01, 2028",5.0,5.61,-,0.68,3.7,0.68,USD,"Mar 10, 2016","Mar 10, 2016"
NEW YORK N Y CITY TRANSITIONAL,Government Related,Fixed Income,"249,425.58",0.32,"249,425.58","195,000.00",64971XRP5,US64971XRP59,-,127.08,United States,-,USD,5.93,0.9,1.0,"Nov 01, 2028",5.0,5.94,-,0.9,5.94,0.9,USD,"Sep 01, 2020","Sep 01, 2020"
PALM BEACH CNTY FLA SCH BRD CT,Government Related,Fixed Income,"249,215.58",0.32,"249,215.58","195,000.00",696550F49,US696550F496,-,125.72,United States,-,USD,5.68,0.96,1.0,"Aug 01, 2028",5.0,5.68,-,0.96,5.68,0.96,USD,"Feb 28, 2018","Feb 28, 2018"
MARYLAND ST,Government Related,Fixed Income,"247,608.76",0.32,"247,608.76","195,000.00",574193RD2,US574193RD23,-,125.51,United States,-,USD,5.42,0.78,1.0,"Mar 15, 2028",5.0,5.43,-,0.78,5.43,0.78,USD,"Apr 09, 2019","Apr 09, 2019"
LOS ANGELES CALIF UNI SCH DIST,Government Related,Fixed Income,"247,099.22",0.32,"247,099.22","195,000.00",5446466K3,US5446466K35,-,124.22,United States,-,USD,5.37,1.13,1.0,"Jul 01, 2028",5.0,5.59,-,0.85,5.22,0.85,USD,"Mar 08, 2018","Mar 08, 2018"
SALT LAKE CITY UTAH SALES TAX,Government Related,Fixed Income,"247,042.65",0.32,"247,042.65","200,000.00",79560QCU0,US79560QCU04,-,121.44,United States,-,USD,4.81,1.32,1.0,"Feb 01, 2028",5.0,5.28,-,0.7,4.52,0.7,USD,"Jul 11, 2017","Jul 11, 2017"
MISSOURI ST BRD PUB BLDGS SPL,Government Related,Fixed Income,"247,018.21",0.32,"247,018.21","205,000.00",606341ME2,US606341ME28,-,119.5,United States,-,USD,5.98,1.01,1.0,"Oct 01, 2028",4.0,5.98,-,1.01,5.98,1.01,USD,"Aug 25, 2020","Aug 25, 2020"
SALT RIV PROJ AGRIC IMPT & PWR,Government Related,Fixed Income,"246,840.92",0.32,"246,840.92","200,000.00",79574CBT9,US79574CBT99,-,120.92,United States,-,USD,4.73,1.36,1.0,"Jan 01, 2028",5.0,5.2,-,0.73,4.44,0.73,USD,"Dec 01, 2016","Dec 01, 2016"
NEW YORK N Y CITY MUN WTR FIN,Government Related,Fixed Income,"246,489.33",0.32,"246,489.33","195,000.00",64972GWY6,US64972GWY69,-,126.18,United States,-,USD,5.67,0.83,1.0,"Jun 15, 2028",5.0,5.68,-,0.83,5.68,0.83,USD,"Jun 10, 2020","Jun 10, 2020"
NEW YORK N Y,Government Related,Fixed Income,"246,454.93",0.32,"246,454.93","195,000.00",64966MSX8,US64966MSX82,-,124.3,United States,-,USD,5.7,1.59,1.0,"Aug 01, 2029",5.0,6.39,-,0.89,5.3,0.89,USD,"Dec 20, 2017","Dec 20, 2017"
WASHOE CNTY NEV HWY REV,Government Related,Fixed Income,"246,438.12",0.32,"246,438.12","195,000.00",940839CQ4,US940839CQ44,-,124.3,United States,-,USD,5.3,0.89,1.0,"Feb 01, 2028",5.0,5.3,-,0.89,5.3,0.89,USD,"Dec 20, 2018","Dec 20, 2018"
SAN ANTONIO TEX WTR REV,Government Related,Fixed Income,"245,266.45",0.32,"245,266.45","195,000.00",79642GGF3,US79642GGF37,-,125.14,United States,-,USD,5.58,0.93,1.0,"May 15, 2028",5.0,5.59,-,0.93,5.59,0.93,USD,"Oct 23, 2019","Oct 01, 2019"
MINNESOTA ST,Government Related,Fixed Income,"244,104.67",0.31,"244,104.67","190,000.00",60412APD9,US60412APD99,-,126.39,United States,-,USD,5.97,1.33,1.0,"Aug 01, 2029",5.0,6.41,-,0.87,5.69,0.87,USD,"Aug 21, 2018","Aug 21, 2018"
MEMPHIS TENN SAN SEW SYS REV,Government Related,Fixed Income,"243,333.55",0.31,"243,333.55","190,000.00",586200SH1,US586200SH15,-,126.82,United States,-,USD,5.85,0.9,1.0,"Oct 01, 2028",5.0,5.85,-,0.9,5.85,0.9,USD,"Oct 15, 2020","Oct 15, 2020"
ILLINOIS ST,Government Related,Fixed Income,"242,423.07",0.31,"242,423.07","200,000.00",452152Q20,US452152Q203,-,120.38,United States,-,USD,5.45,1.82,1.0,"Nov 01, 2028",5.0,5.88,-,1.35,5.14,1.35,USD,"Nov 08, 2017","Nov 08, 2017"
PRINCE GEORGES CNTY MD,Government Related,Fixed Income,"242,120.33",0.31,"242,120.33","200,000.00",7417014V5,US7417014V53,-,119.22,United States,-,USD,7.03,1.97,1.0,"Jul 15, 2032",4.0,8.67,-,0.96,5.77,0.96,USD,"May 15, 2018","May 15, 2018"
METROPOLITAN TRANSN AUTH N Y R,Government Related,Fixed Income,"240,286.12",0.31,"240,286.12","195,000.00",59261APY7,US59261APY72,-,122.58,United States,-,USD,5.73,1.53,1.0,"Nov 15, 2028",5.0,5.94,-,1.3,5.57,1.3,USD,"Dec 14, 2017","Dec 14, 2017"
LEANDER TEX INDPT SCH DIST,Government Related,Fixed Income,"238,973.85",0.31,"238,973.85","190,000.00",521841UG9,US521841UG97,-,123.89,United States,-,USD,6.27,2.23,1.0,"Aug 15, 2031",5.0,7.77,-,0.97,5.34,0.97,USD,"Jul 17, 2018","Jun 15, 2018"
CALIFORNIA ST UNIV REV,Government Related,Fixed Income,"238,967.83",0.31,"238,967.83","200,000.00",13077C4A9,US13077C4A95,-,118.65,United States,-,USD,4.57,2.06,1.0,"Nov 01, 2028",5.0,5.86,-,0.63,3.95,0.63,USD,"Apr 20, 2016","Apr 20, 2016"
MARYLAND ST,Government Related,Fixed Income,"237,276.07",0.31,"237,276.07","185,000.00",574193QS0,US574193QS01,-,126.17,United States,-,USD,5.97,1.36,1.0,"Aug 01, 2029",5.0,6.41,-,0.9,5.69,0.9,USD,"Aug 15, 2018","Aug 15, 2018"
HAWAII ST,Government Related,Fixed Income,"234,046.00",0.3,"234,046.00","185,000.00",419792WH5,US419792WH58,-,124.01,United States,-,USD,5.51,1.39,1.0,"Jan 01, 2029",5.0,5.95,-,0.88,5.22,0.88,USD,"Feb 14, 2018","Feb 14, 2018"
DISTRICT COLUMBIA,Government Related,Fixed Income,"233,979.71",0.3,"233,979.71","185,000.00",25476FVV7,US25476FVV74,-,126.06,United States,-,USD,5.63,0.82,1.0,"Jun 01, 2028",5.0,5.64,-,0.82,5.64,0.82,USD,"Aug 01, 2018","Aug 01, 2018"
NEW YORK ST DORM AUTH SALES TA,Government Related,Fixed Income,"233,840.71",0.3,"233,840.71","185,000.00",64990AHJ7,US64990AHJ79,-,124.93,United States,-,USD,5.71,1.36,1.0,"Mar 15, 2029",5.0,6.16,-,0.87,5.42,0.87,USD,"Mar 23, 2018","Mar 23, 2018"
MISSISSIPPI ST,Government Related,Fixed Income,"231,041.54",0.3,"231,041.54","185,000.00",605581JL2,US605581JL25,-,123.64,United States,-,USD,5.37,1.33,1.0,"Oct 01, 2028",5.0,5.83,-,0.79,5.08,0.79,USD,"Jun 28, 2017","Jun 28, 2017"
MARYLAND ST DEPT TRANSN CONS T,Government Related,Fixed Income,"230,885.38",0.3,"230,885.38","190,000.00",574204L84,US574204L842,-,120.27,United States,-,USD,4.8,1.8,1.0,"Oct 01, 2028",5.0,5.8,-,0.66,4.28,0.66,USD,"Oct 03, 2018","Oct 03, 2018"
WASHINGTON ST CTFS PARTN,Government Related,Fixed Income,"228,696.21",0.29,"228,696.21","180,000.00",939720YU6,US939720YU61,-,124.55,United States,-,USD,6.15,1.86,1.0,"Jul 01, 2030",5.0,7.0,-,1.08,5.6,1.08,USD,"May 10, 2018","May 10, 2018"
LOS ANGELES CALIF DEPT WTR & P,Government Related,Fixed Income,"224,815.62",0.29,"224,815.62","175,000.00",544525YA0,US544525YA03,-,125.97,United States,-,USD,6.63,2.21,1.0,"Jul 01, 2032",5.0,8.32,-,0.88,5.61,0.88,USD,"Nov 29, 2018","Nov 29, 2018"
