,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2027 Term Muni Bond ETF
PRINCE GEORGES CNTY MD,Government Related,Fixed Income,"345,619.55",0.48,"345,619.55","275,000.00",7417014Q6,US7417014Q68,-,123.37,United States,-,USD,4.87,0.69,1.0,"Jul 15, 2027",5.0,4.87,-,0.69,4.87,0.69,USD,"May 15, 2018","May 15, 2018"
NEW YORK N Y CITY MUN WTR FIN,Government Related,Fixed Income,"344,606.93",0.48,"344,606.93","280,000.00",64972GUA0,US64972GUA02,-,122.85,United States,-,USD,4.88,0.72,1.0,"Jun 15, 2027",5.0,4.89,-,0.72,4.89,0.72,USD,"Jul 02, 2019","Jul 02, 2019"
CHARLOTTE N C,Government Related,Fixed Income,"320,940.74",0.45,"320,940.74","260,000.00",161035HW3,US161035HW38,-,123.02,United States,-,USD,4.85,0.67,1.0,"Jun 01, 2027",5.0,4.85,-,0.67,4.85,0.67,USD,"Aug 15, 2019","Aug 15, 2019"
NEVADA ST HWY IMPT REV,Government Related,Fixed Income,"320,639.71",0.45,"320,639.71","270,000.00",641480HZ4,US641480HZ44,-,118.34,United States,-,USD,4.45,1.73,1.0,"Dec 01, 2027",5.0,5.2,-,0.77,4.03,0.77,USD,"Mar 09, 2016","Mar 09, 2016"
CALIFORNIA ST FOR PREVIOUS ISS,Government Related,Fixed Income,"318,261.51",0.45,"318,261.51","255,000.00",13063C8R4,US13063C8R43,-,122.73,United States,-,USD,5.21,1.38,1.0,"Aug 01, 2028",5.0,5.66,-,0.83,4.91,0.83,USD,"Apr 19, 2017","Apr 19, 2017"
NEW JERSEY ST TPK AUTH TPK REV,Government Related,Fixed Income,"313,150.48",0.44,"313,150.48","250,000.00",646139A96,US646139A961,-,122.64,United States,-,USD,4.42,0.64,1.0,"Jan 01, 2027",5.25,4.42,-,0.64,4.42,0.64,USD,"Jun 09, 2005","Jun 09, 2005"
NEW YORK ST DORM AUTH ST PERS,Government Related,Fixed Income,"310,150.95",0.43,"310,150.95","250,000.00",64990FFY5,US64990FFY51,-,122.17,United States,-,USD,5.89,2.29,1.0,"Feb 15, 2031",5.0,7.42,-,0.94,4.94,0.94,USD,"Oct 13, 2017","Oct 13, 2017"
NEW YORK N Y CITY TRANSITIONAL,Government Related,Fixed Income,"306,797.27",0.43,"306,797.27","245,000.00",64972HX49,US64972HX497,-,122.92,United States,-,USD,4.87,0.77,1.0,"Jul 15, 2027",5.0,4.87,-,0.77,4.87,0.77,USD,"Oct 25, 2018","Oct 25, 2018"
METROPOLITAN TRANSN AUTH N Y R,Government Related,Fixed Income,"305,863.15",0.43,"305,863.15","250,000.00",59261APX9,US59261APX99,-,121.71,United States,-,USD,5.19,1.16,1.0,"Nov 15, 2027",5.0,5.18,-,1.16,5.18,1.16,USD,"Dec 14, 2017","Dec 14, 2017"
UNIVERSITY CALIF REVS FOR PREV,Government Related,Fixed Income,"301,724.23",0.42,"301,724.23","245,000.00",91412G3L7,US91412G3L72,-,122.51,United States,-,USD,5.62,2.06,1.0,"May 15, 2030",5.0,7.0,-,0.72,4.8,0.72,USD,"Dec 21, 2017","Dec 21, 2017"
PENNSYLVANIA ST,Government Related,Fixed Income,"296,402.35",0.41,"296,402.35","245,000.00",70914PB76,US70914PB763,-,119.51,United States,-,USD,4.52,1.43,1.0,"Sep 15, 2027",5.0,5.01,-,0.77,4.23,0.77,USD,"Jun 17, 2016","Jun 17, 2016"
MASSACHUSETTS BAY TRANSN AUTH MASS,Corporates,Fixed Income,"294,930.22",0.41,"294,930.22","235,000.00",575579HE0,US575579HE09,-,123.0,United States,-,USD,4.83,0.73,1.0,"Jul 01, 2027",5.0,4.84,-,0.73,4.84,0.73,USD,"Mar 24, 2005","Mar 24, 2005"
OHIO ST,Government Related,Fixed Income,"294,272.14",0.41,"294,272.14","240,000.00",677522RD8,US677522RD83,-,121.78,United States,-,USD,5.6,2.13,1.0,"May 01, 2030",5.0,6.95,-,0.82,4.76,0.82,USD,"Oct 03, 2017","Oct 03, 2017"
CALIFORNIA ST PUB WKS BRD LEAS,Corporates,Fixed Income,"291,986.91",0.41,"291,986.91","235,000.00",13068LU45,US13068LU452,-,123.0,United States,-,USD,6.12,2.35,1.0,"Oct 01, 2031",5.0,7.88,-,0.89,5.07,0.89,USD,"Nov 07, 2017","Nov 07, 2017"
CALIFORNIA ST FOR PREVIOUS ISS,Government Related,Fixed Income,"286,637.35",0.4,"286,637.35","230,000.00",13063C8T0,US13063C8T09,-,122.54,United States,-,USD,5.74,2.11,1.0,"Aug 01, 2030",5.0,7.06,-,0.86,4.91,0.86,USD,"Apr 19, 2017","Apr 19, 2017"
FLORIDA ST,Government Related,Fixed Income,"283,257.11",0.4,"283,257.11","225,000.00",3411502F6,US3411502F67,-,123.39,United States,-,USD,5.12,1.24,1.0,"Jul 01, 2028",5.0,5.59,-,0.66,4.84,0.66,USD,"Jul 27, 2017","Jul 27, 2017"
MARYLAND ST,Government Related,Fixed Income,"282,324.77",0.39,"282,324.77","225,000.00",574193PQ5,US574193PQ53,-,123.39,United States,-,USD,5.45,1.7,1.0,"Aug 01, 2029",5.0,6.38,-,0.72,4.92,0.72,USD,"Aug 30, 2017","Aug 30, 2017"
NEW YORK N Y,Government Related,Fixed Income,"279,993.97",0.39,"279,993.97","225,000.00",64966MRV3,US64966MRV36,-,122.36,United States,-,USD,5.46,1.83,1.0,"Aug 01, 2029",5.0,6.37,-,0.89,4.91,0.89,USD,"Oct 03, 2017","Oct 03, 2017"
WEST VA COMMR OF HWYS SPL OBLI,Municipals,Fixed Income,"279,366.74",0.39,"279,366.74","225,000.00",95649ADA9,US95649ADA97,-,122.5,United States,-,USD,5.55,1.84,1.0,"Sep 01, 2029",5.0,6.45,-,0.92,4.99,0.92,USD,"Aug 01, 2018","Aug 01, 2018"
INDIANAPOLIS IND LOC PUB IMPT,Corporates,Fixed Income,"276,666.52",0.39,"276,666.52","225,000.00",45528UWE7,US45528UWE71,-,120.66,United States,-,USD,5.03,1.86,1.0,"Jan 15, 2029",5.0,5.96,-,0.81,4.47,0.81,USD,"Feb 01, 2017","Feb 01, 2017"
CONNECTICUT ST,Government Related,Fixed Income,"275,361.11",0.39,"275,361.11","225,000.00",20772J6Q0,US20772J6Q06,-,121.33,United States,-,USD,5.28,1.86,1.0,"Apr 15, 2029",5.0,6.21,-,0.87,4.72,0.87,USD,"Apr 19, 2017","Apr 19, 2017"
SAN FRANCISCO CALIF CITY & CNT,Government Related,Fixed Income,"274,124.96",0.38,"274,124.96","220,000.00",79765R2K4,US79765R2K45,-,123.77,United States,-,USD,5.98,2.04,1.0,"Nov 01, 2030",5.0,7.31,-,0.82,5.16,0.82,USD,"Dec 28, 2017","Dec 28, 2017"
MICHIGAN ST,Government Related,Fixed Income,"271,152.01",0.38,"271,152.01","220,000.00",594612DJ9,US594612DJ99,-,121.78,United States,-,USD,4.64,0.73,1.0,"Mar 15, 2027",5.0,4.64,-,0.73,4.64,0.73,USD,"Aug 12, 2016","Aug 12, 2016"
NEW MEXICO ST SEVERANCE TAX,Government Related,Fixed Income,"269,309.43",0.38,"269,309.43","215,000.00",6473102Y6,US6473102Y65,-,122.76,United States,-,USD,4.83,0.77,1.0,"Jul 01, 2027",5.0,4.83,-,0.77,4.83,0.77,USD,"Jun 28, 2018","Jun 28, 2018"
NEW YORK N Y CITY TRANSITIONAL,Government Related,Fixed Income,"268,601.53",0.38,"268,601.53","215,000.00",64971XCK2,US64971XCK28,-,122.85,United States,-,USD,5.45,1.77,1.0,"Aug 01, 2029",5.0,6.38,-,0.81,4.91,0.81,USD,"Oct 26, 2017","Oct 26, 2017"
WISCONSIN ST TRANSN REV,Government Related,Fixed Income,"268,389.12",0.38,"268,389.12","215,000.00",977123U63,US977123U632,-,122.33,United States,-,USD,5.86,2.36,1.0,"Jul 01, 2031",5.0,7.64,-,0.84,4.83,0.84,USD,"Dec 21, 2017","Dec 21, 2017"
GEORGIA ST,Government Related,Fixed Income,"263,522.32",0.37,"263,522.32","210,000.00",373385BH5,US373385BH55,-,122.99,United States,-,USD,5.37,1.72,1.0,"Jul 01, 2029",5.0,6.3,-,0.73,4.84,0.73,USD,"Jul 18, 2017","Jul 18, 2017"
HAMPTON ROADS SANTN DIST VA WA,Municipals,Fixed Income,"261,878.69",0.37,"261,878.69","210,000.00",409327JC8,US409327JC89,-,123.45,United States,-,USD,5.62,1.75,1.0,"Oct 01, 2029",5.0,6.54,-,0.82,5.08,0.82,USD,"Dec 19, 2017","Dec 19, 2017"
PORT AUTH N Y & N J,Government Related,Fixed Income,"259,750.51",0.36,"259,750.51","210,000.00",73358WM92,US73358WM920,-,123.05,United States,-,USD,6.25,2.37,1.0,"Nov 15, 2031",5.0,8.0,-,0.95,5.19,0.95,USD,"Aug 17, 2017","Aug 17, 2017"
WEST VA SCH BLDG AUTH EXCESS L,Government Related,Fixed Income,"259,208.73",0.36,"259,208.73","220,000.00",95639DLQ1,US95639DLQ15,-,115.32,United States,-,USD,3.67,2.04,1.0,"Jul 01, 2027",5.0,4.78,-,0.57,3.2,0.57,USD,"Nov 19, 2015","Nov 19, 2015"
ENERGY NORTHWEST WASH ELEC REV,Corporates,Fixed Income,"257,031.34",0.36,"257,031.34","205,000.00",29270C2F1,US29270C2F12,-,122.88,United States,-,USD,4.83,0.75,1.0,"Jul 01, 2027",5.0,4.83,-,0.75,4.83,0.75,USD,"May 31, 2018","May 31, 2018"
WASHINGTON ST FOR ISSUES DTD P,Government Related,Fixed Income,"256,863.61",0.36,"256,863.61","205,000.00",93974DW79,US93974DW796,-,123.22,United States,-,USD,4.92,0.75,1.0,"Aug 01, 2027",5.0,4.92,-,0.75,4.92,0.75,USD,"Dec 07, 2017","Dec 07, 2017"
MINNESOTA ST FOR PREVIOUS ISSU,Government Related,Fixed Income,"255,800.48",0.36,"255,800.48","210,000.00",60412AGR8,US60412AGR86,-,119.73,United States,-,USD,4.39,1.32,1.0,"Aug 01, 2027",5.0,4.89,-,0.63,4.11,0.63,USD,"Aug 11, 2016","Aug 11, 2016"
TRIBOROUGH BRDG & TUNL AUTH N,Corporates,Fixed Income,"251,616.94",0.35,"251,616.94","205,000.00",89602N7F5,US89602N7F56,-,122.1,United States,-,USD,4.95,1.1,1.0,"Nov 15, 2027",5.0,5.19,-,0.79,4.8,0.79,USD,"Jan 19, 2017","Jan 19, 2017"
MARYLAND ST DEPT TRANSN CONS T,Government Related,Fixed Income,"250,524.30",0.35,"250,524.30","200,000.00",574204N33,US574204N335,-,124.01,United States,-,USD,5.08,0.73,1.0,"Oct 01, 2027",5.0,5.08,-,0.73,5.08,0.73,USD,"Oct 17, 2019","Oct 17, 2019"
KING CNTY WASH SCH DIST NO 414,Municipals,Fixed Income,"249,879.30",0.35,"249,879.30","210,000.00",495260M99,US495260M996,-,118.66,United States,-,USD,5.35,0.77,1.0,"Dec 01, 2027",4.0,5.35,-,0.77,5.35,0.77,USD,"May 28, 2020","May 28, 2020"
CALIFORNIA ST FOR PREVIOUS ISS,Government Related,Fixed Income,"249,372.13",0.35,"249,372.13","200,000.00",13063C8S2,US13063C8S26,-,122.6,United States,-,USD,5.46,1.8,1.0,"Aug 01, 2029",5.0,6.37,-,0.85,4.91,0.85,USD,"Apr 19, 2017","Apr 19, 2017"
MICHIGAN ST BLDG AUTH REV,Government Related,Fixed Income,"249,365.31",0.35,"249,365.31","200,000.00",594615HE9,US594615HE97,-,123.63,United States,-,USD,5.12,0.81,1.0,"Oct 15, 2027",5.0,5.12,-,0.81,5.12,0.81,USD,"Sep 17, 2020","Sep 17, 2020"
IDAHO HSG & FIN ASSN,Corporates,Fixed Income,"249,169.11",0.35,"249,169.11","200,000.00",45129WNV8,US45129WNV80,-,122.28,United States,-,USD,4.87,0.87,1.0,"Jul 15, 2027",5.0,4.87,-,0.87,4.87,0.87,USD,"Oct 19, 2017","Oct 19, 2017"
GEORGIA ST PORTS AUTH REV,Municipals,Fixed Income,"247,466.67",0.35,"247,466.67","200,000.00",373586FZ4,US373586FZ49,-,122.94,United States,-,USD,4.9,0.74,1.0,"Jul 01, 2027",5.0,4.91,-,0.74,4.91,0.74,USD,"Nov 04, 2021","Nov 04, 2021"
TEXAS ST UNIV SYS FING REV,Corporates,Fixed Income,"247,323.56",0.35,"247,323.56","215,000.00",88278PUK8,US88278PUK82,-,113.56,United States,-,USD,3.43,2.23,1.0,"Mar 15, 2027",5.0,4.58,-,0.71,2.97,0.71,USD,"Mar 18, 2015","Mar 01, 2015"
PENNSYLVANIA ST,Government Related,Fixed Income,"246,404.32",0.34,"246,404.32","200,000.00",70914PK35,US70914PK350,-,120.7,United States,-,USD,4.73,1.39,1.0,"Jan 01, 2028",5.0,5.19,-,0.77,4.43,0.77,USD,"Nov 16, 2017","Nov 16, 2017"
NEW YORK ST ENVIRONMENTAL FACS,Government Related,Fixed Income,"246,267.98",0.34,"246,267.98","200,000.00",64986DDL6,US64986DDL64,-,122.91,United States,-,USD,5.43,1.71,1.0,"Jun 15, 2029",5.0,6.38,-,0.71,4.89,0.71,USD,"Apr 13, 2017","Apr 13, 2017"
NEW YORK ST DORM AUTH ST PERS,Government Related,Fixed Income,"245,645.30",0.34,"245,645.30","200,000.00",64990FVZ4,US64990FVZ43,-,120.93,United States,-,USD,5.11,1.85,1.0,"Feb 15, 2029",5.0,6.04,-,0.82,4.55,0.82,USD,"Jul 13, 2017","Jul 13, 2017"
NEW YORK N Y CITY TRANSITIONAL,Government Related,Fixed Income,"245,032.27",0.34,"245,032.27","200,000.00",64971WU65,US64971WU650,-,121.68,United States,-,USD,5.46,2.0,1.0,"Nov 01, 2029",5.0,6.61,-,0.83,4.76,0.83,USD,"Mar 22, 2017","Mar 22, 2017"
ILLINOIS ST SALES TAX REV,Government Related,Fixed Income,"243,556.76",0.34,"243,556.76","200,000.00",452227SB8,US452227SB80,-,120.5,United States,-,USD,4.84,1.12,1.0,"Jun 15, 2027",5.0,4.83,-,1.12,4.83,1.12,USD,"Sep 29, 2021","Sep 29, 2021"
LOUISIANA ST,Government Related,Fixed Income,"243,207.25",0.34,"243,207.25","200,000.00",5464152C3,US5464152C37,-,119.52,United States,-,USD,4.39,1.36,1.0,"Aug 01, 2027",5.0,4.89,-,0.67,4.11,0.67,USD,"Apr 28, 2016","Apr 28, 2016"
MASSACHUSETTS ST,Government Related,Fixed Income,"240,617.39",0.34,"240,617.39","195,000.00",57582RYA8,US57582RYA84,-,122.56,United States,-,USD,4.77,0.68,1.0,"May 01, 2027",5.0,4.77,-,0.68,4.77,0.68,USD,"Jun 12, 2019","Jun 12, 2019"
PORTLAND ORE SWR SYS REV,Municipals,Fixed Income,"238,685.49",0.33,"238,685.49","200,000.00",736742ZF7,US736742ZF71,-,118.51,United States,-,USD,4.21,1.39,1.0,"May 01, 2027",5.0,4.74,-,0.66,3.95,0.66,USD,"May 03, 2018","May 03, 2018"
BALTIMORE CNTY MD,Government Related,Fixed Income,"238,653.88",0.33,"238,653.88","190,000.00",05914F6M7,US05914F6M70,-,123.52,United States,-,USD,4.92,0.7,1.0,"Aug 01, 2027",5.0,4.92,-,0.7,4.92,0.7,USD,"Jul 29, 2020","Jul 29, 2020"
TEXAS WATER DEV BRD,Government Related,Fixed Income,"236,452.75",0.33,"236,452.75","190,000.00",882854D58,US882854D582,-,122.37,United States,-,USD,5.74,2.13,1.0,"Aug 01, 2030",5.0,7.06,-,0.89,4.91,0.89,USD,"Apr 26, 2018","Apr 26, 2018"
CALIFORNIA ST,Government Related,Fixed Income,"236,135.05",0.33,"236,135.05","190,000.00",13063DBX5,US13063DBX57,-,123.45,United States,-,USD,6.2,2.32,1.0,"Nov 01, 2031",5.0,7.97,-,0.87,5.16,0.87,USD,"Sep 12, 2017","Sep 12, 2017"
MASSACHUSETTS ST SCH BLDG AUTH,Government Related,Fixed Income,"235,529.04",0.33,"235,529.04","200,000.00",576000RT2,US576000RT23,-,115.88,United States,-,USD,3.8,2.0,1.0,"Aug 15, 2027",5.0,4.9,-,0.57,3.32,0.57,USD,"Dec 15, 2015","Dec 15, 2015"
NEW YORK ST DORM AUTH REVS NON,Government Related,Fixed Income,"235,119.02",0.33,"235,119.02","200,000.00",64990BHT3,US64990BHT35,-,115.06,United States,-,USD,3.67,2.09,1.0,"Jul 01, 2027",5.0,4.77,-,0.64,3.2,0.64,USD,"May 12, 2015","May 12, 2015"
WAYNE CNTY MICH ARPT AUTH REV,Government Related,Fixed Income,"233,704.19",0.33,"233,704.19","200,000.00",944514TX6,US944514TX65,-,116.44,United States,-,USD,4.12,2.04,1.0,"Dec 01, 2027",5.0,5.19,-,0.74,3.61,0.74,USD,"Oct 15, 2015","Oct 15, 2015"
MONTGOMERY CNTY MD,Government Related,Fixed Income,"231,586.43",0.32,"231,586.43","185,000.00",6133408C5,US6133408C54,-,124.35,United States,-,USD,5.16,0.73,1.0,"Nov 01, 2027",5.0,5.16,-,0.73,5.16,0.73,USD,"Nov 15, 2017","Nov 15, 2017"
LOS ANGELES CALIF MUN IMPT COR,Corporates,Fixed Income,"230,101.86",0.32,"230,101.86","190,000.00",544587G51,US544587G516,-,120.27,United States,-,USD,4.66,1.37,1.0,"Nov 01, 2027",5.0,5.14,-,0.72,4.36,0.72,USD,"Jun 01, 2016","Jun 01, 2016"
CALIFORNIA INFRASTRUCTURE & EC,Government Related,Fixed Income,"228,201.74",0.32,"228,201.74","185,000.00",13034ASB7,US13034ASB79,-,122.1,United States,-,USD,5.1,1.54,1.0,"Oct 01, 2028",5.0,5.81,-,0.7,4.68,0.7,USD,"Mar 23, 2017","Mar 23, 2017"
WISCONSIN ST FOR ISSUES DTD PR,Government Related,Fixed Income,"227,557.00",0.32,"227,557.00","190,000.00",97705MEM3,US97705MEM38,-,118.93,United States,-,USD,4.36,1.59,1.0,"Nov 01, 2027",5.0,5.13,-,0.57,3.95,0.57,USD,"Aug 25, 2016","Aug 25, 2016"
MASSACHUSETTS ST,Government Related,Fixed Income,"225,095.01",0.31,"225,095.01","180,000.00",57582RQX7,US57582RQX79,-,124.22,United States,-,USD,5.16,0.75,1.0,"Nov 01, 2027",5.0,5.16,-,0.75,5.16,0.75,USD,"Oct 26, 2017","Oct 26, 2017"
WISCONSIN ST TRANSN REV,Government Related,Fixed Income,"224,777.03",0.31,"224,777.03","180,000.00",977123U55,US977123U558,-,122.38,United States,-,USD,5.65,2.11,1.0,"Jul 01, 2030",5.0,6.98,-,0.83,4.83,0.83,USD,"Dec 21, 2017","Dec 21, 2017"
SANTA CLARA CNTY CA,Government Related,Fixed Income,"224,545.02",0.31,"224,545.02","180,000.00",801546QH8,US801546QH88,-,122.66,United States,-,USD,5.95,2.35,1.0,"Aug 01, 2031",5.0,7.72,-,0.84,4.91,0.84,USD,"Nov 16, 2017","Nov 16, 2017"
SEATTLE WASH,Municipals,Fixed Income,"222,002.66",0.31,"222,002.66","180,000.00",812627GH4,US812627GH48,-,122.5,United States,-,USD,4.77,0.69,1.0,"May 01, 2027",5.0,4.77,-,0.69,4.77,0.69,USD,"Aug 08, 2019","Aug 08, 2019"
SAN ANTONIO TEX WTR REV FOR,Government Related,Fixed Income,"220,287.09",0.31,"220,287.09","180,000.00",79642B7J6,US79642B7J63,-,121.74,United States,-,USD,5.63,2.15,1.0,"May 15, 2030",5.0,6.99,-,0.85,4.8,0.85,USD,"Feb 28, 2017","Jan 01, 2017"
LOS ANGELES CALIF UNI SCH DIST,Government Related,Fixed Income,"219,522.92",0.31,"219,522.92","175,000.00",5446465Q1,US5446465Q14,-,122.94,United States,-,USD,4.83,0.74,1.0,"Jul 01, 2027",5.0,4.84,-,0.74,4.84,0.74,USD,"May 25, 2017","May 25, 2017"
UNIVERSITY CALIF REVS FOR PREV,Government Related,Fixed Income,"219,430.86",0.31,"219,430.86","190,000.00",91412GYL3,US91412GYL30,-,114.85,United States,-,USD,3.6,2.06,1.0,"May 15, 2027",5.0,4.75,-,0.55,3.14,0.55,USD,"Mar 25, 2015","Mar 25, 2015"
VIRGINIA COLLEGE BLDG AUTH VA,Government Related,Fixed Income,"218,785.30",0.31,"218,785.30","180,000.00",92778WNA0,US92778WNA08,-,119.88,United States,-,USD,4.48,1.34,1.0,"Sep 01, 2027",5.0,4.97,-,0.67,4.19,0.67,USD,"Jul 12, 2016","Jul 12, 2016"
SAN MATEO CNTY CALIF CMNTY COL,Municipals,Fixed Income,"218,580.68",0.31,"218,580.68","230,000.00",799038DJ0,US799038DJ09,-,95.04,United States,-,USD,5.65,0.9,1.0,"Sep 01, 2027",0.0,5.62,-,0.9,5.62,0.9,USD,"Apr 26, 2006","Apr 26, 2006"
MESQUITE TEX INDPT SCH DIST,Municipals,Fixed Income,"218,501.64",0.31,"218,501.64","175,000.00",590760PZ1,US590760PZ10,-,122.97,United States,-,USD,5.5,1.77,1.0,"Aug 15, 2029",5.0,6.41,-,0.81,4.95,0.81,USD,"Aug 09, 2018","Jul 01, 2018"
CALIFORNIA ST,Government Related,Fixed Income,"218,093.63",0.31,"218,093.63","175,000.00",13063DDW5,US13063DDW56,-,122.54,United States,-,USD,5.74,2.11,1.0,"Aug 01, 2030",5.0,7.06,-,0.86,4.91,0.86,USD,"Oct 26, 2017","Oct 26, 2017"
HUDSON YDS INFRASTRUCTURE CORP,Municipals,Fixed Income,"216,805.15",0.3,"216,805.15","175,000.00",44420RAM2,US44420RAM25,-,122.0,United States,-,USD,4.56,0.63,1.0,"Feb 15, 2027",5.0,4.56,-,0.63,4.56,0.63,USD,"May 30, 2017","May 30, 2017"
METROPOLITAN TRANSN AUTH N Y D,Government Related,Fixed Income,"216,787.59",0.3,"216,787.59","180,000.00",59259N4S9,US59259N4S91,-,119.8,United States,-,USD,4.69,1.47,1.0,"Nov 15, 2027",5.0,5.17,-,0.84,4.39,0.84,USD,"May 26, 2016","May 26, 2016"
NEW JERSEY ST TPK AUTH TPK REV,Government Related,Fixed Income,"214,913.88",0.3,"214,913.88","175,000.00",6461396M2,US6461396M28,-,120.31,United States,-,USD,4.99,1.89,1.0,"Jan 01, 2029",5.0,5.92,-,0.84,4.43,0.84,USD,"Apr 11, 2017","Apr 11, 2017"
RHODE ISLAND ST COMM CORP REV,Municipals,Fixed Income,"213,830.39",0.3,"213,830.39","180,000.00",762232AM8,US762232AM82,-,118.57,United States,-,USD,4.34,1.45,1.0,"Jun 15, 2027",5.0,4.86,-,0.75,4.07,0.75,USD,"Oct 26, 2016","Oct 26, 2016"
ENERGY NORTHWEST WASH ELEC REV,Corporates,Fixed Income,"212,710.89",0.3,"212,710.89","170,000.00",29270CV36,US29270CV362,-,122.62,United States,-,USD,5.37,1.77,1.0,"Jul 01, 2029",5.0,6.3,-,0.79,4.83,0.79,USD,"May 03, 2017","May 03, 2017"
PIERCE CNTY WASH SCH DIST NO 4,Municipals,Fixed Income,"212,394.34",0.3,"212,394.34","170,000.00",720594NM8,US720594NM87,-,124.52,United States,-,USD,5.78,1.68,1.0,"Dec 01, 2029",5.0,6.71,-,0.75,5.25,0.75,USD,"Nov 28, 2017","Nov 28, 2017"
TEXAS ST,Government Related,Fixed Income,"212,319.87",0.3,"212,319.87","170,000.00",8827236X2,US8827236X29,-,123.64,United States,-,USD,5.62,1.73,1.0,"Oct 01, 2029",5.0,6.54,-,0.79,5.08,0.79,USD,"Feb 01, 2017","Feb 01, 2017"
MIAMI-DADE CNTY FLA WTR & SWR,Government Related,Fixed Income,"212,190.65",0.3,"212,190.65","170,000.00",59334DJZ8,US59334DJZ87,-,123.57,United States,-,USD,5.08,0.8,1.0,"Oct 01, 2027",5.0,5.08,-,0.8,5.08,0.8,USD,"Dec 19, 2017","Dec 19, 2017"
NEWPORT NEWS VA,Municipals,Fixed Income,"211,414.26",0.3,"211,414.26","180,000.00",652233LE5,US652233LE57,-,115.79,United States,-,USD,6.32,2.17,1.0,"Aug 01, 2031",4.0,7.98,-,1.08,5.0,1.08,USD,"Jun 08, 2017","Jun 08, 2017"
