,,,,,,,,,,,,,,,,,,,,,,,,,,iShares International High Yield Bond ETF
INEOS FINANCE PLC RegS,Basic Industry,Fixed Income,"346,076.73",0.51,"346,076.73","300,000.00",-,XS1843437549,BK1W4P7,114.82,Luxembourg,-,USD,2.61,2.64,0.88,"May 01, 2026",2.88,4.04,-,2.44,2.24,2.44,EUR,"Apr 24, 2019","Apr 24, 2019"
TEVA PHARMACEUTICAL FINANCE NETHER,Consumer Non-Cyclical,Fixed Income,"341,398.57",0.5,"341,398.57","300,000.00",-,XS2406607098,BMDVYM3,113.2,Israel,-,USD,4.83,3.88,0.88,"May 09, 2027",3.75,4.79,-,3.88,4.79,3.88,EUR,"Nov 09, 2021","Nov 09, 2021"
CASINO GUICHARD PERRACHON SA MTN RegS,Consumer Non-Cyclical,Fixed Income,"339,460.09",0.5,"339,460.09","300,000.00",-,FR0012369122,BT9PRF2,109.51,France,-,USD,2.9,4.92,0.88,"Feb 07, 2025",3.58,2.76,-,4.92,2.76,4.92,EUR,"Dec 08, 2014","Dec 08, 2014"
TELECOM ITALIA SPA MTN RegS,Communications,Fixed Income,"337,984.34",0.5,"337,984.34","300,000.00",-,XS1698218523,BF92HZ5,112.07,Italy,-,USD,5.41,2.65,0.88,"Oct 12, 2027",2.38,5.3,-,2.65,5.3,2.65,EUR,"Oct 12, 2017","Oct 12, 2017"
CELLNEX FINANCE COMPANY SA MTN RegS,Communications,Fixed Income,"330,162.08",0.48,"330,162.08","300,000.00",-,XS2300293003,-,108.07,Spain,-,USD,9.83,2.52,0.88,"Feb 15, 2033",2.0,9.63,-,2.52,9.63,2.52,EUR,"Feb 15, 2021","Feb 15, 2021"
ATLANTIA SPA MTN RegS,Transportation,Fixed Income,"324,541.26",0.48,"324,541.26","275,000.00",-,XS1645722262,BF1YM98,117.02,Italy,-,USD,5.16,1.33,0.88,"Jul 13, 2027",1.88,5.2,-,1.30,4.98,1.30,EUR,"Jul 13, 2017","Jul 13, 2017"
NGG FINANCE PLC RegS,Electric,Fixed Income,"301,738.11",0.44,"301,738.11","200,000.00",-,XS0903532090,B9BNBX0,146.78,United Kingdom,-,USD,3.16,4.61,0.74,"Jun 18, 2073",5.63,2.81,-,3.04,3.12,3.04,GBP,"Mar 18, 2013","Mar 18, 2013"
SOFTBANK GROUP CORP RegS,Communications,Fixed Income,"294,438.01",0.43,"294,438.01","250,000.00",-,XS1793255941,BD9H585,116.59,Japan,-,USD,5.37,4.53,0.88,"Apr 15, 2028",5.0,5.31,-,4.52,5.13,4.52,EUR,"Apr 03, 2018","Apr 03, 2018"
VODAFONE GROUP PLC 60NC10 RegS,Communications,Fixed Income,"289,267.00",0.42,"289,267.00","250,000.00",-,XS2225204010,BMF69W1,114.53,United Kingdom,-,USD,7.49,3.52,0.88,"Aug 27, 2080",3.0,7.4,-,2.90,7.38,2.90,EUR,"Aug 27, 2020","Aug 27, 2020"
FAURECIA RegS,Consumer Cyclical,Fixed Income,"288,139.97",0.42,"288,139.97","250,000.00",-,XS1785467751,BDGS8K4,115.13,France,-,USD,0.51,2.26,0.88,"Jun 15, 2025",2.63,3.29,-,1.33,0.46,1.33,EUR,"Mar 08, 2018","Mar 08, 2018"
GRIFOLS ESCROW ISSUER SAU RegS,Consumer Non-Cyclical,Fixed Income,"287,523.48",0.42,"287,523.48","250,000.00",-,XS2393001891,BM8P754,113.97,Spain,-,USD,5.33,3.87,0.88,"Oct 15, 2028",3.88,5.87,-,3.86,4.3,3.86,EUR,"Oct 05, 2021","Oct 05, 2021"
SOFTBANK GROUP CORP RegS,Communications,Fixed Income,"287,216.88",0.42,"287,216.88","250,000.00",-,XS1684385161,BF13347,113.89,Japan,-,USD,3.44,3.08,0.88,"Sep 19, 2025",3.13,3.46,-,3.08,3.24,3.08,EUR,"Sep 19, 2017","Sep 19, 2017"
SALINI IMPREGILO SPA RegS,Industrial Other,Fixed Income,"286,861.85",0.42,"286,861.85","250,000.00",-,XS1707063589,BF4YTT4,114.39,Italy,-,USD,2.78,1.54,0.88,"Oct 26, 2024",1.75,2.73,-,1.54,2.73,1.54,EUR,"Oct 26, 2017","Oct 26, 2017"
STONEGATE PUB COMPANY FINANCING 20 RegS,Consumer Cyclical,Fixed Income,"285,146.72",0.42,"285,146.72","200,000.00",-,XS2210014788,-,137.45,United Kingdom,-,USD,2.57,7.77,0.74,"Jul 31, 2025",8.25,2.95,-,7.61,2.21,7.61,GBP,"Jul 31, 2020","Jul 31, 2020"
EUR CASH,Cash and/or Derivatives,Cash,"281,674.51",0.41,"281,674.51","247,691.00",-,-,-,113.72,European Union,-,USD,0.0,-0.58,0.88,-,0.0,0.0,-,-0.58,0.0,-0.58,EUR,-,"Jan 01, 1989"
VIRGIN MEDIA SECURED FINANCE PLC RegS,Communications,Fixed Income,"281,346.43",0.41,"281,346.43","200,000.00",-,XS1555173019,BYMYT44,139.26,United Kingdom,-,USD,1.05,4.40,0.74,"Apr 15, 2027",5.0,4.58,-,3.71,1.23,3.71,GBP,"Feb 01, 2017","Feb 01, 2017"
FORD MOTOR CREDIT COMPANY LLC MTN,Consumer Cyclical,Fixed Income,"276,293.40",0.41,"276,293.40","200,000.00",-,XS2272365078,-,136.11,United States,-,USD,2.37,2.54,0.74,"Jun 14, 2024",2.75,2.31,-,2.54,2.31,2.54,GBP,"Dec 14, 2020","Dec 14, 2020"
VMED O2 UK FINANCING I PLC RegS,Communications,Fixed Income,"275,415.77",0.4,"275,415.77","200,000.00",-,XS2358483258,-,134.77,United Kingdom,-,USD,6.49,4.56,0.74,"Jul 15, 2031",4.5,7.52,-,4.56,7.52,4.56,GBP,"Jul 07, 2021","Jul 07, 2021"
DEUTSCHE BANK AG MTN RegS,Banking,Fixed Income,"274,351.81",0.4,"274,351.81","200,000.00",-,DE000DL19VB0,BMCTKW0,133.22,Germany,-,USD,3.73,3.63,0.88,"May 19, 2031",5.63,3.82,-,1.33,3.71,1.33,EUR,"May 19, 2020","May 19, 2020"
FORD MOTOR CREDIT COMPANY LLC,Consumer Cyclical,Fixed Income,"272,635.18",0.4,"272,635.18","225,000.00",-,XS2013574384,-,118.82,United States,-,USD,3.92,1.27,0.88,"Feb 17, 2026",2.39,3.86,-,1.27,3.86,1.27,EUR,"Jun 17, 2019","Jun 17, 2019"
AIR CANADA 144A,Transportation,Fixed Income,"260,222.83",0.38,"260,222.83","325,000.00",008911BJ7,CA008911BJ76,-,78.64,Canada,-,USD,6.23,4.73,1.26,"Aug 15, 2029",4.63,6.25,-,4.73,6.25,4.73,CAD,"Aug 11, 2021","Aug 11, 2021"
UNIPOL GRUPPO SPA MTN RegS,Insurance,Fixed Income,"260,075.61",0.38,"260,075.61","200,000.00",-,XS2237434803,BMZ1C16,129.04,Italy,-,USD,7.62,1.59,0.88,"Sep 23, 2030",3.25,7.63,-,1.54,7.44,1.54,EUR,"Sep 23, 2020","Sep 23, 2020"
COMMERZBANK AG MTN RegS,Banking,Fixed Income,"258,376.55",0.38,"258,376.55","200,000.00",-,DE000CZ40LD5,BYZJJ24,125.66,Germany,-,USD,3.89,1.42,0.88,"Mar 23, 2026",4.0,3.82,-,1.42,3.82,1.42,EUR,"Mar 23, 2016","Mar 23, 2016"
EG GLOBAL FINANCE PLC RegS,Consumer Cyclical,Fixed Income,"257,726.66",0.38,"257,726.66","225,000.00",-,XS1992087996,BJLD5V6,113.92,United Kingdom,-,USD,2.06,4.31,0.88,"Feb 07, 2025",4.38,2.86,-,4.24,1.32,4.24,EUR,"May 13, 2019","May 13, 2019"
CAIXA GERAL DE DEPOSITOS SA MTN RegS,Owned No Guarantee,Fixed Income,"250,752.91",0.37,"250,752.91","200,000.00",-,PTCGDKOM0037,BG106K2,122.04,Portugal,-,USD,1.44,4.26,0.88,"Jun 28, 2028",5.75,1.32,-,0.80,1.43,0.80,EUR,"Jun 28, 2018","Jun 28, 2018"
EDP - ENERGIAS DE PORTUGAL SA RegS,Electric,Fixed Income,"249,633.28",0.37,"249,633.28","200,000.00",-,PTEDPKOM0034,BJFT372,121.39,Portugal,-,USD,1.99,4.19,0.88,"Apr 30, 2079",4.5,1.73,-,1.19,1.97,1.19,EUR,"Jan 30, 2019","Jan 30, 2019"
KRAFT HEINZ FOODS CO RegS,Consumer Non-Cyclical,Fixed Income,"246,594.26",0.36,"246,594.26","200,000.00",-,XS1405784015,BD6NX71,121.76,United States,-,USD,5.85,1.10,0.88,"May 25, 2028",2.25,5.91,-,1.06,5.71,1.06,EUR,"May 25, 2016","May 25, 2016"
TELECOM ITALIA SPA MTN RegS,Communications,Fixed Income,"243,955.81",0.36,"243,955.81","200,000.00",-,XS1347748607,BYVXWT8,118.07,Italy,-,USD,1.96,1.71,0.88,"Jan 19, 2024",3.63,1.92,-,1.71,1.92,1.71,EUR,"Jan 20, 2016","Jan 20, 2016"
ACCOR SA RegS,Consumer Cyclical,Fixed Income,"243,045.41",0.36,"243,045.41","200,000.00",-,FR0013399029,BJ5PX81,118.44,France,-,USD,3.66,1.94,0.88,"Feb 04, 2026",3.0,3.75,-,1.87,3.54,1.87,EUR,"Feb 04, 2019","Feb 04, 2019"
SCHAEFFLER AG RegS,Consumer Cyclical,Fixed Income,"242,584.80",0.36,"242,584.80","200,000.00",-,DE000A289Q91,-,120.61,Germany,-,USD,3.43,1.10,0.88,"Oct 12, 2025",2.75,3.59,-,0.99,3.37,0.99,EUR,"Oct 12, 2020","Oct 12, 2020"
ALTICE FRANCE HOLDING SA RegS,Communications,Fixed Income,"242,562.49",0.36,"242,562.49","200,000.00",-,XS2138128314,BL5F4L5,120.14,Luxembourg,-,USD,0.37,6.73,0.88,"May 15, 2027",8.0,4.32,-,3.38,0.37,3.38,EUR,"Nov 15, 2019","Mar 27, 2020"
NOKIA OYJ MTN RegS,Technology,Fixed Income,"242,371.81",0.36,"242,371.81","200,000.00",-,XS2171759256,-,119.48,Finland,-,USD,3.04,0.84,0.88,"May 15, 2025",2.38,3.21,-,0.73,3.0,0.73,EUR,"May 15, 2020","May 15, 2020"
VOLVO CAR AB MTN RegS,Consumer Cyclical,Fixed Income,"240,140.69",0.35,"240,140.69","200,000.00",-,XS1724626699,BFNL576,117.95,Sweden,-,USD,2.76,0.77,0.88,"Jan 24, 2025",2.0,2.93,-,0.66,2.71,0.66,EUR,"Nov 24, 2017","Nov 24, 2017"
BAYER AG RegS,Consumer Non-Cyclical,Fixed Income,"239,832.77",0.35,"239,832.77","200,000.00",-,DE000A11QR73,BNLPXY9,117.78,Germany,-,USD,2.4,2.26,0.88,"Jul 01, 2074",3.75,2.37,-,2.26,2.37,2.26,EUR,"Jul 01, 2014","Jul 01, 2014"
BANCO BPM SPA MTN RegS,Banking,Fixed Income,"238,447.91",0.35,"238,447.91","200,000.00",-,XS2058908745,BKRT1D9,118.02,Italy,-,USD,2.64,3.94,0.88,"Oct 01, 2029",4.25,2.51,-,2.79,2.6,2.79,EUR,"Oct 01, 2019","Oct 01, 2019"
ZF NORTH AMERICA CAPITAL INC RegS,Consumer Cyclical,Fixed Income,"238,055.47",0.35,"238,055.47","200,000.00",-,DE000A14J7G6,BWXTWH8,116.9,Germany,-,USD,1.3,0.61,0.88,"Apr 27, 2023",2.75,1.29,-,0.61,1.29,0.61,EUR,"Apr 27, 2015","Apr 27, 2015"
UNICREDIT SPA MTN RegS,Banking,Fixed Income,"237,992.25",0.35,"237,992.25","200,000.00",-,XS2101558307,-,116.02,Italy,-,USD,4.67,2.54,0.88,"Jan 15, 2032",2.73,4.56,-,2.30,4.61,2.30,EUR,"Jan 15, 2020","Jan 15, 2020"
FAURECIA SE RegS,Consumer Cyclical,Fixed Income,"237,662.27",0.35,"237,662.27","200,000.00",-,XS2209344543,-,118.65,France,-,USD,2.1,3.03,0.88,"Jun 15, 2028",3.75,5.72,-,2.00,1.42,2.00,EUR,"Jul 31, 2020","Jul 31, 2020"
SAIPEM FINANCE INTERNATIONAL BV MTN RegS,Energy,Fixed Income,"237,388.37",0.35,"237,388.37","200,000.00",-,XS1487495316,BYZV4L4,117.36,Italy,-,USD,1.66,1.80,0.88,"Sep 08, 2023",3.75,1.62,-,1.80,1.62,1.80,EUR,"Sep 08, 2016","Sep 08, 2016"
INTRUM AB RegS,Financial Other,Fixed Income,"237,129.80",0.35,"237,129.80","200,000.00",-,XS2211136168,BMZ8CP1,117.87,Sweden,-,USD,0.7,3.82,0.88,"Aug 15, 2025",4.88,3.29,-,2.86,0.61,2.86,EUR,"Aug 05, 2020","Aug 05, 2020"
VALEO SA MTN RegS,Consumer Cyclical,Fixed Income,"236,652.66",0.35,"236,652.66","200,000.00",-,FR0013342334,BF2G680,117.41,France,-,USD,3.2,0.55,0.88,"Jun 18, 2025",1.5,3.36,-,0.48,3.13,0.48,EUR,"Jun 18, 2018","Jun 18, 2018"
PPF ARENA 1 BV MTN RegS,Communications,Fixed Income,"236,210.52",0.35,"236,210.52","200,000.00",-,XS2078976805,-,115.89,Netherlands,-,USD,2.82,1.49,0.88,"Jan 31, 2025",2.13,2.92,-,1.43,2.7,1.43,EUR,"Nov 12, 2019","Nov 12, 2019"
BANCO BPM SPA MTN RegS,Banking,Fixed Income,"235,615.20",0.35,"235,615.20","200,000.00",-,XS2072815066,-,115.97,Italy,-,USD,2.99,1.09,0.88,"Jan 28, 2025",1.75,2.94,-,1.09,2.94,1.09,EUR,"Oct 28, 2019","Oct 28, 2019"
H.J. HEINZ CO RegS,Consumer Non-Cyclical,Fixed Income,"234,970.83",0.35,"234,970.83","200,000.00",-,XS1253558388,BYTHNC2,116.34,United States,-,USD,1.23,0.45,0.88,"Jun 30, 2023",2.0,1.47,-,0.14,1.24,0.14,EUR,"Jul 01, 2015","Jul 01, 2015"
AUTOSTRADE PER LITALIA SPA MTN RegS,Transportation,Fixed Income,"234,292.06",0.34,"234,292.06","200,000.00",-,XS1688199949,BZ02CF9,116.59,Italy,-,USD,7.17,1.53,0.88,"Sep 26, 2029",1.88,7.14,-,1.51,6.93,1.51,EUR,"Sep 26, 2017","Sep 26, 2017"
OI EUROPEAN GROUP BV RegS,Capital Goods,Fixed Income,"234,214.58",0.34,"234,214.58","200,000.00",-,XS1405765907,BYNPLQ2,116.66,United States,-,USD,2.59,2.21,0.88,"Nov 15, 2024",3.13,2.73,-,2.13,2.51,2.13,EUR,"Nov 03, 2016","Nov 03, 2016"
GAMMA BIDCO SPA RegS,Consumer Cyclical,Fixed Income,"234,063.71",0.34,"234,063.71","200,000.00",-,XS2321537255,-,114.36,Italy,-,USD,2.81,5.01,0.88,"Jul 15, 2025",5.13,3.13,-,4.95,2.3,4.95,EUR,"Apr 01, 2021","Apr 01, 2021"
DEUTSCHE LUFTHANSA AG RegS,Transportation,Fixed Income,"233,699.05",0.34,"233,699.05","200,000.00",-,XS2296201424,-,113.96,Germany,-,USD,2.93,2.80,0.88,"Feb 11, 2025",2.88,2.87,-,2.79,2.81,2.79,EUR,"Feb 11, 2021","Feb 11, 2021"
VODAFONE GROUP PLC 60NC6 RegS,Communications,Fixed Income,"233,305.46",0.34,"233,305.46","200,000.00",-,XS2225157424,-,115.62,United Kingdom,-,USD,4.19,3.32,0.88,"Aug 27, 2080",2.63,3.97,-,2.21,4.14,2.21,EUR,"Aug 27, 2020","Aug 27, 2020"
AVANTOR FUNDING INC RegS,Consumer Non-Cyclical,Fixed Income,"233,284.86",0.34,"233,284.86","200,000.00",-,XS2251742537,BMCKSJ6,116.15,United States,-,USD,1.42,2.04,0.88,"Nov 01, 2025",2.63,3.62,-,1.60,0.82,1.60,EUR,"Nov 06, 2020","Nov 06, 2020"
RCI BANQUE SA RegS,Consumer Cyclical,Fixed Income,"232,660.05",0.34,"232,660.05","200,000.00",-,FR0013459765,-,113.75,France,-,USD,2.99,2.76,0.88,"Feb 18, 2030",2.63,2.88,-,2.61,2.95,2.61,EUR,"Nov 18, 2019","Nov 18, 2019"
ADEVINTA ASA RegS,Consumer Cyclical,Fixed Income,"232,544.79",0.34,"232,544.79","200,000.00",-,XS2249892535,BNG7102,115.9,Norway,-,USD,1.8,2.11,0.88,"Nov 15, 2025",2.63,3.66,-,1.90,0.86,1.90,EUR,"Nov 05, 2020","Nov 05, 2020"
RENAULT SA MTN RegS,Consumer Cyclical,Fixed Income,"232,243.75",0.34,"232,243.75","200,000.00",-,FR0014000NZ4,-,114.49,France,-,USD,4.09,2.21,0.88,"May 25, 2026",2.38,4.08,-,2.20,3.87,2.20,EUR,"Nov 25, 2020","Nov 25, 2020"
ZF EUROPE FINANCE BV RegS,Consumer Cyclical,Fixed Income,"231,992.46",0.34,"231,992.46","200,000.00",-,XS2010039381,BKWD4L5,114.06,Germany,-,USD,3.91,1.92,0.88,"Feb 23, 2026",2.0,3.88,-,1.92,3.74,1.92,EUR,"Oct 23, 2019","Oct 23, 2019"
BCP V MODULAR SERVICES FINANCE II RegS,Industrial Other,Fixed Income,"231,260.68",0.34,"231,260.68","200,000.00",-,XS2397447025,-,114.58,United Kingdom,-,USD,5.29,4.61,0.88,"Nov 30, 2028",4.75,5.79,-,4.57,4.31,4.57,EUR,"Oct 21, 2021","Oct 21, 2021"
BANIJAY ENTERTAINMENT SAS RegS,Communications,Fixed Income,"230,806.74",0.34,"230,806.74","200,000.00",-,XS2112340679,BK8NPP0,114.09,France,-,USD,2.57,3.41,0.88,"Mar 01, 2025",3.5,2.94,-,3.36,2.05,3.36,EUR,"Feb 11, 2020","Feb 11, 2020"
LINCOLN FINANCING SARL RegS,Financial Other,Fixed Income,"230,634.24",0.34,"230,634.24","200,000.00",-,XS1974797364,BHQ4FS7,114.3,Netherlands,-,USD,0.82,3.39,0.88,"Apr 01, 2024",3.63,2.13,-,2.93,0.73,2.93,EUR,"Apr 02, 2019","Apr 02, 2019"
BAYER AG RegS,Consumer Non-Cyclical,Fixed Income,"230,620.99",0.34,"230,620.99","200,000.00",-,XS2077670003,BK8J9V2,113.59,Germany,-,USD,3.01,3.10,0.88,"Nov 12, 2079",2.38,2.78,-,2.41,3.19,2.41,EUR,"Nov 12, 2019","Nov 12, 2019"
UNICREDIT SPA MTN RegS,Banking,Fixed Income,"230,356.32",0.34,"230,356.32","200,000.00",-,XS2055089457,BKTC608,114.56,Italy,-,USD,2.68,2.16,0.88,"Sep 23, 2029",2.0,2.58,-,1.72,2.65,1.72,EUR,"Sep 23, 2019","Sep 23, 2019"
CAB SELAS RegS,Consumer Non-Cyclical,Fixed Income,"230,114.41",0.34,"230,114.41","200,000.00",-,XS2294186965,BNC4JW5,113.47,France,-,USD,2.01,4.31,0.88,"Feb 01, 2028",3.38,1.96,-,4.31,1.96,4.31,EUR,"Feb 09, 2021","Feb 09, 2021"
ORGANON FINANCE 1 LLC RegS,Consumer Non-Cyclical,Fixed Income,"229,802.57",0.34,"229,802.57","200,000.00",-,XS2332250708,-,114.36,United States,-,USD,2.27,3.22,0.88,"Apr 30, 2028",2.88,2.23,-,3.22,2.23,3.22,EUR,"Apr 22, 2021","Apr 22, 2021"
LOXAM SAS RegS,Capital Goods,Fixed Income,"229,535.37",0.34,"229,535.37","200,000.00",-,XS1401324972,BD6T0V2,113.61,France,-,USD,1.02,3.67,0.88,"May 03, 2023",3.5,1.29,-,3.67,1.29,3.67,EUR,"May 03, 2016","May 03, 2016"
DOUGLAS GMBH RegS,Consumer Cyclical,Fixed Income,"229,120.65",0.34,"229,120.65","200,000.00",-,XS2326497802,-,113.14,Germany,-,USD,3.57,6.23,0.88,"Apr 08, 2026",6.0,3.67,-,6.23,3.67,6.23,EUR,"Apr 08, 2021","Apr 08, 2021"
NIDDA HEALTHCARE HOLDING AG RegS,Consumer Non-Cyclical,Fixed Income,"228,961.57",0.34,"228,961.57","200,000.00",-,XS1690644668,BD813P1,113.49,Germany,-,USD,1.78,3.61,0.88,"Sep 30, 2024",3.5,2.58,-,3.61,2.58,3.61,EUR,"Sep 29, 2017","Sep 29, 2017"
TEOLLISUUDEN VOIMA OYJ MTN RegS,Electric,Fixed Income,"228,611.09",0.34,"228,611.09","200,000.00",-,XS2049419398,-,113.26,Finland,-,USD,4.02,1.22,0.88,"Mar 09, 2026",1.13,4.03,-,1.22,4.03,1.22,EUR,"Sep 09, 2019","Sep 09, 2019"
ELIS SA MTN RegS,Consumer Cyclical,Fixed Income,"228,611.88",0.34,"228,611.88","200,000.00",-,FR0013449998,BJLBJZ2,112.93,France,-,USD,5.88,1.74,0.88,"Apr 03, 2028",1.63,5.82,-,1.74,5.82,1.74,EUR,"Oct 03, 2019","Oct 03, 2019"
MATTERHORN TELECOM SA RegS,Communications,Fixed Income,"228,459.77",0.34,"228,459.77","200,000.00",-,XS2052290439,BKV2L56,113.19,Luxembourg,-,USD,3.77,3.24,0.88,"Sep 15, 2026",3.13,4.31,-,3.24,4.31,3.24,EUR,"Sep 19, 2019","Sep 19, 2019"
NATIONAL BANK OF GREECE SA MTN RegS,Banking,Fixed Income,"228,307.70",0.34,"228,307.70","200,000.00",-,XS2237982769,-,113.43,Greece,-,USD,3.48,2.96,0.88,"Oct 08, 2026",2.75,3.55,-,2.87,3.56,2.87,EUR,"Oct 08, 2020","Oct 08, 2020"
GRIFOLS SA RegS,Consumer Non-Cyclical,Fixed Income,"228,259.41",0.34,"228,259.41","200,000.00",-,XS1598757760,BZ1DYH7,113.53,Spain,-,USD,0.08,19.17,0.88,"May 01, 2025",3.2,0.08,-,19.17,0.08,19.17,EUR,"Apr 26, 2017","Apr 26, 2017"
IQVIA INC RegS,Consumer Non-Cyclical,Fixed Income,"227,539.16",0.33,"227,539.16","200,000.00",-,XS2305744059,-,113.02,United States,-,USD,5.46,2.34,0.88,"Mar 15, 2029",2.25,6.57,-,2.34,6.57,2.34,EUR,"Mar 03, 2021","Mar 03, 2021"
TEVA PHARMACEUTICAL FINANCE NETHER,Consumer Non-Cyclical,Fixed Income,"226,174.39",0.33,"226,174.39","200,000.00",-,XS2406607171,BMCNGG8,112.38,Israel,-,USD,6.99,4.60,0.88,"May 09, 2030",4.38,6.88,-,4.60,6.88,4.60,EUR,"Nov 09, 2021","Nov 09, 2021"
NEXI SPA RegS,Technology,Fixed Income,"225,793.17",0.33,"225,793.17","200,000.00",-,XS2332589972,-,112.58,Italy,-,USD,4.14,1.87,0.88,"Apr 30, 2026",1.63,4.15,-,1.87,4.15,1.87,EUR,"Apr 29, 2021","Apr 29, 2021"
TEOLLISUUDEN VOIMA OYJ MTN RegS,Electric,Fixed Income,"225,419.83",0.33,"225,419.83","200,000.00",-,XS2355632741,-,111.89,Finland,-,USD,6.16,1.64,0.88,"Jun 23, 2028",1.38,6.1,-,1.64,6.1,1.64,EUR,"Jun 23, 2021","Jun 23, 2021"
INEOS STYROLUTION GROUP GMBH RegS,Basic Industry,Fixed Income,"224,419.03",0.33,"224,419.03","200,000.00",-,XS2108560306,-,111.04,United Kingdom,-,USD,4.5,2.77,0.88,"Jan 16, 2027",2.25,4.68,-,2.77,4.68,2.77,EUR,"Jan 31, 2020","Jan 31, 2020"
LA FINANCIERE ATALIAN SAS RegS,Consumer Cyclical,Fixed Income,"224,108.00",0.33,"224,108.00","200,000.00",-,XS1605600532,BDSHY67,111.49,France,-,USD,2.28,4.92,0.88,"May 15, 2024",4.0,2.22,-,4.92,2.22,4.92,EUR,"May 05, 2017","May 05, 2017"
MAHLE GMBH MTN RegS,Consumer Cyclical,Fixed Income,"223,835.01",0.33,"223,835.01","200,000.00",-,XS2341724172,-,110.21,Germany,-,USD,5.88,2.91,0.88,"May 14, 2028",2.38,5.72,-,2.91,5.72,2.91,EUR,"May 14, 2021","May 14, 2021"
DEUTSCHE LUFTHANSA AG RegS,Transportation,Fixed Income,"223,361.07",0.33,"223,361.07","200,000.00",-,XS2408458730,-,111.28,Germany,-,USD,5.01,3.32,0.88,"May 16, 2027",2.88,4.87,-,3.32,4.87,3.32,EUR,"Nov 16, 2021","Nov 16, 2021"
ALTICE FRANCE SA (FRANCE) RegS,Communications,Fixed Income,"222,517.62",0.33,"222,517.62","200,000.00",-,XS2053846262,-,110.46,France,-,USD,5.1,3.97,0.88,"Jan 15, 2028",3.38,5.36,-,3.97,5.36,3.97,EUR,"Sep 27, 2019","Sep 27, 2019"
VERTICAL HOLDCO GMBH RegS,Capital Goods,Fixed Income,"221,752.88",0.33,"221,752.88","180,000.00",-,XS2198191962,BMHKDG3,119.74,Germany,-,USD,2.9,5.75,0.88,"Jul 15, 2028",6.63,5.15,-,5.07,3.06,5.07,EUR,"Jul 15, 2020","Jul 15, 2020"
